stage,bucket,count
access_status,downloaded,229
access_status,error,1
access_status,resolved,82
access_status,unresolved,230
access_reason,resolve_error_connectionerror,1
patch_status:patch_api_concentration,applied,2
patch_status:patch_api_concentration,skipped,93
patch_status:patch_area,applied,11
patch_status:patch_area,skipped,51
patch_status:patch_endpoint_time,applied,26
patch_status:patch_endpoint_time,skipped,4
patch_status:patch_endpoint_value,applied,54
patch_status:patch_endpoint_value,skipped,60
patch_reason:patch_api_concentration,no_recoverable_concentration_fragment,26
patch_reason:patch_api_concentration,recovered_concentration_is_not_stronger_than_existing_value,16
patch_reason:patch_api_concentration,recovered_concentration_matches_existing_value,51
patch_reason:patch_area,no_recoverable_area_fragment,51
patch_reason:patch_endpoint_time,no_recoverable_endpoint_time_fragment,4
patch_reason:patch_endpoint_value,no_recoverable_endpoint_fragment,18
patch_reason:patch_endpoint_value,recovered_endpoint_matches_existing_value,41
patch_reason:patch_endpoint_value,recovered_endpoint_unit_is_weaker_than_existing_unit,1
