module,count,verification_status,scope_bucket,failure_code,patcher
figure,0,,,,
table,0,,,,
text,0,,,,
,48,rejected,,,
,69,unresolved,,,
,7,verified,,,
,27,,out_of_scope,,
,61,,recoverable_unresolved,,
,7,,strict_in_scope,,
,29,,useful_but_out_of_scope,,
,56,,,ambiguous_api_concentration,
,87,,,insufficient_evidence,
,10,,,missing_api_concentration,
,31,,,missing_area,
,6,,,missing_endpoint,
,4,,,missing_endpoint_time,
,27,,,not_target_api,
,10,,,not_target_api_concentration,
,19,,,not_target_device,
,18,,,not_target_study_type,
,5,,,percent_only,
,10,,,unit_normalization_failed,
,2,,,,patch_api_concentration
,11,,,,patch_area
,26,,,,patch_endpoint_time
,54,,,,patch_endpoint_value
