record_id,doi,route,study_type,scientific_guard_pass,guard_reason,formulation_label,api_name,dosage_form,device,barrier,api_concentration_raw,components_text,evidence_preview,api_match,device_match,membrane_match,poloxamer_match,ethanol_match,propylene_glycol_match,matched_excipient_terms,level1_exact_match,level2_same_excipient_system,level3_partial_excipient_overlap,level4_same_api_device,highest_level,highest_level_label
record_504c0645a368,10.1002/14651858.cd001177.pub2,table,both,False,non_ivpt_or_ivrt;non_skin_or_membrane_context,Ibuprofen Foam Dressing,Ibuprofen,Foam,,venous leg ulcers,0.5 mg/cm2,Ibuprofen Active ingredient,. . . . . . . . . . . . . . . . . . . . . 49 SOURCES OF SUPPORT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 50 INDEX TERMS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . i Topical agents or dre,True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_d44a8caf44a3,10.1002/14651858.cd001177.pub2,table,both,False,non_ivpt_or_ivrt;non_skin_or_membrane_context,Ibuprofen Foam Dressing,Ibuprofen,Foam,,venous leg ulcers,0.5 mg/cm2,Ibuprofen Active ingredient,. . . . . . . . . . . . . . . . . . . . . 49 SOURCES OF SUPPORT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 50 INDEX TERMS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . i Topical agents or dre,True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_1554f1765160,10.1007/s11095-020-02887-9,mixed,both,False,non_ivpt_or_ivrt,D1,Ibuprofen Sodium (IBU Na),Microneedle Array,Franz diffusion cell,neonatal full-thickness porcine skin,60%,PVA 10 K part of polymeric blend total solid content ; PVP part of polymeric blend total solid content ; CAB Na calculated as CAB base total solid content,"D1 MN arrays, containing 60% (w/w) CAB Na, allowed for controlled permeation of IBU Na across dermatomed skin. | D1 MN arrays, containing 60% (w/w) CAB Na, allowed for controlled permeation of IBU Na across dermatomed skin. | cy To evaluate",True,True,False,False,False,True,propylene glycol,False,False,False,False,0,No funnel match
record_a13c1416d8f0,10.1007/s11095-020-02887-9,mixed,both,False,non_ivpt_or_ivrt,D2,Ibuprofen Sodium (IBU Na),Microneedle Array,Franz diffusion cell,neonatal full-thickness porcine skin,60%,PVA 10 K part of polymeric blend total solid content ; PVP part of polymeric blend total solid content ; CAB Na calculated as CAB base total solid content,"D2 showed the highest amount of drug deposition, reflecting effective drug loading. | D2 showed the highest amount of drug deposition, reflecting effective drug loading. | cy To evaluate the insertion properties of the various MN array desi",True,True,False,False,False,True,propylene glycol,False,False,False,False,0,No funnel match
record_c13a8cda365e,10.1007/s13346-022-01182-x,table,IVPT,False,non_skin_or_membrane_context,SNM-IBU1,Ibuprofen,,,Soluplus® nanomicelles,0.5% w/v ibuprofen,Soluplus® Soluplus,"s as a valid strategy. Our attention has been recently attracted by ­Soluplus®, an amphiphilic polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol graft copolymer able to form small and stable nanomicelles. The aim of this study was",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_6ad4079b03f5,10.1007/s13346-022-01182-x,table,IVPT,False,non_skin_or_membrane_context,SNM-IBU1,Ibuprofen,,,Soluplus® nanomicelles,0.5% w/v ibuprofen,Soluplus® Soluplus,"s as a valid strategy. Our attention has been recently attracted by ­Soluplus®, an amphiphilic polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol graft copolymer able to form small and stable nanomicelles. The aim of this study was",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_8755ab5ac908,10.1007/s13346-022-01182-x,table,IVPT,False,non_skin_or_membrane_context,SNM-IBU2,Ibuprofen,,,Soluplus® nanomicelles,0.5% w/v ibuprofen,Soluplus® Soluplus,"s as a valid strategy. Our attention has been recently attracted by ­Soluplus®, an amphiphilic polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol graft copolymer able to form small and stable nanomicelles. The aim of this study was",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_ffa5e9ab3144,10.1007/s13346-022-01182-x,table,IVPT,False,non_skin_or_membrane_context,SNM-IBU2,Ibuprofen,,,Soluplus® nanomicelles,0.5% w/v ibuprofen,Soluplus® Soluplus,"s as a valid strategy. Our attention has been recently attracted by ­Soluplus®, an amphiphilic polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol graft copolymer able to form small and stable nanomicelles. The aim of this study was",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_5d8638739de7,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,A 5 % w/w ibuprofen gel formulation was used as the model topical formulation. | pH 7.2) was used as the release media in 126 the receptor compartment and was prepared using sodium hydroxide and potassium phosphate 127 monobasic purchased f,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_8452491461ab,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,A method was constructed using the SDi2 data collection software to...sequent data collection intervals where samples are taken from the receptor compartment. | pH 7.2) was used as the release media in 126 the receptor compartment and was p,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
