source,formulation_label,cumulative_amount_24h_ug_cm2
self_generated,Cf1,214.9262089552239
self_generated,Cf10,210.31931343283583
self_generated,Cf11,222.0470447761194
self_generated,Cf12,184.66119402985075
self_generated,Cf13,262.03
self_generated,Cf14,223.1465074626865
self_generated,Cf15,204.0362686567164
self_generated,Cf16,248.65826865671642
self_generated,Cf17,283.2579104477612
self_generated,Cf18,260.5416119402986
self_generated,Cf19,225.75182089552246
self_generated,Cf2,254.2749253731343
self_generated,Cf20,264.1280298507464
self_generated,Cf3,180.56979104477614
self_generated,Cf4,178.81316417910455
self_generated,Cf5,270.4458208955225
self_generated,Cf6,206.28244776119405
self_generated,Cf7,194.9365074626866
self_generated,Cf8,217.9153432835821
self_generated,Cf9,186.16071641791046
literature,F1,465.625
literature,F2,243.59375
literature,F3,219.0625
literature,F4,206.71875
literature,F5,487.96875
literature,F6,232.5
literature,F7,193.59375
literature,F8,206.71875
