source,formulation_label,design_group,design_method,doi,api_name,api_concentration,membrane_type,membrane_source,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,device,excipient_1_name,excipient_1_value,excipient_2_name,excipient_2_value,excipient_3_name,excipient_3_value,condition_note
Paper 1 (this study),Cf1,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,30% w/w,Ethanol,20% w/w,Propylene glycol,15% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf2,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,30% w/w,Ethanol,15% w/w,Propylene glycol,10% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf3,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25% w/w,Ethanol,20% w/w,Propylene glycol,20% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf4,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25% w/w,Ethanol,15% w/w,Propylene glycol,15% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf5,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25% w/w,Ethanol,10% w/w,Propylene glycol,20% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf6,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25% w/w,Ethanol,20% w/w,Propylene glycol,10% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf7,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,20% w/w,Ethanol,20% w/w,Propylene glycol,15% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf8,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,30% w/w,Ethanol,10% w/w,Propylene glycol,15% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf9,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,20% w/w,Ethanol,15% w/w,Propylene glycol,10% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf10,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25% w/w,Ethanol,10% w/w,Propylene glycol,10% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf11,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,20% w/w,Ethanol,15% w/w,Propylene glycol,20% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf12,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,30% w/w,Ethanol,15% w/w,Propylene glycol,20% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf13,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,20% w/w,Ethanol,10% w/w,Propylene glycol,15% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf14,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25% w/w,Ethanol,15% w/w,Propylene glycol,15% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf15,BBD,Box-Behnken design,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25% w/w,Ethanol,15% w/w,Propylene glycol,15% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO1,BO,Bayesian optimization,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,21.17% w/w,Ethanol,19.95% w/w,Propylene glycol,10.59% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO2,BO,Bayesian optimization,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25.22% w/w,Ethanol,19.41% w/w,Propylene glycol,19.29% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO3,BO,Bayesian optimization,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,26.06% w/w,Ethanol,11.99% w/w,Propylene glycol,15.7% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO4,BO,Bayesian optimization,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,20.95% w/w,Ethanol,19.44% w/w,Propylene glycol,12.14% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf16,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,21% w/w,Ethanol,16.6% w/w,Propylene glycol,17.3% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
