source,formulation_label,design_group,design_method,cumulative_amount_24h_ug_cm2,doi,endpoint_time_h,excipient_system,membrane_type,condition_note
Paper 1 (this study),Cf1,BBD,Box-Behnken design,214.9262089552239,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf2,BBD,Box-Behnken design,254.2749253731343,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf3,BBD,Box-Behnken design,180.56979104477614,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf4,BBD,Box-Behnken design,178.81316417910455,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf5,BBD,Box-Behnken design,270.4458208955225,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf6,BBD,Box-Behnken design,206.28244776119405,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf7,BBD,Box-Behnken design,194.9365074626866,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf8,BBD,Box-Behnken design,217.9153432835821,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf9,BBD,Box-Behnken design,186.16071641791046,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf10,BBD,Box-Behnken design,210.31931343283583,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
