scenario,n_train,augment,alpha_factor,rmse_mean,rmse_sd,r2_mean,r2_sd,n_runs,improvement_vs_baseline_pct
augmented_10,10,True,3.0,3521.9681160287355,88.93899181830689,-27043.464791958577,7021.656065524436,10,-14809.718969129644
augmented_10,10,True,5.0,3444.9139269260004,98.92287005223231,-25884.303644288226,6811.334117677207,10,-14483.521721719191
augmented_10,10,True,10.0,3411.585919626063,103.15564134490587,-25390.41845056465,6718.665140277624,10,-14342.432647010737
augmented_10,10,True,20.0,3403.5782337374285,104.14320740995582,-25271.41019036304,6691.782331018699,10,-14308.533320764927
augmented_15,15,True,3.0,2573.56158005258,62.0915649950301,-15835.39815300403,5043.249980415658,10,-11233.74522837572
augmented_15,15,True,5.0,2483.8943551882107,68.63615825425622,-14759.968942963369,4730.489134986821,10,-10838.858434204865
augmented_15,15,True,10.0,2445.1559624382717,71.68555725195368,-14307.680435131537,4601.738516888885,10,-10668.25786362299
augmented_15,15,True,20.0,2435.604936414599,72.09429981371476,-14198.155777214764,4573.085781992052,10,-10626.195961370126
augmented_20,20,True,3.0,2464.0038245158808,74.97931800199163,-14769.07132474968,4898.737698750291,5,-10796.118836997888
augmented_20,20,True,5.0,2375.516347668039,80.93368873911332,-13725.500641501098,4532.375822282801,5,-10404.81665892208
augmented_20,20,True,10.0,2337.32244827223,83.44326958647623,-13287.82156227437,4383.444991323714,5,-10235.918679736986
augmented_20,20,True,20.0,2327.743446657007,84.08563058002522,-13181.135491179963,4354.0600819853225,5,-10193.5591919388
augmented_5,5,True,3.0,4900.04180922916,146.81295011988715,-47164.65746499147,6605.156989248469,10,-20219.228267762268
augmented_5,5,True,5.0,4829.9821074197735,165.8645558812331,-45841.62123570712,6683.302520108493,10,-19928.708486736108
augmented_5,5,True,10.0,4799.164209939286,175.19878033994377,-45267.52016974405,6739.713566985955,10,-19800.91449680339
augmented_5,5,True,20.0,4791.713916020065,177.01273580114383,-45128.89731558626,6747.675035621627,10,-19770.020021062097
baseline_10,10,False,,23.621961777555427,2.3869474923740936,-0.21868826258539925,0.39535928816047516,10,
baseline_15,15,False,,22.707071036053335,3.262466577920067,-0.16551875844126876,0.18678728242511033,10,
baseline_20,20,False,,22.61359169605722,3.4789409160150204,-0.19078166821867748,0.2711394738932311,5,
baseline_5,5,False,,24.115294855973367,1.5705542596552504,-0.14603768848512635,0.2228184898460726,10,
