scenario,n_train,augment,alpha_factor,rmse_mean,rmse_sd,r2_mean,r2_sd,n_runs,rmse_change_vs_baseline_pct,rmse_improvement_vs_baseline_pct
augmented_10,10,True,3.0,45.48456108419823,6.217490816934702,-1.477552997836229,1.2511480393963947,10,31.46546108649832,-31.46546108649832
augmented_10,10,True,5.0,45.47560013342049,6.216812347994832,-1.4765962553614347,1.250804032849533,10,31.43956096791548,-31.43956096791548
augmented_10,10,True,10.0,45.47175592750906,6.216500214300119,-1.476186379119212,1.2506597331573508,10,31.428449938357065,-31.428449938357065
augmented_10,10,True,20.0,45.47080187694802,6.216459167835771,-1.4760859084171345,1.2506298456728888,10,31.4256924159381,-31.4256924159381
augmented_10,10,True,50.0,45.47059189500702,6.216417606091192,-1.4760624035014038,1.2506182849234018,10,31.425085498513024,-31.425085498513024
augmented_15,15,True,3.0,32.61851167153235,7.0415838384053755,-0.4801896757856192,0.49803301648610715,10,12.172094598073409,-12.172094598073409
augmented_15,15,True,5.0,32.60959058967099,7.039611717459428,-0.47934295842663915,0.4976143376831434,10,12.141415809030324,-12.141415809030324
augmented_15,15,True,10.0,32.60583684991714,7.038778661950062,-0.47898774635023866,0.49744134205797386,10,12.128507039463974,-12.128507039463974
augmented_15,15,True,20.0,32.604869693495246,7.038513833296682,-0.47889534118620575,0.49739005442694323,10,12.125181076503425,-12.125181076503425
augmented_15,15,True,50.0,32.60464790203913,7.03851568629488,-0.4788754613261966,0.4973879555686699,10,12.124418355860415,-12.124418355860415
augmented_20,20,True,3.0,35.90162674658651,11.311865874442434,-0.5260350062702054,0.5925932558214587,5,14.784694875489686,-14.784694875489686
augmented_20,20,True,5.0,35.8918601305504,11.310499713192453,-0.5251031589767189,0.5919281999116651,5,14.753469046933672,-14.753469046933672
augmented_20,20,True,10.0,35.88773041420199,11.309978808778569,-0.5247048375292571,0.5916296297403106,5,14.740265516232391,-14.740265516232391
augmented_20,20,True,20.0,35.886734248710376,11.309788386900275,-0.5246124181618065,0.5915699662454901,5,14.737080575538547,-14.737080575538547
augmented_20,20,True,50.0,35.88638749377533,11.309752021601167,-0.5245766817127142,0.5915344994499353,5,14.735971930526539,-14.735971930526539
augmented_5,5,True,3.0,48.008004369422345,5.054587277511029,-1.4528668402990523,0.8071542887332946,10,43.39588899382221,-43.39588899382221
augmented_5,5,True,5.0,47.999021545641206,5.055842349140606,-1.4519745060734501,0.8070792928114345,10,43.36905805138479,-43.36905805138479
augmented_5,5,True,10.0,47.995174305156326,5.056567230036816,-1.4515977350990925,0.8070804827092724,10,43.35756666621374,-43.35756666621374
augmented_5,5,True,20.0,47.99418980917029,5.056635596946537,-1.4514996569596064,0.8070673912610089,10,43.35462605914242,-43.35462605914242
augmented_5,5,True,50.0,47.993954296825144,5.056729982137988,-1.4514756053345566,0.8070639517813327,10,43.353922603488634,-43.353922603488634
baseline_10,10,False,,34.59810714410491,4.479201608388796,-0.36463603394930205,0.5455685884865198,10,,
baseline_15,15,False,,29.078989554762746,4.491316149765652,-0.1570914989439277,0.13215067215269383,10,,
baseline_20,20,False,,31.277363925155747,9.181778041506368,-0.11959064090002243,0.09734864256712661,5,,
baseline_5,5,False,,33.47934498421404,4.119496119900633,-0.1809945192807313,0.379410253422568,10,,
