scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
baseline_5,5,False,,0,holdout,10.685524888354744,25,75,5,15,0,24.09189057705843,-0.019133019476221813,243.00964133333332
baseline_5,5,False,,1,holdout,9.844684506115616,25,75,5,15,0,24.90271602654939,-0.18980076908130217,241.40805333333338
baseline_5,5,False,,2,holdout,11.110821774010363,25,75,5,15,0,21.965769717011042,0.0038330176812733097,243.95449333333332
baseline_5,5,False,,3,holdout,13.573416124028507,25,75,5,15,0,24.77683940718953,-0.15529520128214336,241.57515866666668
baseline_5,5,False,,4,holdout,10.810945456758,25,75,5,15,0,23.605907526443918,-0.01075857198826169,243.21551200000002
baseline_5,5,False,,5,holdout,9.832041304162237,25,75,5,15,0,22.836857916824748,-0.08677685326465201,242.2820133333333
baseline_5,5,False,,6,holdout,11.16764833855876,25,75,5,15,0,23.798138776074214,-0.08863089039991578,245.59285733333334
baseline_5,5,False,,7,holdout,14.19991650152792,25,75,5,15,0,26.67466059597947,-0.7442876109637626,239.51633733333335
baseline_5,5,False,,8,holdout,9.177816080166966,25,75,5,15,0,22.25760651707299,0.003966243204532094,243.88681599999995
baseline_5,5,False,,9,holdout,12.355583500391699,25,75,5,15,0,26.24256149952992,-0.17349322928080935,246.36045466666667
augmented_5,5,True,3.0,0,holdout,10.685524888354744,25,75,5,15,60,4853.80281104318,-41365.937153432424,243.00964133333332
augmented_5,5,True,5.0,0,holdout,10.685524888354744,25,75,5,15,60,4776.076125133524,-40051.68079473221,243.00964133333332
augmented_5,5,True,10.0,0,holdout,10.685524888354744,25,75,5,15,60,4742.854513318255,-39496.41877254721,243.00964133333332
augmented_5,5,True,20.0,0,holdout,10.685524888354744,25,75,5,15,60,4735.291742738756,-39370.55711677117,243.00964133333332
augmented_5,5,True,3.0,1,holdout,9.844684506115616,25,75,5,15,60,4757.773221090434,-43428.84586703126,241.40805333333338
augmented_5,5,True,5.0,1,holdout,9.844684506115616,25,75,5,15,60,4668.784591461467,-41819.429301279495,241.40805333333338
augmented_5,5,True,10.0,1,holdout,9.844684506115616,25,75,5,15,60,4627.015630604966,-41074.48935139324,241.40805333333338
augmented_5,5,True,20.0,1,holdout,9.844684506115616,25,75,5,15,60,4616.946399757244,-40895.90834608575,241.40805333333338
augmented_5,5,True,3.0,2,holdout,11.110821774010363,25,75,5,15,60,4905.239990899842,-49676.509042356396,243.95449333333332
augmented_5,5,True,5.0,2,holdout,11.110821774010363,25,75,5,15,60,4836.719233076383,-48298.323291209745,243.95449333333332
augmented_5,5,True,10.0,2,holdout,11.110821774010363,25,75,5,15,60,4807.65158532192,-47719.53054511083,243.95449333333332
augmented_5,5,True,20.0,2,holdout,11.110821774010363,25,75,5,15,60,4800.094059792715,-47569.61716012179,243.95449333333332
augmented_5,5,True,3.0,3,holdout,13.573416124028507,25,75,5,15,60,5087.970770667899,-48717.103418605075,241.57515866666668
augmented_5,5,True,5.0,3,holdout,13.573416124028507,25,75,5,15,60,5042.791008607872,-47855.738459986635,241.57515866666668
augmented_5,5,True,10.0,3,holdout,13.573416124028507,25,75,5,15,60,5023.080150107021,-47482.35243001118,241.57515866666668
augmented_5,5,True,20.0,3,holdout,13.573416124028507,25,75,5,15,60,5017.36333887512,-47374.331501546665,241.57515866666668
augmented_5,5,True,3.0,4,holdout,10.810945456758,25,75,5,15,60,4893.236657082098,-43429.86420919965,243.21551200000002
augmented_5,5,True,5.0,4,holdout,10.810945456758,25,75,5,15,60,4823.217667837977,-42195.82294811026,243.21551200000002
augmented_5,5,True,10.0,4,holdout,10.810945456758,25,75,5,15,60,4792.708868330524,-41663.68738300094,243.21551200000002
augmented_5,5,True,20.0,4,holdout,10.810945456758,25,75,5,15,60,4785.143317256201,-41532.25126367479,243.21551200000002
augmented_5,5,True,3.0,5,holdout,9.832041304162237,25,75,5,15,60,4754.576209454211,-47106.63551854018,242.2820133333333
augmented_5,5,True,5.0,5,holdout,9.832041304162237,25,75,5,15,60,4661.277348905529,-45275.99228160826,242.2820133333333
augmented_5,5,True,10.0,5,holdout,9.832041304162237,25,75,5,15,60,4620.475301834777,-44486.805825156116,242.2820133333333
augmented_5,5,True,20.0,5,holdout,9.832041304162237,25,75,5,15,60,4610.900829294904,-44302.62306170233,242.2820133333333
augmented_5,5,True,3.0,6,holdout,11.16764833855876,25,75,5,15,60,4917.842857037965,-46487.33185842974,245.59285733333334
augmented_5,5,True,5.0,6,holdout,11.16764833855876,25,75,5,15,60,4853.809939607729,-45284.60783787231,245.59285733333334
augmented_5,5,True,10.0,6,holdout,11.16764833855876,25,75,5,15,60,4825.700673503157,-44761.612791686035,245.59285733333334
augmented_5,5,True,20.0,6,holdout,11.16764833855876,25,75,5,15,60,4819.274451097263,-44642.47445517136,245.59285733333334
augmented_5,5,True,3.0,7,holdout,14.19991650152792,25,75,5,15,60,5123.412311983819,-64347.57099535807,239.51633733333335
augmented_5,5,True,5.0,7,holdout,14.19991650152792,25,75,5,15,60,5078.190288741759,-63216.63329348165,239.51633733333335
augmented_5,5,True,10.0,7,holdout,14.19991650152792,25,75,5,15,60,5060.196631542385,-62769.4262905599,239.51633733333335
augmented_5,5,True,20.0,7,holdout,14.19991650152792,25,75,5,15,60,5055.415421123766,-62650.862980875674,239.51633733333335
augmented_5,5,True,3.0,8,holdout,9.177816080166966,25,75,5,15,60,4679.3954171621535,-44023.722519106566,243.88681599999995
augmented_5,5,True,5.0,8,holdout,9.177816080166966,25,75,5,15,60,4582.509947136752,-42219.558047437924,243.88681599999995
augmented_5,5,True,10.0,8,holdout,9.177816080166966,25,75,5,15,60,4537.695366350293,-41397.80544141028,243.88681599999995
augmented_5,5,True,20.0,8,holdout,9.177816080166966,25,75,5,15,60,4527.929587745865,-41219.80472131994,243.88681599999995
augmented_5,5,True,3.0,9,holdout,12.355583500391699,25,75,5,15,60,5027.167845869999,-43063.05406785532,246.36045466666667
augmented_5,5,True,5.0,9,holdout,12.355583500391699,25,75,5,15,60,4976.4449236887485,-42198.42610135275,246.36045466666667
augmented_5,5,True,10.0,9,holdout,12.355583500391699,25,75,5,15,60,4954.263378479557,-41823.07286656471,246.36045466666667
augmented_5,5,True,20.0,9,holdout,12.355583500391699,25,75,5,15,60,4948.780012518811,-41730.54254859311,246.36045466666667
baseline_10,10,False,,0,holdout,12.744171136359586,50,50,10,10,0,24.975983591461556,-0.0500060522246617,246.767476
baseline_10,10,False,,1,holdout,13.531237993003543,50,50,10,10,0,25.570063935918384,-1.0337227820644102,234.88745
baseline_10,10,False,,2,holdout,10.734196490890529,50,50,10,10,0,22.523979057914886,-0.005180240257836033,245.36876
baseline_10,10,False,,3,holdout,12.287948216137567,50,50,10,10,0,27.60678019216241,-0.8934264691265297,234.53770799999998
baseline_10,10,False,,4,holdout,11.521779251620162,50,50,10,10,0,23.714117165148057,0.0007818908123831125,243.368678
