scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
baseline_5,5,False,,0,holdout,28.910659436736655,5,15,5,15,0,33.022238175743944,-0.04453498458361338,222.93406368159205
baseline_5,5,False,,1,holdout,34.02250257907813,5,15,5,15,0,29.43783817578045,-0.2734723102300025,221.2342049751244
baseline_5,5,False,,2,holdout,43.49639110747232,5,15,5,15,0,33.50981484542055,-0.024214824273691704,225.93358606965177
baseline_5,5,False,,3,holdout,27.46296828197766,5,15,5,15,0,31.291591626404937,-0.12846654667370228,227.27982487562187
baseline_5,5,False,,4,holdout,39.23889097479158,5,15,5,15,0,30.981112600777436,-0.0005555365816201085,224.82569552238803
baseline_5,5,False,,5,holdout,31.62339107540143,5,15,5,15,0,30.721998167075743,-0.0057215806655606105,225.22374925373137
baseline_5,5,False,,6,holdout,32.523236624296416,5,15,5,15,0,44.21426005899512,-1.2341834098752424,216.42635621890545
baseline_5,5,False,,7,holdout,36.51403332382016,5,15,5,15,0,34.966844084292966,-0.07616337683916052,226.9692815920398
baseline_5,5,False,,8,holdout,37.603741534457434,5,15,5,15,0,33.15241974873356,-0.010976480644954822,225.5076736318408
baseline_5,5,False,,9,holdout,28.960796805829442,5,15,5,15,0,33.495332358915704,-0.011656142439764539,225.54320199004977
augmented_5,5,True,3.0,0,holdout,28.910659436736655,5,15,5,15,8,50.457662165786346,-1.4387328525788732,222.93406368159205
augmented_5,5,True,5.0,0,holdout,28.910659436736655,5,15,5,15,8,50.44634757524246,-1.437639255739796,222.93406368159205
augmented_5,5,True,10.0,0,holdout,28.910659436736655,5,15,5,15,8,50.44134498364176,-1.437155815030673,222.93406368159205
augmented_5,5,True,20.0,0,holdout,28.910659436736655,5,15,5,15,8,50.4401698874924,-1.4370422629810387,222.93406368159205
augmented_5,5,True,50.0,0,holdout,28.910659436736655,5,15,5,15,8,50.43999218166327,-1.437025091117659,222.93406368159205
augmented_5,5,True,3.0,1,holdout,34.02250257907813,5,15,5,15,8,49.87727847530184,-2.6558062921752312,221.2342049751244
augmented_5,5,True,5.0,1,holdout,34.02250257907813,5,15,5,15,8,49.86931919500827,-2.654639618041799,221.2342049751244
augmented_5,5,True,10.0,1,holdout,34.02250257907813,5,15,5,15,8,49.8666383456826,-2.6542467001127705,221.2342049751244
augmented_5,5,True,20.0,1,holdout,34.02250257907813,5,15,5,15,8,49.865676019975446,-2.654105662267628,221.2342049751244
augmented_5,5,True,50.0,1,holdout,34.02250257907813,5,15,5,15,8,49.865346952908055,-2.654057435031473,221.2342049751244
augmented_5,5,True,3.0,2,holdout,43.49639110747232,5,15,5,15,8,46.33347443458931,-0.9581084305647283,225.93358606965177
augmented_5,5,True,5.0,2,holdout,43.49639110747232,5,15,5,15,8,46.32830610772779,-0.9576716154935212,225.93358606965177
augmented_5,5,True,10.0,2,holdout,43.49639110747232,5,15,5,15,8,46.32602960295921,-0.957479226017375,225.93358606965177
augmented_5,5,True,20.0,2,holdout,43.49639110747232,5,15,5,15,8,46.32500917317314,-0.9573929916422004,225.93358606965177
augmented_5,5,True,50.0,2,holdout,43.49639110747232,5,15,5,15,8,46.32498780018487,-0.9573911854762198,225.93358606965177
augmented_5,5,True,3.0,3,holdout,27.46296828197766,5,15,5,15,8,41.56674436744649,-0.9912482288385733,227.27982487562187
augmented_5,5,True,5.0,3,holdout,27.46296828197766,5,15,5,15,8,41.55202995729214,-0.9898386954448464,227.27982487562187
augmented_5,5,True,10.0,3,holdout,27.46296828197766,5,15,5,15,8,41.545454770908286,-0.9892090017745452,227.27982487562187
augmented_5,5,True,20.0,3,holdout,27.46296828197766,5,15,5,15,8,41.54419922936811,-0.9890887721701895,227.27982487562187
augmented_5,5,True,50.0,3,holdout,27.46296828197766,5,15,5,15,8,41.54337211216652,-0.9890095701062702,227.27982487562187
augmented_5,5,True,3.0,4,holdout,39.23889097479158,5,15,5,15,8,46.57060854500877,-1.2608461255638992,224.82569552238803
augmented_5,5,True,5.0,4,holdout,39.23889097479158,5,15,5,15,8,46.56387568945183,-1.2601924579167103,224.82569552238803
augmented_5,5,True,10.0,4,holdout,39.23889097479158,5,15,5,15,8,46.56077447394212,-1.2598914043473557,224.82569552238803
