record_id,doi,source_baseline,policy_level,formulation_label,formulation_name,api_name,api_concentration_value,api_concentration_unit,api_basis,excipient_composition,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,normalized_value_ug_cm2,device,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,source_evidence
record_d16c057fc54f,10.1208/s12249-013-9995-4,gpt,v2,F1,F1,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=+1 (1.0); particle size factor 1.0 nm note=source cell=+1 (300),amount_total,298.0,μg,24.0,h,465.625,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | endpoint@Table 2: F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_453da10d1ec5,10.1208/s12249-013-9995-4,gpt,v2,F1,F1,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=+1 (1.0); particle size factor 1.0 nm note=source cell=+1 (300),amount_total,536.5,μg,48.0,h,838.28125,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | endpoint@Table 2: F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_3ec6644ba612,10.1208/s12249-013-9995-4,gpt,v2,F1,F1,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=+1 (1.0); particle size factor 1.0 nm note=source cell=+1 (300),amount_total,1142.4,μg,72.0,h,1785.0,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | endpoint@Table 2: F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_6ef7cb7d4ade,10.1208/s12249-013-9995-4,gpt,v2,F2,F2,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=−1 (3.0); particle size factor 1.0 nm note=source cell=+1 (300),amount_total,155.9,μg,24.0,h,243.59375,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | endpoint@Table 2: F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_3672e05a60e6,10.1208/s12249-013-9995-4,gpt,v2,F2,F2,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=−1 (3.0); particle size factor 1.0 nm note=source cell=+1 (300),amount_total,580.2,μg,48.0,h,906.5625,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | endpoint@Table 2: F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_7f1a8e76ddde,10.1208/s12249-013-9995-4,gpt,v2,F2,F2,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=−1 (3.0); particle size factor 1.0 nm note=source cell=+1 (300),amount_total,1178.9,μg,72.0,h,1842.03125,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | endpoint@Table 2: F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_dc0536190cb0,10.1208/s12249-013-9995-4,gpt,v2,F3,F3,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=−1 (3.0); particle size factor 1.0 nm note=source cell=−1 (900),amount_total,140.2,μg,24.0,h,219.06249999999997,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | endpoint@Table 2: F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_94fdeacead82,10.1208/s12249-013-9995-4,gpt,v2,F3,F3,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=−1 (3.0); particle size factor 1.0 nm note=source cell=−1 (900),amount_total,543.5,μg,48.0,h,849.21875,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | endpoint@Table 2: F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_a8b14ec9c84e,10.1208/s12249-013-9995-4,gpt,v2,F3,F3,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=+1 (2.0); HPMC K100 level 1.0 coded level note=source cell=−1 (3.0); particle size factor 1.0 nm note=source cell=−1 (900),amount_total,759.6,μg,72.0,h,1186.875,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | endpoint@Table 2: F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
record_59963ee27e78,10.1208/s12249-013-9995-4,gpt,v2,F4,F4,Ibuprofen,5.0,% w/v,w/v,Vit. E TPGS level 1.0 coded level note=source cell=−1 (0.1); HPMC K100 level 1.0 coded level note=source cell=−1 (3.0); particle size factor 1.0 nm note=source cell=+1 (300),amount_total,132.3,μg,24.0,h,206.71875,Franz diffusion cell,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,"formulation@Table 2: F4 | +1 (300) | −1 (0.1) | −1 (3.0) | 96.3 (1.5) | 19.3 (3.3) | 132.3 (65.7) | 464.8 (18.2) | 734.4 (195.2) | endpoint@Table 2: F4 | +1 (300) | −1 (0.1) | −1 (3.0) | 96.3 (1.5) | 19.3 (3.3) | 132.3 (65.7) | 464.8 (18.2) | 734.4 (195.2) | membrane_type@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | membrane_source@Table 2: te of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official governme Study investigates the perme... | receptor_medium@Table 2: ration with PBS, the skin was mounted on static vertical Franz Diffusion cells—Permegear Inc., Bethlehem, PA (receptor volume 5.1 ml, donor area 0.64 cm 2 ) by clamping them bet... | dose_type@Table 2: , donor area 0.64 cm 2 ) by clamping them between the donor and receptor compartments. The receptor compartment was filled with PBS (pH 7.4) and maintained at 37 ± 0.5°C with co..."
