doi,formulation_label,membrane_type,membrane_source,endpoint_time_h,cumulative_amount_ug_cm2,api_concentration_pct,data_source
10.1208/s12249-013-9995-4,F1,porcine skin,porcine,24.0,465.625,5.0,literature
10.1208/s12249-013-9995-4,F1,porcine skin,porcine,48.0,838.28125,5.0,literature
10.1208/s12249-013-9995-4,F1,porcine skin,porcine,72.0,1785.0,5.0,literature
10.1208/s12249-013-9995-4,F2,porcine skin,porcine,24.0,243.59375,5.0,literature
10.1208/s12249-013-9995-4,F2,porcine skin,porcine,48.0,906.5625,5.0,literature
10.1208/s12249-013-9995-4,F2,porcine skin,porcine,72.0,1842.03125,5.0,literature
10.1208/s12249-013-9995-4,F3,porcine skin,porcine,24.0,219.06249999999997,5.0,literature
10.1208/s12249-013-9995-4,F3,porcine skin,porcine,48.0,849.21875,5.0,literature
10.1208/s12249-013-9995-4,F3,porcine skin,porcine,72.0,1186.875,5.0,literature
10.1208/s12249-013-9995-4,F4,porcine skin,porcine,24.0,206.71875,5.0,literature
10.1208/s12249-013-9995-4,F4,porcine skin,porcine,48.0,726.25,5.0,literature
10.1208/s12249-013-9995-4,F4,porcine skin,porcine,72.0,1147.5,5.0,literature
10.1208/s12249-013-9995-4,F5,porcine skin,porcine,24.0,487.96875,5.0,literature
10.1208/s12249-013-9995-4,F5,porcine skin,porcine,48.0,847.65625,5.0,literature
10.1208/s12249-013-9995-4,F5,porcine skin,porcine,72.0,1249.21875,5.0,literature
10.1208/s12249-013-9995-4,F6,porcine skin,porcine,24.0,232.5,5.0,literature
10.1208/s12249-013-9995-4,F6,porcine skin,porcine,48.0,861.25,5.0,literature
10.1208/s12249-013-9995-4,F6,porcine skin,porcine,72.0,1262.5,5.0,literature
10.1208/s12249-013-9995-4,F7,porcine skin,porcine,24.0,193.59375,5.0,literature
10.1208/s12249-013-9995-4,F7,porcine skin,porcine,48.0,406.40625,5.0,literature
10.1208/s12249-013-9995-4,F7,porcine skin,porcine,72.0,606.09375,5.0,literature
10.1208/s12249-013-9995-4,F8,porcine skin,porcine,24.0,206.71875,5.0,literature
10.1208/s12249-013-9995-4,F8,porcine skin,porcine,48.0,726.25,5.0,literature
10.1208/s12249-013-9995-4,F8,porcine skin,porcine,72.0,1147.5,5.0,literature
10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,,,12.0,2388.5350318471337,5.0,literature
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,stratum corneum,rat,0.5,0.77,,literature
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,stratum corneum,rat,1.0,0.75,,literature
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,stratum corneum,rat,2.0,0.74,,literature
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,stratum corneum,rat,3.0,0.73,,literature
10.1007/s11095-008-9785-y,Ibuprofen 750 μg/cm²,stratum corneum,rat,4.0,0.72,,literature
10.1039/d0ra00100g,rac-IBU,porcine skin,porcine,24.0,302840.0,,literature
10.1186/2050-6511-13-5,Ibuprofen Control,bovine split skin,,6.0,167.78,,literature
10.1186/2050-6511-13-5,Ibuprofen 200 μm,bovine split skin,,6.0,368.69,,literature
10.1186/2050-6511-13-5,Ibuprofen 300 μm,bovine split skin,,6.0,431.52,,literature
10.1208/s12249-019-1481-1,"Ibuprofen 1,3-BG 1:1",Porcine skin,porcine,1.0,50.0,,literature
10.1208/s12249-019-1481-1,Ibuprofen DPG 1:1,Porcine skin,porcine,2.0,70.0,,literature
10.1208/s12249-019-1481-1,Ibuprofen PEG60 1:1,Porcine skin,porcine,3.0,90.0,,literature
10.1208/s12249-019-1481-1,Ibuprofen Control,Porcine skin,porcine,1.0,20.0,,literature
10.1208/s12249-019-1481-1,Ibuprofen Glycerin 1:1,Porcine skin,porcine,2.0,100.0,,literature
10.1208/s12249-019-1481-1,Ibuprofen Mixed Vehicle,Porcine skin,porcine,3.0,110.0,,literature
10.1248/bpb.b19-00221,Ibuprofen,Caco-2,Human,2.0,11606.060606060606,0.383,literature
10.1523/jneurosci.5741-07.2008,text_1,skin,mouse skin,0.5,23.529411764705884,,literature
10.1523/jneurosci.5741-07.2008,text_2,skin,mouse skin,0.5,23.529411764705884,,literature
