source,formulation_id,design_group,design_method,replicate,poloxamer_407_pct,ethanol_pct,propylene_glycol_pct,cumulative_amount_24h_ug_cm2
Paper 1 (this study),Cf1,BBD,Box-Behnken design,1,30.0,20.0,15.0,184.17014925373138
Paper 1 (this study),Cf1,BBD,Box-Behnken design,2,30.0,20.0,15.0,254.69582089552242
Paper 1 (this study),Cf1,BBD,Box-Behnken design,3,30.0,20.0,15.0,205.4155223880597
Paper 1 (this study),Cf1,BBD,Box-Behnken design,4,30.0,20.0,15.0,213.16328358208958
Paper 1 (this study),Cf1,BBD,Box-Behnken design,5,30.0,20.0,15.0,217.1862686567164
Paper 1 (this study),Cf2,BBD,Box-Behnken design,1,30.0,15.0,10.0,257.11223880597015
Paper 1 (this study),Cf2,BBD,Box-Behnken design,2,30.0,15.0,10.0,250.97134328358212
Paper 1 (this study),Cf2,BBD,Box-Behnken design,3,30.0,15.0,10.0,299.4292537313433
Paper 1 (this study),Cf2,BBD,Box-Behnken design,4,30.0,15.0,10.0,221.35164179104478
Paper 1 (this study),Cf2,BBD,Box-Behnken design,5,30.0,15.0,10.0,242.510149253731
Paper 1 (this study),Cf3,BBD,Box-Behnken design,1,25.0,20.0,20.0,231.74238805970154
Paper 1 (this study),Cf3,BBD,Box-Behnken design,2,25.0,20.0,20.0,135.3023880597015
Paper 1 (this study),Cf3,BBD,Box-Behnken design,3,25.0,20.0,20.0,158.60059701492537
Paper 1 (this study),Cf3,BBD,Box-Behnken design,4,25.0,20.0,20.0,197.65223880597017
Paper 1 (this study),Cf3,BBD,Box-Behnken design,5,25.0,20.0,20.0,179.55134328358213
Paper 1 (this study),Cf4,BBD,Box-Behnken design,1,25.0,15.0,15.0,194.0919402985075
Paper 1 (this study),Cf4,BBD,Box-Behnken design,2,25.0,15.0,15.0,230.9131343283582
Paper 1 (this study),Cf4,BBD,Box-Behnken design,3,25.0,15.0,15.0,147.2492537313433
Paper 1 (this study),Cf4,BBD,Box-Behnken design,4,25.0,15.0,15.0,172.61641791044778
Paper 1 (this study),Cf4,BBD,Box-Behnken design,5,25.0,15.0,15.0,149.195074626866
Paper 1 (this study),Cf5,BBD,Box-Behnken design,1,25.0,10.0,20.0,256.96746268656716
Paper 1 (this study),Cf5,BBD,Box-Behnken design,2,25.0,10.0,20.0,216.84835820895523
Paper 1 (this study),Cf5,BBD,Box-Behnken design,3,25.0,10.0,20.0,417.34865671641796
Paper 1 (this study),Cf5,BBD,Box-Behnken design,4,25.0,10.0,20.0,190.43701492537315
Paper 1 (this study),Cf5,BBD,Box-Behnken design,5,25.0,10.0,20.0,270.627611940299
Paper 1 (this study),Cf6,BBD,Box-Behnken design,1,25.0,20.0,10.0,250.27552238805973
Paper 1 (this study),Cf6,BBD,Box-Behnken design,2,25.0,20.0,10.0,211.83880597014928
Paper 1 (this study),Cf6,BBD,Box-Behnken design,3,25.0,20.0,10.0,174.03641791044777
Paper 1 (this study),Cf6,BBD,Box-Behnken design,4,25.0,20.0,10.0,179.6340298507463
Paper 1 (this study),Cf6,BBD,Box-Behnken design,5,25.0,20.0,10.0,215.62746268656716
Paper 1 (this study),Cf7,BBD,Box-Behnken design,1,20.0,20.0,15.0,176.6340298507463
Paper 1 (this study),Cf7,BBD,Box-Behnken design,2,20.0,20.0,15.0,209.6259701492538
Paper 1 (this study),Cf7,BBD,Box-Behnken design,3,20.0,20.0,15.0,221.28746268656715
Paper 1 (this study),Cf7,BBD,Box-Behnken design,4,20.0,20.0,15.0,172.40417910447763
Paper 1 (this study),Cf7,BBD,Box-Behnken design,5,20.0,20.0,15.0,194.730895522388
Paper 1 (this study),Cf8,BBD,Box-Behnken design,1,30.0,10.0,15.0,248.27074626865675
Paper 1 (this study),Cf8,BBD,Box-Behnken design,2,30.0,10.0,15.0,132.90447761194034
Paper 1 (this study),Cf8,BBD,Box-Behnken design,3,30.0,10.0,15.0,219.8471641791045
Paper 1 (this study),Cf8,BBD,Box-Behnken design,4,30.0,10.0,15.0,244.1740298507463
Paper 1 (this study),Cf8,BBD,Box-Behnken design,5,30.0,10.0,15.0,244.38029850746273
Paper 1 (this study),Cf9,BBD,Box-Behnken design,1,20.0,15.0,10.0,225.2537313432836
Paper 1 (this study),Cf9,BBD,Box-Behnken design,2,20.0,15.0,10.0,189.13194029850746
Paper 1 (this study),Cf9,BBD,Box-Behnken design,3,20.0,15.0,10.0,126.83194029850748
Paper 1 (this study),Cf9,BBD,Box-Behnken design,4,20.0,15.0,10.0,172.07582089552238
Paper 1 (this study),Cf9,BBD,Box-Behnken design,5,20.0,15.0,10.0,217.51014925373136
Paper 1 (this study),Cf10,BBD,Box-Behnken design,1,25.0,10.0,10.0,178.42477611940302
Paper 1 (this study),Cf10,BBD,Box-Behnken design,2,25.0,10.0,10.0,173.93641791044777
Paper 1 (this study),Cf10,BBD,Box-Behnken design,3,25.0,10.0,10.0,266.9325373134329
Paper 1 (this study),Cf10,BBD,Box-Behnken design,4,25.0,10.0,10.0,194.02447761194034
Paper 1 (this study),Cf10,BBD,Box-Behnken design,5,25.0,10.0,10.0,238.278358208955
Paper 1 (this study),Cf11,BBD,Box-Behnken design,1,20.0,15.0,20.0,261.27671641791045
Paper 1 (this study),Cf11,BBD,Box-Behnken design,2,20.0,15.0,20.0,215.58417910447764
Paper 1 (this study),Cf11,BBD,Box-Behnken design,3,20.0,15.0,20.0,197.86626865671641
Paper 1 (this study),Cf11,BBD,Box-Behnken design,4,20.0,15.0,20.0,213.21791044776123
Paper 1 (this study),Cf11,BBD,Box-Behnken design,5,20.0,15.0,20.0,222.29014925373133
Paper 1 (this study),Cf12,BBD,Box-Behnken design,1,30.0,15.0,20.0,187.5605970149254
Paper 1 (this study),Cf12,BBD,Box-Behnken design,2,30.0,15.0,20.0,196.4808955223881
Paper 1 (this study),Cf12,BBD,Box-Behnken design,3,30.0,15.0,20.0,219.79134328358208
Paper 1 (this study),Cf12,BBD,Box-Behnken design,4,30.0,15.0,20.0,172.01880597014926
Paper 1 (this study),Cf12,BBD,Box-Behnken design,5,30.0,15.0,20.0,147.45432835820895
Paper 1 (this study),Cf13,BBD,Box-Behnken design,1,20.0,10.0,15.0,203.51402985074628
Paper 1 (this study),Cf13,BBD,Box-Behnken design,2,20.0,10.0,15.0,241.98208955223882
Paper 1 (this study),Cf13,BBD,Box-Behnken design,3,20.0,10.0,15.0,328.3185074626866
Paper 1 (this study),Cf13,BBD,Box-Behnken design,4,20.0,10.0,15.0,236.96656716417914
Paper 1 (this study),Cf13,BBD,Box-Behnken design,5,20.0,10.0,15.0,299.368805970149
Paper 1 (this study),Cf14,BBD,Box-Behnken design,1,25.0,15.0,15.0,232.30925373134332
Paper 1 (this study),Cf14,BBD,Box-Behnken design,2,25.0,15.0,15.0,186.27402985074627
Paper 1 (this study),Cf14,BBD,Box-Behnken design,3,25.0,15.0,15.0,245.40059701492538
Paper 1 (this study),Cf14,BBD,Box-Behnken design,4,25.0,15.0,15.0,222.60149253731345
Paper 1 (this study),Cf14,BBD,Box-Behnken design,5,25.0,15.0,15.0,229.147164179104
Paper 1 (this study),Cf15,BBD,Box-Behnken design,1,25.0,15.0,15.0,137.30776119402987
Paper 1 (this study),Cf15,BBD,Box-Behnken design,2,25.0,15.0,15.0,150.9665671641791
Paper 1 (this study),Cf15,BBD,Box-Behnken design,3,25.0,15.0,15.0,230.68
Paper 1 (this study),Cf15,BBD,Box-Behnken design,4,25.0,15.0,15.0,227.27044776119405
Paper 1 (this study),Cf15,BBD,Box-Behnken design,5,25.0,15.0,15.0,273.956567164179
