formulation_label,particle_size_nm,vit_e_tpgs_pct_wv,hpmc_k100_pct_wv,time_h,cum_amount_ug,cum_amount_sd_ug,cum_amount_ug_cm2,cum_amount_sd_ug_cm2
F1,300,2.0,1.0,24,298.0,57.8,465.625,90.3125
F1,300,2.0,1.0,48,536.5,63.4,838.28125,99.0625
F1,300,2.0,1.0,72,1142.4,107.5,1785.0,167.96875
F2,300,2.0,3.0,24,155.9,11.4,243.59375,17.8125
F2,300,2.0,3.0,48,580.2,58.6,906.5625,91.5625
F2,300,2.0,3.0,72,1178.9,144.2,1842.03125,225.31249999999997
F3,900,2.0,3.0,24,140.2,35.9,219.06249999999997,56.09375
F3,900,2.0,3.0,48,543.5,112.5,849.21875,175.78125
F3,900,2.0,3.0,72,759.6,94.4,1186.875,147.5
F4,300,0.1,3.0,24,132.3,65.7,206.71875,102.65625
F4,300,0.1,3.0,48,464.8,18.2,726.25,28.4375
F4,300,0.1,3.0,72,734.4,195.2,1147.5,305.0
F5,900,0.1,3.0,24,312.3,53.1,487.96875,82.96875
F5,900,0.1,3.0,48,542.5,65.1,847.65625,101.71874999999999
F5,900,0.1,3.0,72,799.5,133.3,1249.21875,208.28125
F6,900,2.0,1.0,24,148.8,28.6,232.5,44.6875
F6,900,2.0,1.0,48,551.2,123.0,861.25,192.1875
F6,900,2.0,1.0,72,808.0,128.9,1262.5,201.40625
F7,900,0.1,1.0,24,123.9,24.6,193.59375,38.4375
F7,900,0.1,1.0,48,260.1,81.5,406.40625,127.34375
F7,900,0.1,1.0,72,387.9,146.1,606.09375,228.28125
F8,300,0.1,1.0,24,132.3,51.6,206.71875,80.625
F8,300,0.1,1.0,48,464.8,110.8,726.25,173.125
F8,300,0.1,1.0,72,734.4,88.8,1147.5,138.75
