N,repeat,scenario,accuracy,rmse,r2,type1,type2,tp,tn,fp,fn,tp_rate,tn_rate,fp_rate,fn_rate,lead_rate,stop_rate,continue_rate,n_should_continue,n_successful_predictions,learned_kernel,learned_length_scale,warning_count
5,0,A,1.0,147.09580674461347,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.292**2 * RBF(length_scale=[0.146, 2.8, 0.0361, 0.147, 0.292])",0.1462;2.802;0.03614;0.1474;0.292,0
5,0,B,1.0,147.09580674461347,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.292**2 * RBF(length_scale=[0.0629, 1.14, 2.34, 0.0153])",0.06291;1.14;2.342;0.01534,0
5,1,A,1.0,102.58181907697562,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,1,B,1.0,102.58181907697562,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,2,A,1.0,116.6913817743816,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,2,B,1.0,116.6913817743816,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,3,A,1.0,94.27366595827006,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,3,B,1.0,94.27366595827006,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,4,A,1.0,114.0584577966063,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,4,B,1.0,114.0584577966063,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
