scenario,N,accuracy_mean,accuracy_std,rmse_mean,rmse_std,r2_mean,r2_std,type1_mean,type1_std,type2_mean,type2_std,lead_rate_mean,lead_rate_std,tp_rate_mean,tp_rate_std,tn_rate_mean,tn_rate_std,fp_rate_mean,fp_rate_std,fn_rate_mean,fn_rate_std,stop_rate_mean,stop_rate_std,continue_rate_mean,continue_rate_std,n_should_continue_mean,n_should_continue_std,warning_count_mean,warning_count_sum
A,5,0.7959999999999999,0.34164069919571755,117.60515899746684,34.72167712046009,0.0,0.0,0.06,0.2398979374820952,0.96,1.7256764423476,0.20666666666666667,0.11837907518720049,0.188,0.04797958749641905,0.6080000000000001,0.34513528846952,0.19200000000000003,0.34513528846952,0.012000000000000002,0.047979587496419056,0.62,0.3551372255616015,0.38,0.3551372255616015,1.0,0.0,0.82,41
A,8,0.8875,0.2345343845814946,122.18307696512815,29.895406978147125,2.220446049250313e-18,1.015308838481489e-16,0.34,0.4785181206984065,0.56,1.9183326093250876,0.2825,0.08637723124236796,0.0825,0.05981476508730081,0.805,0.23979157616563596,0.07,0.23979157616563596,0.0425,0.05981476508730081,0.8475,0.2591316937271039,0.1525,0.2591316937271039,1.0,0.0,0.74,37
A,10,0.884,0.2053965800641306,122.31428768247497,30.17589241967997,-2.220446049250313e-18,1.238528200972375e-16,0.62,0.4903143514780147,0.54,2.159081437338857,0.30266666666666664,0.0787775075234675,0.038000000000000006,0.04903143514780147,0.8460000000000001,0.2159081437338857,0.054000000000000006,0.2159081437338857,0.062,0.04903143514780147,0.9079999999999999,0.2363325225704025,0.09200000000000001,0.2363325225704025,1.0,0.0,0.78,39
A,15,0.9226666666666666,0.12516474404530792,129.3918597784716,26.064041823231005,2.099875828776021e-14,1.4841957169339737e-13,0.88,0.32826072265931594,0.28,1.9798989873223334,0.3244444444444444,0.04730052198651219,0.008,0.02188404817728773,0.9146666666666667,0.13199326582148888,0.018666666666666668,0.13199326582148888,0.058666666666666666,0.021884048177287726,0.9733333333333333,0.14190156595953654,0.026666666666666665,0.14190156595953657,1.0,0.0,0.74,37
A,20,0.951,0.007071067811865487,131.25675843172172,22.472841673839774,1.1710632463746152e-14,8.288688088786939e-14,0.98,0.1414213562373095,0.0,0.0,0.33299999999999996,0.002357022603955158,0.001,0.007071067811865475,0.95,0.0,0.0,0.0,0.049,0.007071067811865475,0.9990000000000001,0.007071067811865487,0.001,0.007071067811865475,1.0,0.0,0.7,35
A,30,0.9666666666666667,0.0,134.21374798585433,19.282264604573992,-8.881784197001253e-18,8.640604721801432e-17,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.74,37
A,50,0.98,0.0,137.37150306201679,15.068532719343375,9.8205308329824e-11,6.944152411492624e-10,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.62,31
A,80,0.9875,0.0,138.6019277025185,12.936532415788042,0.00029231571238009125,0.0020661808163445206,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.0125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.72,36
A,100,0.99,0.0,139.81470178336585,12.150965171125076,6.940978120151265e-07,4.842089596054909e-06,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.66,33
A,150,0.9933333333333333,0.0,139.81881686355035,10.39736710985149,6.348512765480096e-05,0.00031388853194406173,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.9933333333333333,0.0,0.0,0.0,0.006666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.92,46
A,200,0.995,0.0,141.15036692580142,8.818341859460451,0.00033881029334164036,0.0012665615152712723,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.96,48
B,5,0.7959999999999999,0.34164069919571755,117.60515899746684,34.72167712046009,0.0,0.0,0.06,0.2398979374820952,0.96,1.7256764423476,0.41333333333333333,0.23675815037440098,0.188,0.04797958749641905,0.6080000000000001,0.34513528846952,0.19200000000000003,0.34513528846952,0.012000000000000002,0.047979587496419056,0.62,0.3551372255616015,0.38,0.3551372255616015,1.0,0.0,0.82,41
B,8,0.8875,0.2345343845814946,122.18307696512812,29.89540697814712,7.549516567451065e-17,3.894284070637409e-16,0.34,0.4785181206984065,0.56,1.9183326093250876,0.565,0.17275446248473592,0.0825,0.05981476508730081,0.805,0.23979157616563596,0.07,0.23979157616563596,0.0425,0.05981476508730081,0.8475,0.2591316937271039,0.1525,0.2591316937271039,1.0,0.0,0.74,37
B,10,0.884,0.2053965800641306,122.31428768247497,30.17589241967997,-2.220446049250313e-18,1.238528200972375e-16,0.62,0.4903143514780147,0.54,2.159081437338857,0.6053333333333333,0.157555015046935,0.038000000000000006,0.04903143514780147,0.8460000000000001,0.2159081437338857,0.054000000000000006,0.2159081437338857,0.062,0.04903143514780147,0.9079999999999999,0.2363325225704025,0.09200000000000001,0.2363325225704025,1.0,0.0,0.78,39
B,15,0.9226666666666666,0.12516474404530792,129.39185858182864,26.06404128344721,1.7428530321161872e-08,8.63299857131107e-08,0.88,0.32826072265931594,0.28,1.9798989873223334,0.6488888888888888,0.09460104397302438,0.008,0.02188404817728773,0.9146666666666667,0.13199326582148888,0.018666666666666668,0.13199326582148888,0.058666666666666666,0.021884048177287726,0.9733333333333333,0.14190156595953654,0.026666666666666665,0.14190156595953657,1.0,0.0,0.74,37
B,20,0.951,0.007071067811865487,131.25674610093085,22.472850643729494,2.1409573953912185e-07,1.5016089509533589e-06,0.98,0.1414213562373095,0.0,0.0,0.6659999999999999,0.004714045207910316,0.001,0.007071067811865475,0.95,0.0,0.0,0.0,0.049,0.007071067811865475,0.9990000000000001,0.007071067811865487,0.001,0.007071067811865475,1.0,0.0,0.72,36
B,30,0.9666666666666667,0.0,134.21176704875703,19.28178895525675,2.87627702364035e-05,0.0001480787505473671,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,40
B,50,0.98,0.0,137.2823974377048,14.93135685720553,0.0011267055585460462,0.00494913061012709,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.76,38
B,80,0.9875,0.0,138.3304835671391,12.969468018624012,0.0041029382993413984,0.01756850884656507,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.0125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.86,43
B,100,0.99,0.0,139.53868272712,12.363950224299797,0.004133942316549477,0.015277861878166495,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.04,52
B,150,0.9933333333333333,0.0,139.50341636939342,9.887507561825252,0.003970307267998328,0.016398009495703074,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.9933333333333333,0.0,0.0,0.0,0.006666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.32,66
B,200,0.995,0.0,140.80533778184926,8.593977481712122,0.004989164087298223,0.010639430873057402,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.62,81
