model,condition,repeat,R2,RMSE,MAE,n_valid
claude-sonnet-4-6,general_context,0,0.7589523633430206,231.25698062380647,181.66093750000002,24
claude-sonnet-4-6,general_context,1,0.7652332216537701,228.22422041745756,174.1484375,24
claude-sonnet-4-6,general_context,2,0.753866342947392,233.6839658147436,184.09062500000002,24
claude-sonnet-4-6,icl,0,0.6498026917898156,278.74033259347834,208.98958333333334,24
claude-sonnet-4-6,icl,1,0.6713425397372679,270.03195430847853,202.46875,24
claude-sonnet-4-6,icl,2,0.6269331299871406,287.6979410875051,214.82291666666666,24
claude-sonnet-4-6,no_context,0,-1.8973957690555792,801.7654230546423,678.806875,24
claude-sonnet-4-6,no_context,1,-1.8790038264184354,799.2166688576683,676.7197916666667,24
claude-sonnet-4-6,no_context,2,-1.8770897228295045,798.9509453748487,676.4885416666667,24
claude-sonnet-4-6,permuted_icl,0,0.6225358050257095,289.3885163217543,212.4453125,24
claude-sonnet-4-6,permuted_icl,1,0.20133244408652406,420.9460449438933,287.9166666666667,24
claude-sonnet-4-6,permuted_icl,2,0.46341267609040493,345.0353693278989,252.20572916666666,24
gpt-4o-mini,general_context,0,0.43737718257607816,353.30687033923675,272.1614583333333,24
gpt-4o-mini,general_context,1,0.5496480106149142,316.09633098509636,234.66145833333334,24
gpt-4o-mini,general_context,2,0.441532318292309,351.99981481373857,275.4036458333333,24
gpt-4o-mini,icl,0,0.830446401284781,193.95318604989774,114.38541666666667,24
gpt-4o-mini,icl,1,0.7187911319531944,249.78014779616277,155.36197916666666,24
gpt-4o-mini,icl,2,0.7875780186901572,217.09166013400787,130.48958333333334,24
gpt-4o-mini,no_context,0,-0.928022702911321,654.0327321970639,544.2864583333334,24
gpt-4o-mini,no_context,1,-0.9700453494170169,661.1218699457559,544.3156250000001,24
gpt-4o-mini,no_context,2,-1.1605791657632767,692.3544757923787,578.0322916666667,24
gpt-4o-mini,permuted_icl,0,0.4991160083869207,333.3588490396991,246.78385416666666,24
gpt-4o-mini,permuted_icl,1,0.7107389367043282,253.3310372231814,175.23697916666666,24
gpt-4o-mini,permuted_icl,2,0.29268841997305517,396.1400903612335,278.4739583333333,24
gpt-5.4,general_context,0,0.5759580013152854,306.7240630907628,248.828125,24
gpt-5.4,general_context,1,0.5186629053502075,326.78948824726024,255.61197916666666,24
gpt-5.4,general_context,2,0.6185994947195287,290.8935181466572,235.80729166666666,24
gpt-5.4,icl,0,0.7134788731036938,252.12838235987286,213.90625,24
gpt-5.4,icl,1,0.6916068960030596,261.5747032074641,218.984375,24
gpt-5.4,icl,2,0.7275402983989366,245.86377779793614,200.86458333333334,24
gpt-5.4,no_context,0,-1.3135259049508616,716.4412707043681,587.178125,24
gpt-5.4,no_context,1,-1.333130857376474,719.4704492814996,588.0989583333334,24
gpt-5.4,no_context,2,-1.2580360623952496,707.7972141423392,575.3822916666667,24
gpt-5.4,permuted_icl,0,0.6899812637112777,262.26321630931443,185.29947916666666,24
gpt-5.4,permuted_icl,1,0.35116339841646993,379.4120174742838,259.5442708333333,24
gpt-5.4,permuted_icl,2,0.20267810943733566,420.591271980775,292.6875,24
