model,model_label,condition,condition_label,R2,RMSE,MAE,n_valid,n_failed_parse,parse_fail_calls,input_tokens,output_tokens,total_tokens,cost_usd_estimate
gpt-4o-mini,GPT-4o-mini,no_context,No context,-0.9876358905084612,664.0668901548781,555.5447916666667,24,0,0,2952,744,3696,0.0008892000000000001
gpt-4o-mini,GPT-4o-mini,general_context,General,0.5003915241960171,332.93412441950187,256.9357638888889,24,0,0,5232,682,5914,0.001194
gpt-4o-mini,GPT-4o-mini,icl,ICL,0.831946968686573,193.09302551854702,127.80902777777776,24,0,0,15555,767,16322,0.0027934499999997
gpt-4o-mini,GPT-4o-mini,permuted_icl,Permuted ICL,0.7289774575950201,245.21448439225222,175.66319444444446,24,0,0,15555,764,16319,0.0027916499999997
claude-sonnet-4-6,Claude Sonnet 4.6,no_context,No context,-1.8844744740464074,799.975639319763,677.3384027777778,24,0,0,20784,1824,22608,0.089712
claude-sonnet-4-6,Claude Sonnet 4.6,general_context,General,0.7632181000339733,229.2016093167694,173.28524305555558,24,0,0,23592,1845,25437,0.098451
claude-sonnet-4-6,Claude Sonnet 4.6,icl,ICL,0.6508845686235613,278.3094383962463,208.66319444444443,24,0,0,36099,1725,37824,0.13417199999999788
claude-sonnet-4-6,Claude Sonnet 4.6,permuted_icl,Permuted ICL,0.6065293197502674,295.46061685170116,200.29427083333334,24,0,0,36099,1722,37821,0.1341269999999979
gpt-5.4,GPT-5.4,no_context,No context,-1.3006847708679214,714.4502145641163,583.553125,24,0,0,3624,792,4416,0.10188000000000001
gpt-5.4,GPT-5.4,general_context,General,0.5860538660269325,303.0507251678167,239.24479166666666,24,0,0,5904,807,6711,0.13698
gpt-5.4,GPT-5.4,icl,ICL,0.7181262111204825,250.07527711433946,209.63715277777783,24,0,0,16227,809,17036,0.29194499999999995
gpt-5.4,GPT-5.4,permuted_icl,Permuted ICL,0.5638464601832348,311.0735696770001,212.8315972222222,24,0,0,16227,810,17037,0.29200499999999996
