model,model_label,provider,fold,condition,repeat,parsed_success,input_tokens,output_tokens,total_tokens,cost_usd_estimate,raw_response_path,error
gpt-4o-mini,GPT-4o-mini,openai,F1,no_context,0,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_no_context_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,no_context,1,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_no_context_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,no_context,2,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_no_context_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,general_context,0,True,218,29,247,5.01e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_general_context_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,general_context,1,True,218,29,247,5.01e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_general_context_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,general_context,2,True,218,28,246,4.95e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_general_context_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,icl,0,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_icl_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,icl,1,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_icl_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,icl,2,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_icl_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,permuted_icl,0,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_permuted_icl_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,permuted_icl,1,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_permuted_icl_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F1,permuted_icl,2,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F1_permuted_icl_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,no_context,0,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_no_context_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,no_context,1,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_no_context_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,no_context,2,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_no_context_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,general_context,0,True,218,29,247,5.01e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_general_context_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,general_context,1,True,218,29,247,5.01e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_general_context_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,general_context,2,True,218,29,247,5.01e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_general_context_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,icl,0,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_icl_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,icl,1,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_icl_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,icl,2,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_icl_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,permuted_icl,0,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_permuted_icl_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,permuted_icl,1,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_permuted_icl_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F2,permuted_icl,2,True,648,32,680,0.0001164,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F2_permuted_icl_2.json,
gpt-4o-mini,GPT-4o-mini,openai,F3,no_context,0,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F3_no_context_0.json,
gpt-4o-mini,GPT-4o-mini,openai,F3,no_context,1,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F3_no_context_1.json,
gpt-4o-mini,GPT-4o-mini,openai,F3,no_context,2,True,123,31,154,3.7050000000000006e-05,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\outputs\demonstration_v6\raw_responses\gpt-4o-mini_F3_no_context_2.json,
