module,metric,count
detection.router,api_failures,0
detection.router,attempt_failures,1
detection.router,auth_failures,0
detection.router,final_failures,0
detection.router,malformed_output_failures,0
detection.router,other_failures,1
detection.router,rate_limit_failures,0
detection.router,requests,0
detection.router,retried_requests,0
detection.router,retries_attempted,1
detection.router,retry_successes,0
detection.router,schema_validation_failures,0
detection.router,timeout_failures,0
detection.router,transport_failures,0
triage.llm_triage,api_failures,0
triage.llm_triage,attempt_failures,0
triage.llm_triage,auth_failures,0
triage.llm_triage,final_failures,0
triage.llm_triage,malformed_output_failures,0
triage.llm_triage,other_failures,0
triage.llm_triage,rate_limit_failures,0
triage.llm_triage,requests,1
triage.llm_triage,retried_requests,0
triage.llm_triage,retries_attempted,0
triage.llm_triage,retry_successes,0
triage.llm_triage,schema_validation_failures,0
triage.llm_triage,timeout_failures,0
triage.llm_triage,transport_failures,0
