paper_id,doi,pmid,pmcid,title,preferred_format,available_formats,access_urls,local_paths,status,notes
paper_3978d47b3a2c,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,9176998.0,,Topical administration of racemic ibuprofen.,unresolved,[],{},{},unresolved,[]
paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,20393931.0,,Topical agents or dressings for pain in venous leg ulcers.,pdf,['pdf'],{'pdf': 'https://eprints.leedsbeckett.ac.uk/id/eprint/499/1/Topical%20agents%20or%20dressings%20for%20pain%20in%20venous%20leg%20ulcers.pdf'},{'pdf': 'papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf'},downloaded,"['seed_pdf_url_from_metadata', 'legacy_pdf_reused_local']"
paper_92afc39ccd63,10.1002/14651858.cd001177.pub3,23152206.0,PMC7054838,Topical agents or dressings for pain in venous leg ulcers.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC7054838', 'pdf': 'https://europepmc.org/articles/PMC7054838?pdf=render'}",{'pdf': 'papers\\pdf\\10.1002_14651858.cd001177.pub3__a6c5e430fc.pdf'},downloaded,['legacy_pdf_reused_local']
paper_5bf9e3e37e6c,10.1002/bdd.631,18985797.0,,Skin disposition of menthol after its application in the presence of drug substances.,unresolved,[],{},{},unresolved,[]
paper_89ec992d2cac,10.1002/etc.4302,30370675.0,,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,pdf,['pdf'],{'pdf': 'http://minerva-access.unimelb.edu.au/bitstreams/99b92823-e2e3-5a20-b790-8bad09c24a3c/download'},{'pdf': 'papers\\pdf\\10.1002_etc.4302__6928b548af.pdf'},downloaded,['legacy_pdf_reused_local']
paper_1e2fb1658151,10.1002/jmr.3089,38894531.0,,"Synthesis, molecular dynamics simulation, and evaluation of biological activity of novel flurbiprofen and ibuprofen-like compounds.",unresolved,[],{},{},unresolved,[]
paper_78ec4fb95c70,10.1002/jps.20623,16724324.0,,Penetration of crystalline powder particles into excised human skin membranes and model gels from a supersonic powder injector.,unresolved,[],{},{},unresolved,[]
paper_e23ccfcf23e7,10.1002/jps.23548,23589422.0,,"Influence of physicochemical properties on the in vitro skin permeation of the enantiomers, racemate, and eutectics of ibuprofen for enhanced transdermal drug delivery.",unresolved,[],{},{},unresolved,[]
paper_0ea81ef2fdf2,10.1002/jps.24052,24984880.0,,Numerical modelling of transdermal delivery from matrix systems: parametric study and experimental validation with silicone matrices.,unresolved,[],{},{},unresolved,[]
paper_18f9f1c31ac6,10.1002/jps.24556,26213208.0,,Investigation of pH Influence on Skin Permeation Behavior of Weak Acids Using Nonsteroidal Anti-Inflammatory Drugs.,unresolved,[],{},{},unresolved,[]
paper_561abc239285,10.1002/jps.2600841208,8748324.0,,Transdermal delivery of drugs with differing lipophilicities using azone analogs as dermal penetration enhancers.,unresolved,[],{},{},unresolved,[]
paper_d264824515e7,10.1002/mabi.201900412,32090495.0,,Stimuli Responsive Scaffolds Based on Carboxymethyl Starch and Poly(2-Dimethylaminoethyl Methacrylate) for Anti-Inflammatory Drug Delivery.,unresolved,[],{},{},unresolved,[]
paper_1f3c544b574c,10.1007/978-1-4939-0363-4_7,24567135.0,,Microneedle-iontophoresis combinations for enhanced transdermal drug delivery.,pdf,['pdf'],{'pdf': 'https://link.springer.com/content/pdf/bfm:978-1-4939-0363-4/1?pdf=chapter%20toc'},{'pdf': 'papers\\pdf\\10.1007_978-1-4939-0363-4_7__6fa5f5aae3.pdf'},downloaded,['legacy_pdf_reused_local']
paper_bb4a9b4e056d,10.1007/s10856-012-4805-1,23138838.0,,Design and in vitro evaluation of transdermal patches based on ibuprofen-loaded electrospun fiber mats.,unresolved,[],{},{},unresolved,[]
paper_6f8de36d1eed,10.1007/s11095-012-0939-6,23187866.0,PMC3760706,Investigation of follicular and non-follicular pathways for polyarginine and oleic acid-modified nanoparticles.,html,"['html', 'pdf']","{'pdf': 'https://europepmc.org/articles/pmc3760706?pdf=render', 'html': 'https://europepmc.org/articles/PMC3760706'}",{'pdf': 'papers\\pdf\\10.1007_s11095-012-0939-6__3ec6d78b77.pdf'},downloaded,['legacy_pdf_reused_local']
paper_71e83a401525,10.1007/s11095-020-02887-9,32856172.0,PMC7452932,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,html,"['html', 'pdf']","{'pdf': 'https://link.springer.com/content/pdf/10.1007/s11095-020-02887-9.pdf', 'html': 'https://europepmc.org/articles/PMC7452932'}",{'pdf': 'papers\\pdf\\10.1007_s11095-020-02887-9__fab416e26a.pdf'},downloaded,"['seed_pdf_url_from_metadata', 'legacy_pdf_reused_local']"
paper_5da0ee39f06c,10.1007/s12247-017-9305-x,29497462.0,PMC5816128,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC5816128', 'pdf': 'https://europepmc.org/articles/PMC5816128?pdf=render'}",{'pdf': 'papers\\pdf\\10.1007_s12247-017-9305-x__411494318e.pdf'},downloaded,['legacy_pdf_reused_local']
paper_386b33e64d0b,10.1007/s12272-012-1214-4,23263811.0,,Increase of the transdermal penetration of testosterone by miconazole nitrate.,unresolved,[],{},{},unresolved,[]
paper_2e395413930b,10.1007/s13346-014-0211-1,25787335.0,,Considerations in the sterile manufacture of polymeric microneedle arrays.,unresolved,[],{},{},unresolved,[]
paper_b21c07f7ac33,10.1007/s13346-022-01182-x,35604634.0,PMC9242938,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,html,"['html', 'pdf']","{'pdf': 'https://link.springer.com/content/pdf/10.1007/s13346-022-01182-x.pdf', 'html': 'https://europepmc.org/articles/PMC9242938'}",{'pdf': 'papers\\pdf\\10.1007_s13346-022-01182-x__31f896767a.pdf'},downloaded,"['seed_pdf_url_from_metadata', 'legacy_pdf_reused_local']"
paper_c66630ee6803,10.1016/j.bioactmat.2021.01.003,34258478.0,PMC8233160,Dual stimuli-responsive polyurethane-based hydrogels as smart drug delivery carriers for the advanced treatment of chronic skin wounds.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC8233160', 'pdf': 'https://europepmc.org/articles/PMC8233160?pdf=render'}",{'pdf': 'papers\\pdf\\10.1016_j.bioactmat.2021.01.003__59f9fad316.pdf'},downloaded,['legacy_pdf_reused_local']
paper_d9da32119633,10.1016/j.carbpol.2011.11.013,nan,,The release of active substances from selected carbohydrate biopolymer membranes,unresolved,[],{},{},unresolved,[]
paper_145bb43cad0a,10.1016/j.carbpol.2025.124499,41198314.0,,Exploring new buccal films based on hydroxyethyl cellulose and Linecaps® combination for the pediatric delivery of hydrophobic molecules.,unresolved,[],{},{},unresolved,[]
paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,35860194.0,PMC9289567,Iron-containing metal-organic framework thin film as a drug delivery system.,html,"['html', 'pdf']","{'html': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567', 'pdf': 'https://europepmc.org/articles/PMC9289567?pdf=render'}",{'pdf': 'papers\\pdf\\10.1016_j.colsurfa.2022.129611__1a59f9f2dd.pdf'},downloaded,['legacy_pdf_reused_local']
paper_c465f5f70f49,10.1016/j.colsurfb.2014.10.005,25456987.0,,BSA/polyelectrolyte core-shell nanoparticles for controlled release of encapsulated ibuprofen.,unresolved,[],{},{},unresolved,[]
paper_b97c42ce1451,10.1016/j.colsurfb.2016.01.055,26896663.0,,Ionisation effects on the permeation of pharmaceutical compounds through silicone membrane.,unresolved,[],{},{},unresolved,[]
paper_553bb2fec96d,10.1016/j.colsurfb.2020.110886,32109824.0,,Enhancement of transdermal delivery of artemisinin using microemulsion vehicle based on ionic liquid and lidocaine ibuprofen.,unresolved,[],{},{},unresolved,[]
paper_ed645f9fbf81,10.1016/j.ejpb.2005.01.014,15996584.0,,The influence of topical formulations on the permeation of 5-aminolevulinic acid and its n-butyl ester through excised human stratum corneum.,unresolved,[],{},{},unresolved,[]
