stage,bucket,count
access_status,downloaded,85
access_status,resolved,40
access_status,unresolved,142
route_unresolved_reason,cochrane_review_title_indicates_a_review_article_about_topical_agents_or_dressin,1
route_unresolved_reason,missing_structured_and_pdf_router_source,147
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,31
route_unresolved_reason,only_bibliographic_ethos_update_text_was_supplied_but_the_title_clearly_indicate,1
route_unresolved_reason,only_europe_pmc_boilerplate_is_visible_in_the_supplied_pages_no_article_body_tab,1
route_unresolved_reason,only_europe_pmc_boilerplate_navigation_was_provided_for_the_pdf_pages_no_article,1
route_unresolved_reason,only_europe_pmc_boilerplate_pages_are_present_in_the_supplied_text_no_article_co,1
route_unresolved_reason,only_europe_pmc_landing_page_boilerplate_is_present_in_the_supplied_text_no_arti,3
route_unresolved_reason,only_europe_pmc_landing_page_boilerplate_was_supplied_no_article_content_methods,1
route_unresolved_reason,only_europe_pmc_landing_page_navigation_text_is_present_in_the_supplied_pdf_text,1
route_unresolved_reason,only_europe_pmc_landing_page_text_is_visible_in_the_supplied_pdf_extract_not_the,1
route_unresolved_reason,only_europe_pmc_landing_page_text_was_supplied_not_the_article_content_no_extrac,1
route_unresolved_reason,only_europe_pmc_site_boilerplate_is_present_in_the_supplied_pdf_text_no_article_,1
route_unresolved_reason,only_europe_pmc_site_navigation_text_is_available_in_the_provided_pdf_pages_the_,1
route_unresolved_reason,only_europe_pmc_wrapper_landing_text_is_present_in_the_supplied_pdf_pages_no_art,1
route_unresolved_reason,only_europe_pmc_wrapper_text_is_present_in_the_supplied_pdf_pages_the_article_co,1
route_unresolved_reason,only_europe_pmc_wrapper_text_was_supplied_not_the_article_content_ibuprofen_is_c,1
route_unresolved_reason,only_front_matter_europe_pmc_boilerplate_is_visible_in_the_supplied_pages_so_ext,1
route_unresolved_reason,only_front_matter_europe_pmc_navigation_text_was_supplied_no_abstract_methods_ta,1
route_unresolved_reason,only_the_europe_pmc_landing_page_text_is_visible_in_the_supplied_pdf_text_no_art,1
route_unresolved_reason,only_the_first_page_indicator_was_supplied_and_no_readable_article_text_was_incl,1
route_unresolved_reason,only_the_title_and_europe_pmc_boilerplate_are_visible_in_the_supplied_text_the_t,1
route_unresolved_reason,only_the_title_header_snippet_was_supplied_paper_is_a_primary_experimental_percu,1
route_unresolved_reason,only_the_title_page_was_supplied_the_title_strongly_indicates_an_in_vitro_permea,1
route_unresolved_reason,supplied_pdf_text_appears_to_be_europe_pmc_landing_navigation_content_only_not_t,1
route_unresolved_reason,supplied_pdf_text_is_not_the_article_content_only_europe_pmc_boilerplate_navigat,1
