stage,bucket,count
figure_stage,digitization_no_output,2
figure_stage,digitized_curves,7
figure_stage,digitized_endpoints_failed,2
figure_stage,digitized_endpoints_ok,7
figure_stage,mapped_curves,7
figure_stage,triage_artifacts,7
figure_stage,triage_digitize_candidates,4
figure_stage,triage_has_permeation_plot_true,4
figure_stage,unmapped_curves,0
figure_stage,vlm_readings_readable,7
figure_stage,vlm_readings_total,7
figure_stage,vlm_used_as_final,3
figure_gate,skipped:low_route_confidence,1
figure_gate,skipped:missing_explicit_figure_signal,4
figure_gate,routed_candidates,13
figure_gate,after_gate,8
figure_triage_route,digitize,4
figure_triage_route,skip,3
figure_has_permeation_plot,false,3
figure_has_permeation_plot,true,4
figure_triage_signal,digitizable:no,3
figure_triage_signal,endpoint_curve_present:no,1
figure_triage_signal,recommended_route:skip,3
figure_triage_signal,why_not_digitizable:calibration_curve_not_target,2
figure_triage_signal,why_not_digitizable:selected_page_contains_fig_4_a_grouped_bar_chart_with_error_bars_rather_than_an_,1
figure_digitization_status,digitization_no_output,2
figure_digitization_status,ok,7
figure_digitization_failure,digitization_no_output,2
figure_mapping_status,vision_mapped,7
figure_vlm_grounding_status,figure_label_space,4
figure_vlm_grounding_status,figure_label_space_only,3
figure_vlm_reconciliation_status,cv_vlm_agree,1
figure_vlm_reconciliation_status,cv_vlm_disagreement,3
figure_vlm_reconciliation_status,vlm_only,3
verification_route:figure,ambiguous_api_concentration,3
verification_route:figure,ambiguous_mapping,1
verification_route:figure,missing_area,3
verification_route:mixed,ambiguous_api_concentration,15
verification_route:mixed,figure_digitization_failed,1
verification_route:mixed,insufficient_evidence,20
verification_route:mixed,missing_api_concentration,1
verification_route:mixed,missing_area,14
verification_route:mixed,missing_endpoint,3
verification_route:mixed,not_target_api,5
verification_route:mixed,not_target_api_concentration,3
verification_route:mixed,percent_only,3
verification_route:mixed,unit_normalization_failed,9
verification_route:table,ambiguous_api_concentration,5
verification_route:table,insufficient_evidence,2
verification_route:table,missing_api_concentration,8
verification_route:table,missing_area,3
verification_route:table,not_target_api,2
verification_route:table,not_target_study_type,3
verification_route:text,insufficient_evidence,2
verification_route:text,percent_only,1
