stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,16
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,4
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,1
llm_adjudication_candidate_reason,recoverable_unresolved:unit_normalization_failed,7
llm_adjudication_priority_bucket,high,17
llm_adjudication_priority_bucket,medium,11
llm_adjudication_review_focus,api_concentration_basis,16
llm_adjudication_review_focus,diffusion_area,4
llm_adjudication_review_focus,endpoint_value,1
llm_adjudication_review_focus,unit_normalization,7
llm_adjudication_recommended_status,rejected,18
llm_adjudication_recommended_status,unresolved,2
llm_adjudication_recommended_status,verified,8
llm_adjudication_should_keep,no,18
llm_adjudication_should_keep,uncertain,2
llm_adjudication_should_keep,yes,8
llm_adjudication_disagreement,scope_bucket_disagreement,28
llm_adjudication_disagreement,status_disagreement,26
llm_adjudication_transition,unresolved->rejected,18
llm_adjudication_transition,unresolved->unresolved,2
llm_adjudication_transition,unresolved->verified,8
