route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,3,,,,,,
mixed,10,,,,,,
table,6,,,,,,
text,10,,,,,,
unresolved,238,,,,,,
,4,figure,,,,,
,70,table,,,,,
,7,text,,,,,
,10,,rejected,,,,
,47,,unresolved,,,,
,4,,verified,,,,
,7,,,out_of_scope,,,
,46,,,recoverable_unresolved,,,
,4,,,strict_in_scope,,,
,4,,,useful_but_out_of_scope,,,
,7,,,,non_target_api,,
,25,,,,recoverable_api_basis,,
,14,,,,recoverable_area,,
,3,,,,recoverable_endpoint,,
,1,,,,recoverable_figure_digitization,,
,1,,,,recoverable_mapping,,
,21,,,,recoverable_support_gap,,
,9,,,,recoverable_unit_normalization,,
,46,,,,recoverable_unresolved,,
,1,,,,useful_api_concentration_out_of_scope,,
,4,,,,useful_but_out_of_scope,,
,1,,,,useful_endpoint_out_of_scope,,
,3,,,,useful_study_type_out_of_scope,,
,23,,,,,ambiguous_api_concentration,
,1,,,,,ambiguous_mapping,
,1,,,,,figure_digitization_failed,
,24,,,,,insufficient_evidence,
,9,,,,,missing_api_concentration,
,20,,,,,missing_area,
,3,,,,,missing_endpoint,
,7,,,,,not_target_api,
,3,,,,,not_target_api_concentration,
,3,,,,,not_target_study_type,
,4,,,,,percent_only,
,9,,,,,unit_normalization_failed,
,1,,,,,,patch_area
,21,,,,,,patch_endpoint_time
,30,,,,,,patch_endpoint_value
