paper_id,doi,title,route,route_confidence,endpoint_carrier,formulation_carrier,anchor_evidence,notes,raw_labels
paper_3978d47b3a2c,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,Topical administration of racemic ibuprofen.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Topical administration of racemic ibuprofen.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,mixed,0.69,table_text,narrative,"[{'field_name': 'endpoint', 'modality': 'table', 'locator': 'Table of contents and results/discussion sections; outcomes include pain score at debridement, pain relief on first evening of treatment, TOTPAR/SPID, and healed wounds', 'page': None, 'bbox': None, 'snippet': 'Analysis 1.1. Comparison 1 EMLA compared with placebo or no anaesthesia, Outcome 1 Pain score at debridement. ... Analysis 2.1. Comparison 2 Ibuprofen foam dressing compared with foam dressing alone, Outcome 1 Number participants experiencing pain relief on the first evening of treatment. ... Analysis 3.1. Comparison 3 Ibuprofen foam dressing compared with local best practice, Outcome 1 Number participants reporting TOTPAR>50%.', 'source_ref': '10.1002/14651858.cd001177.pub2', 'confidence': 0.8}, {'field_name': 'formulation', 'modality': 'text', 'locator': 'narrative', 'page': None, 'bbox': None, 'snippet': 'Participants were randomised to either ibuprofen foam dressing (Biatain Ibu) ... or local best practice ... Gottrup 2008 ... ibuprofen foam dressing ... or an identical foam dressing without ibuprofen (Biatain Non-Adhesive)', 'source_ref': '10.1002/14651858.cd001177.pub2', 'confidence': 0.7}]","This is a Cochrane review, not a primary experiment. Ibuprofen is clearly mentioned in the review’s included study descriptions and analysis headings. No diffusion cell or Franz cell language appears in the supplied text. Primary extractable endpoints are described in analysis titles and narrative results, with time-based pain outcomes and healing outcomes explicitly reported.","{'paper_type': 'review', 'mentions_ibuprofen': 'yes', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'both', 'barrier_category': 'both', 'barrier_name_raw': 'Venous leg ulcers; painful exuding wounds of various aetiologies; foam dressings and EMLA cream; ibuprofen foam dressing (Biatain Ibu/Biatain-Ibu)', 'endpoint_found': 'yes', 'endpoint_time_found': 'yes', 'where_endpoint': 'Table of contents and results/discussion sections; outcomes include pain score at debridement, pain relief on first evening of treatment, TOTPAR/SPID, and healed wounds', 'endpoint_carrier': 'table_text', 'endpoint_carrier_snippet': 'Analysis 1.1. Comparison 1 EMLA compared with placebo or no anaesthesia, Outcome 1 Pain score at debridement. ... Analysis 2.1. Comparison 2 Ibuprofen foam dressing compared with foam dressing alone, Outcome 1 Number participants experiencing pain relief on the first evening of treatment. ... Analysis 3.1. Comparison 3 Ibuprofen foam dressing compared with local best practice, Outcome 1 Number participants reporting TOTPAR>50%.', 'formulation_carrier': 'narrative', 'formulation_carrier_snippet': 'Participants were randomised to either ibuprofen foam dressing (Biatain Ibu) ... or local best practice ... Gottrup 2008 ... ibuprofen foam dressing ... or an identical foam dressing without ibuprofen (Biatain Non-Adhesive)', 'endpoint_likely_in_supp': 'no', 'formulation_table_missing': 'no', 'notes': 'This is a Cochrane review, not a primary experiment. Ibuprofen is clearly mentioned in the review’s included study descriptions and analysis headings. No diffusion cell or Franz cell language appears in the supplied text. Primary extractable endpoints are described in analysis titles and narrative results, with time-based pain outcomes and healing outcomes explicitly reported.', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf', 'router_source_diagnostics': [], 'router_heuristic_signals': {}}"
paper_92afc39ccd63,10.1002/14651858.cd001177.pub3,Topical agents or dressings for pain in venous leg ulcers.,unresolved,0.0,unknown,unknown,[],"Cochrane review title indicates a review article about topical agents or dressings for pain in venous leg ulcers. The supplied PDF text only contains Europe PMC site/header boilerplate, with no extractable experimental or formulation details. No ibuprofen, diffusion cell, Franz cell, barrier, or endpoint information is present in the provided text.","{'paper_type': 'review', 'mentions_ibuprofen': 'no', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'uncertain', 'barrier_category': 'uncertain', 'barrier_name_raw': '', 'endpoint_found': 'no', 'endpoint_time_found': 'no', 'where_endpoint': '', 'endpoint_carrier': 'unknown', 'endpoint_carrier_snippet': '', 'formulation_carrier': 'unknown', 'formulation_carrier_snippet': '', 'endpoint_likely_in_supp': 'uncertain', 'formulation_table_missing': 'uncertain', 'notes': 'Cochrane review title indicates a review article about topical agents or dressings for pain in venous leg ulcers. The supplied PDF text only contains Europe PMC site/header boilerplate, with no extractable experimental or formulation details. No ibuprofen, diffusion cell, Franz cell, barrier, or endpoint information is present in the provided text.', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_14651858.cd001177.pub3__a6c5e430fc.pdf', 'router_source_diagnostics': ['blocked:html_remote:captcha'], 'router_heuristic_signals': {'table_hits': 0, 'figure_hits': 0, 'endpoint_hits': 0, 'formulation_hits': 0}}"
paper_5bf9e3e37e6c,10.1002/bdd.631,Skin disposition of menthol after its application in the presence of drug substances.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Skin disposition of menthol after its application in the presence of drug substances.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_89ec992d2cac,10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,unresolved,0.2,unknown,unknown,"[{'field_name': 'endpoint', 'modality': 'metadata', 'locator': 'Title and likely abstract/body focus on percutaneous absorption and skin region effects; no extracted endpoint text provided in the supplied snippet.', 'page': None, 'bbox': None, 'snippet': 'Title and likely abstract/body focus on percutaneous absorption and skin region effects; no extracted endpoint text provided in the supplied snippet.', 'source_ref': '10.1002/etc.4302', 'confidence': 0.8}]","Only the title/header snippet was supplied. Paper is a primary experimental percutaneous absorption study in toad skin, not an ibuprofen paper. No diffusion cell or Franz cell evidence in the provided text.","{'paper_type': 'primary_experiment', 'mentions_ibuprofen': 'no', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'uncertain', 'barrier_category': 'skin', 'barrier_name_raw': 'toad Rhinella marina skin', 'endpoint_found': 'yes', 'endpoint_time_found': 'no', 'where_endpoint': 'Title and likely abstract/body focus on percutaneous absorption and skin region effects; no extracted endpoint text provided in the supplied snippet.', 'endpoint_carrier': 'unknown', 'endpoint_carrier_snippet': '', 'formulation_carrier': 'unknown', 'formulation_carrier_snippet': '', 'endpoint_likely_in_supp': 'no', 'formulation_table_missing': 'uncertain', 'notes': 'Only the title/header snippet was supplied. Paper is a primary experimental percutaneous absorption study in toad skin, not an ibuprofen paper. No diffusion cell or Franz cell evidence in the provided text.', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_etc.4302__6928b548af.pdf', 'router_source_diagnostics': [], 'router_heuristic_signals': {'table_hits': 0, 'figure_hits': 0, 'endpoint_hits': 0, 'formulation_hits': 0}}"
paper_1e2fb1658151,10.1002/jmr.3089,"Synthesis, molecular dynamics simulation, and evaluation of biological activity of novel flurbiprofen and ibuprofen-like compounds.",unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Synthesis, molecular dynamics simulation, and evaluation of biological activity of novel flurbiprofen and ibuprofen-like compounds.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_78ec4fb95c70,10.1002/jps.20623,Penetration of crystalline powder particles into excised human skin membranes and model gels from a supersonic powder injector.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Penetration of crystalline powder particles into excised human skin membranes and model gels from a supersonic powder injector.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_e23ccfcf23e7,10.1002/jps.23548,"Influence of physicochemical properties on the in vitro skin permeation of the enantiomers, racemate, and eutectics of ibuprofen for enhanced transdermal drug delivery.",unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Influence of physicochemical properties on the in vitro skin permeation of the enantiomers, racemate, and eutectics of ibuprofen for enhanced transdermal drug delivery.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_0ea81ef2fdf2,10.1002/jps.24052,Numerical modelling of transdermal delivery from matrix systems: parametric study and experimental validation with silicone matrices.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Numerical modelling of transdermal delivery from matrix systems: parametric study and experimental validation with silicone matrices.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_18f9f1c31ac6,10.1002/jps.24556,Investigation of pH Influence on Skin Permeation Behavior of Weak Acids Using Nonsteroidal Anti-Inflammatory Drugs.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Investigation of pH Influence on Skin Permeation Behavior of Weak Acids Using Nonsteroidal Anti-Inflammatory Drugs.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
