stage,bucket,count
access_status,downloaded,52
access_status,resolved,37
access_status,unresolved,127
route_unresolved_reason,document_appears_to_be_a_book_chapter_on_microneedle_iontophoresis_combinations_,1
route_unresolved_reason,document_content_is_only_europe_pmc_navigation_ui_text_with_no_actual_paper_body,1
route_unresolved_reason,document_failed_to_load_only_a_hhs_vulnerability_disclosure_page_was_returned_th,1
route_unresolved_reason,document_text_appears_to_be_only_a_europe_pmc_navigation_interface_page_with_no_,1
route_unresolved_reason,document_text_is_almost_entirely_a_europe_pmc_navigation_ui_page_with_no_article,1
route_unresolved_reason,document_text_is_almost_entirely_europe_pmc_navigation_ui_boilerplate_the_title_,1
route_unresolved_reason,document_text_is_incomplete_only_europe_pmc_navigation_menu_pages_were_captured_,1
route_unresolved_reason,document_text_is_only_a_europe_pmc_navigation_interface_page_with_no_scientific_,1
route_unresolved_reason,document_text_is_only_europe_pmc_navigation_header_pages_with_no_scientific_cont,1
route_unresolved_reason,document_text_is_only_europe_pmc_navigation_interface_pages_with_no_actual_paper,1
route_unresolved_reason,document_text_is_only_europe_pmc_navigation_ui_boilerplate_with_no_paper_content,1
route_unresolved_reason,document_text_is_only_europe_pmc_navigation_ui_pages_with_no_actual_paper_conten,1
route_unresolved_reason,document_text_is_only_the_europe_pmc_navigation_header_page_with_no_article_cont,1
route_unresolved_reason,document_text_is_only_the_europe_pmc_navigation_header_pages_with_no_actual_pape,1
route_unresolved_reason,document_text_is_only_the_europe_pmc_navigation_ui_pages_with_no_actual_paper_co,1
route_unresolved_reason,document_text_is_truncated_to_only_europe_pmc_navigation_ui_pages_pages_1_2_no_a,1
route_unresolved_reason,document_text_is_truncated_to_only_the_europe_pmc_navigation_header_pages_no_act,1
route_unresolved_reason,document_text_not_supplied_beyond_page_1_placeholder_title_indicates_comparison_,1
route_unresolved_reason,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_no_scientific_c,2
route_unresolved_reason,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_with_no_actual_,1
route_unresolved_reason,full_paper_text_not_retrieved_only_europe_pmc_navigation_pages_were_supplied_pap,1
route_unresolved_reason,missing_structured_and_pdf_router_source,132
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,29
route_unresolved_reason,only_ethos_landing_page_content_retrieved_full_thesis_text_unavailable_due_to_po,1
route_unresolved_reason,only_europe_pmc_navigation_landing_page_content_was_retrieved_no_actual_paper_bo,1
route_unresolved_reason,only_europe_pmc_navigation_pages_were_retrieved_no_actual_paper_content_is_avail,1
route_unresolved_reason,only_europe_pmc_navigation_pages_were_supplied_the_actual_article_body_was_not_r,1
route_unresolved_reason,only_page_1_placeholder_was_provided_no_substantive_text_extracted_title_mention,1
route_unresolved_reason,the_document_content_is_inaccessible_only_the_ethos_portal_landing_page_is_retur,1
route_unresolved_reason,the_document_text_only_contains_europe_pmc_navigation_ui_boilerplate_and_does_no,1
route_unresolved_reason,the_document_text_only_contains_europe_pmc_navigation_ui_elements_and_no_actual_,4
route_unresolved_reason,the_document_text_retrieved_is_only_the_europe_pmc_navigation_header_pages_and_d,1
route_unresolved_reason,the_pdf_appears_to_have_only_rendered_the_europe_pmc_navigation_ui_pages_rather_,1
route_unresolved_reason,the_pdf_only_rendered_europe_pmc_navigation_interface_pages_pages_1_2_no_actual_,1
route_unresolved_reason,the_supplied_document_text_contains_only_europe_pmc_navigation_ui_boilerplate_ac,2
route_unresolved_reason,the_supplied_document_text_contains_only_europe_pmc_navigation_ui_boilerplate_an,2
route_note,clear_ivpt_study_using_franz_type_diffusion_cells_with_bovine_udder_split_skin_i,1
route_note,comparative_ivpt_study_using_franz_cells_with_human_epidermis_porcine_full_thick,1
route_note,document_appears_to_be_a_book_chapter_on_microneedle_iontophoresis_combinations_,1
route_note,document_content_is_only_europe_pmc_navigation_ui_text_with_no_actual_paper_body,1
route_note,document_failed_to_load_only_a_hhs_vulnerability_disclosure_page_was_returned_th,1
route_note,document_text_appears_to_be_only_a_europe_pmc_navigation_interface_page_with_no_,1
route_note,document_text_is_almost_entirely_a_europe_pmc_navigation_ui_page_with_no_article,1
route_note,document_text_is_almost_entirely_europe_pmc_navigation_ui_boilerplate_the_title_,1
route_note,document_text_is_incomplete_only_europe_pmc_navigation_menu_pages_were_captured_,1
route_note,document_text_is_only_a_europe_pmc_navigation_interface_page_with_no_scientific_,1
route_note,document_text_is_only_europe_pmc_navigation_header_pages_with_no_scientific_cont,1
route_note,document_text_is_only_europe_pmc_navigation_interface_pages_with_no_actual_paper,1
route_note,document_text_is_only_europe_pmc_navigation_ui_boilerplate_with_no_paper_content,1
route_note,document_text_is_only_europe_pmc_navigation_ui_pages_with_no_actual_paper_conten,1
route_note,document_text_is_only_the_europe_pmc_navigation_header_page_with_no_article_cont,1
route_note,document_text_is_only_the_europe_pmc_navigation_header_pages_with_no_actual_pape,1
route_note,document_text_is_only_the_europe_pmc_navigation_ui_pages_with_no_actual_paper_co,1
route_note,document_text_is_truncated_to_only_europe_pmc_navigation_ui_pages_pages_1_2_no_a,1
route_note,document_text_is_truncated_to_only_the_europe_pmc_navigation_header_pages_no_act,1
route_note,document_text_not_supplied_beyond_page_1_placeholder_title_indicates_comparison_,1
route_note,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_no_scientific_c,2
route_note,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_with_no_actual_,1
route_note,franz_cell_assays_mentioned_in_author_contributions_strat_m_synthetic_membranes_,1
route_note,franz_diffusion_cell_ivpt_study_using_excised_rat_abdominal_skin_three_formulati,1
route_note,full_paper_text_not_retrieved_only_europe_pmc_navigation_pages_were_supplied_pap,1
route_note,ibuprofen_ip_log_ko_w_3_94_is_one_of_four_model_drugs_saturated_donor_solutions_,1
route_note,ibuprofen_sodium_ibu_na_used_as_model_drug_in_ivpt_through_dermatomed_porcine_sk,1
route_note,in_vivo_dpk_tape_stripping_study_no_diffusion_cell_used_ibuprofen_applied_topica,1
route_note,ivpt_study_using_franz_diffusion_cells_with_porcine_skin_six_ibuprofen_salts_wit,1
route_note,ivrt_study_using_a_horizontal_two_chamber_diffusion_cell_not_franz_with_a_75_m_s,1
route_note,ivrt_study_using_electrospun_peo_ec_fiber_mats_loaded_with_30_ibp_release_measur,1
route_note,missing_structured_and_pdf_router_source,132
route_note,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,29
route_note,no_diffusion_cell_used_release_setup_is_a_beaker_with_200_cm3_hepes_at_32_c_with,1
route_note,no_franz_diffusion_cell_used_in_vitro_release_performed_in_petri_dishes_with_dpb,1
route_note,novel_3d_printed_franz_cell_like_diffusion_cell_with_uv_imaging_capability_uses_,1
route_note,only_abstract_level_metadata_is_available_in_the_html_landing_page_the_full_arti,1
route_note,only_ethos_landing_page_content_retrieved_full_thesis_text_unavailable_due_to_po,1
route_note,only_europe_pmc_navigation_landing_page_content_was_retrieved_no_actual_paper_bo,1
route_note,only_europe_pmc_navigation_pages_were_retrieved_no_actual_paper_content_is_avail,1
route_note,only_europe_pmc_navigation_pages_were_supplied_the_actual_article_body_was_not_r,1
route_note,only_page_1_placeholder_was_provided_no_substantive_text_extracted_title_mention,1
route_note,study_uses_ibuprofen_as_model_drug_in_nanosuspension_gel_formulations_tested_acr,1
route_note,the_document_content_is_inaccessible_only_the_ethos_portal_landing_page_is_retur,1
route_note,the_document_text_only_contains_europe_pmc_navigation_ui_boilerplate_and_does_no,1
route_note,the_document_text_only_contains_europe_pmc_navigation_ui_elements_and_no_actual_,4
route_note,the_document_text_retrieved_is_only_the_europe_pmc_navigation_header_pages_and_d,1
route_note,the_pdf_appears_to_have_only_rendered_the_europe_pmc_navigation_ui_pages_rather_,1
route_note,the_pdf_only_rendered_europe_pmc_navigation_interface_pages_pages_1_2_no_actual_,1
route_note,the_supplied_document_text_contains_only_europe_pmc_navigation_ui_boilerplate_ac,2
route_note,the_supplied_document_text_contains_only_europe_pmc_navigation_ui_boilerplate_an,2
patch_status:patch_api_concentration,skipped,62
patch_status:patch_area,skipped,7
patch_status:patch_endpoint_time,applied,21
patch_status:patch_endpoint_value,applied,43
patch_status:patch_endpoint_value,skipped,39
patch_reason:patch_api_concentration,no_recoverable_concentration_fragment,60
patch_reason:patch_api_concentration,recovered_concentration_matches_existing_value,2
patch_reason:patch_area,no_recoverable_area_fragment,7
patch_reason:patch_endpoint_value,no_recoverable_endpoint_fragment,14
patch_reason:patch_endpoint_value,recovered_endpoint_matches_existing_value,25
