stage,bucket,count
figure_stage,digitization_no_output,0
figure_stage,digitized_curves,4
figure_stage,digitized_endpoints_failed,0
figure_stage,digitized_endpoints_ok,4
figure_stage,mapped_curves,4
figure_stage,triage_artifacts,9
figure_stage,triage_digitize_candidates,2
figure_stage,triage_has_permeation_plot_true,2
figure_stage,unmapped_curves,0
figure_stage,vlm_readings_readable,4
figure_stage,vlm_readings_total,4
figure_stage,vlm_used_as_final,0
figure_gate,routed_candidates,11
figure_gate,after_gate,11
figure_triage_route,digitize,2
figure_triage_route,skip,7
figure_has_permeation_plot,false,7
figure_has_permeation_plot,true,2
figure_triage_signal,digitizable:no,7
figure_triage_signal,digitizable:uncertain,1
figure_triage_signal,endpoint_curve_present:no,7
figure_triage_signal,recommended_route:skip,7
figure_triage_signal,ticks_readable:no,6
figure_triage_signal,why_not_digitizable:figure_1_contains_only_photographs_of_microneedle_roller_equipment_and_applicati,1
figure_triage_signal,why_not_digitizable:page_23_figure_1_is_a_schematic_flow_diagram_showing_study_design_timelines_form,1
figure_triage_signal,why_not_digitizable:page_2_contains_characterization_figures_chemical_structure_particle_size_distri,1
figure_triage_signal,why_not_digitizable:page_3_contains_only_schematic_illustrations_figure_1_and_figure_2_depicting_mic,1
figure_triage_signal,why_not_digitizable:page_6_fig_1_contains_only_cad_microscopy_images_of_3d_printed_microneedle_struc,1
figure_triage_signal,why_not_digitizable:page_contains_only_chemical_structure_diagrams_and_a_physicochemical_parameters_,1
figure_triage_signal,why_not_digitizable:page_contains_only_text_and_chemical_structure_diagrams_figure_1_repeating_units,1
figure_digitization_status,ok,4
figure_mapping_status,vision_mapped,4
figure_vlm_grounding_status,figure_label_space,4
figure_vlm_reconciliation_status,cv_vlm_agree,2
figure_vlm_reconciliation_status,cv_vlm_disagreement,2
verification_route:figure,ambiguous_api_concentration,14
verification_route:figure,ambiguous_mapping,2
verification_route:figure,figure_digitization_failed,6
verification_route:figure,insufficient_evidence,6
verification_route:figure,missing_api_concentration,2
verification_route:figure,missing_area,1
verification_route:figure,missing_endpoint,6
verification_route:figure,not_target_device,3
verification_route:figure,percent_only,3
verification_route:figure,source_context_inconsistent,24
verification_route:figure,unit_normalization_failed,3
verification_route:mixed,ambiguous_api_concentration,7
verification_route:mixed,insufficient_evidence,3
verification_route:mixed,not_target_api_concentration,2
verification_route:mixed,not_target_study_type,7
verification_route:table,ambiguous_api_concentration,28
verification_route:table,percent_only,4
