module,metric,count
detection.router,api_failures,0
detection.router,attempt_failures,0
detection.router,auth_failures,0
detection.router,final_failures,0
detection.router,malformed_output_failures,0
detection.router,other_failures,0
detection.router,rate_limit_failures,0
detection.router,requests,55
detection.router,retried_requests,0
detection.router,retries_attempted,0
detection.router,retry_successes,0
detection.router,schema_validation_failures,0
detection.router,timeout_failures,0
detection.router,transport_failures,0
extractors.table,api_failures,0
extractors.table,attempt_failures,1
extractors.table,auth_failures,0
extractors.table,final_failures,0
extractors.table,malformed_output_failures,0
extractors.table,other_failures,0
extractors.table,rate_limit_failures,0
extractors.table,requests,8
extractors.table,retried_requests,0
extractors.table,retries_attempted,1
extractors.table,retry_successes,0
extractors.table,schema_validation_failures,0
extractors.table,timeout_failures,1
extractors.table,transport_failures,0
triage.llm_triage,api_failures,0
triage.llm_triage,attempt_failures,23
triage.llm_triage,auth_failures,0
triage.llm_triage,final_failures,3
triage.llm_triage,malformed_output_failures,0
triage.llm_triage,other_failures,0
triage.llm_triage,rate_limit_failures,0
triage.llm_triage,requests,726
triage.llm_triage,retried_requests,1
triage.llm_triage,retries_attempted,20
triage.llm_triage,retry_successes,1
triage.llm_triage,schema_validation_failures,23
triage.llm_triage,timeout_failures,0
triage.llm_triage,transport_failures,0
