route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,8,,,,,,
mixed,3,,,,,,
table,2,,,,,,
text,2,,,,,,
unresolved,201,,,,,,
,2,figure,,,,,
,77,table,,,,,
,1,text,,,,,
,10,,rejected,,,,
,62,,unresolved,,,,
,60,,,recoverable_unresolved,,,
,12,,,useful_but_out_of_scope,,,
,41,,,,recoverable_api_basis,,
,1,,,,recoverable_area,,
,6,,,,recoverable_endpoint,,
,6,,,,recoverable_figure_digitization,,
,2,,,,recoverable_mapping,,
,21,,,,recoverable_source_context,,
,9,,,,recoverable_support_gap,,
,3,,,,recoverable_unit_normalization,,
,60,,,,recoverable_unresolved,,
,2,,,,useful_api_concentration_out_of_scope,,
,12,,,,useful_but_out_of_scope,,
,3,,,,useful_device_out_of_scope,,
,3,,,,useful_endpoint_out_of_scope,,
,7,,,,useful_study_type_out_of_scope,,
,49,,,,,ambiguous_api_concentration,
,2,,,,,ambiguous_mapping,
,6,,,,,figure_digitization_failed,
,9,,,,,insufficient_evidence,
,2,,,,,missing_api_concentration,
,1,,,,,missing_area,
,6,,,,,missing_endpoint,
,2,,,,,not_target_api_concentration,
,3,,,,,not_target_device,
,7,,,,,not_target_study_type,
,7,,,,,percent_only,
,24,,,,,source_context_inconsistent,
,3,,,,,unit_normalization_failed,
,21,,,,,,patch_endpoint_time
,43,,,,,,patch_endpoint_value
