paper_id,doi,pmid,pmcid,title,preferred_format,available_formats,access_urls,local_paths,status,notes
paper_3978d47b3a2c,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,9176998.0,,Topical administration of racemic ibuprofen.,unresolved,[],{},{},unresolved,[]
paper_5bf9e3e37e6c,10.1002/bdd.631,18985797.0,,Skin disposition of menthol after its application in the presence of drug substances.,unresolved,[],{},{},unresolved,[]
paper_58f3f695a704,10.1002/chem.201600105,27226393.0,,Supramolecular Gels by Design: Towards the Development of Topical Gels for Self-Delivery Application.,unresolved,[],{},{},unresolved,[]
paper_e23ccfcf23e7,10.1002/jps.23548,23589422.0,,"Influence of physicochemical properties on the in vitro skin permeation of the enantiomers, racemate, and eutectics of ibuprofen for enhanced transdermal drug delivery.",unresolved,[],{},{},unresolved,[]
paper_0ea81ef2fdf2,10.1002/jps.24052,24984880.0,,Numerical modelling of transdermal delivery from matrix systems: parametric study and experimental validation with silicone matrices.,unresolved,[],{},{},unresolved,[]
paper_18f9f1c31ac6,10.1002/jps.24556,26213208.0,,Investigation of pH Influence on Skin Permeation Behavior of Weak Acids Using Nonsteroidal Anti-Inflammatory Drugs.,unresolved,[],{},{},unresolved,[]
paper_561abc239285,10.1002/jps.2600841208,8748324.0,,Transdermal delivery of drugs with differing lipophilicities using azone analogs as dermal penetration enhancers.,unresolved,[],{},{},unresolved,[]
paper_d264824515e7,10.1002/mabi.201900412,32090495.0,,Stimuli Responsive Scaffolds Based on Carboxymethyl Starch and Poly(2-Dimethylaminoethyl Methacrylate) for Anti-Inflammatory Drug Delivery.,unresolved,[],{},{},unresolved,[]
paper_1f3c544b574c,10.1007/978-1-4939-0363-4_7,24567135.0,,Microneedle-iontophoresis combinations for enhanced transdermal drug delivery.,pdf,['pdf'],{'pdf': 'https://link.springer.com/content/pdf/bfm:978-1-4939-0363-4/1?pdf=chapter%20toc'},{'pdf': 'papers\\pdf\\10.1007_978-1-4939-0363-4_7__6fa5f5aae3.pdf'},downloaded,['reused_local:pdf']
paper_bb4a9b4e056d,10.1007/s10856-012-4805-1,23138838.0,,Design and in vitro evaluation of transdermal patches based on ibuprofen-loaded electrospun fiber mats.,unresolved,[],{},{},unresolved,[]
paper_b257621dff97,10.1007/s11095-008-9785-y,19034629.0,,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,pdf,['pdf'],{'pdf': 'https://purehost.bath.ac.uk/ws/files/363724/Nicoli_final.pdf'},{'pdf': 'papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf'},downloaded,"['seed_pdf_url_from_metadata', 'reused_local:pdf']"
paper_6f8de36d1eed,10.1007/s11095-012-0939-6,23187866.0,PMC3760706,Investigation of follicular and non-follicular pathways for polyarginine and oleic acid-modified nanoparticles.,html,"['html', 'pdf']","{'pdf': 'https://europepmc.org/articles/pmc3760706?pdf=render', 'html': 'https://europepmc.org/articles/PMC3760706'}","{'html': 'papers\\html\\10.1007_s11095-012-0939-6__0e7f2decf3.html', 'pdf': 'papers\\pdf\\10.1007_s11095-012-0939-6__3ec6d78b77.pdf'}",downloaded,"['reused_local:html', 'legacy_pdf_reused_local']"
paper_a47037272c43,10.1007/s11095-014-1318-2,24599801.0,PMC4153978,Investigations on the viscoelastic performance of pressure sensitive adhesives in drug-in-adhesive type transdermal films.,html,"['html', 'pdf']","{'pdf': 'https://link.springer.com/content/pdf/10.1007/s11095-014-1318-2.pdf', 'html': 'https://europepmc.org/articles/PMC4153978'}","{'html': 'papers\\html\\10.1007_s11095-014-1318-2__99bbb5ddb4.html', 'pdf': 'papers\\pdf\\10.1007_s11095-014-1318-2__06b4139d6d.pdf'}",downloaded,"['seed_pdf_url_from_metadata', 'reused_local:html', 'legacy_pdf_reused_local']"
paper_dc53b9dbd276,10.1007/s11095-016-1862-z,26786015.0,,Drug Release from ß-Cyclodextrin Complexes and Drug Transfer into Model Membranes Studied by Affinity Capillary Electrophoresis.,unresolved,[],{},{},unresolved,[]
paper_71e83a401525,10.1007/s11095-020-02887-9,32856172.0,PMC7452932,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,html,"['html', 'pdf']","{'pdf': 'https://link.springer.com/content/pdf/10.1007/s11095-020-02887-9.pdf', 'html': 'https://europepmc.org/articles/PMC7452932'}","{'html': 'papers\\html\\10.1007_s11095-020-02887-9__4cb232e31b.html', 'pdf': 'papers\\pdf\\10.1007_s11095-020-02887-9__fab416e26a.pdf'}",downloaded,"['seed_pdf_url_from_metadata', 'reused_local:html', 'legacy_pdf_reused_local']"
paper_5da0ee39f06c,10.1007/s12247-017-9305-x,29497462.0,PMC5816128,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC5816128', 'pdf': 'https://europepmc.org/articles/PMC5816128?pdf=render'}","{'html': 'papers\\html\\10.1007_s12247-017-9305-x__6a34ff3b7e.html', 'pdf': 'papers\\pdf\\10.1007_s12247-017-9305-x__411494318e.pdf'}",downloaded,"['reused_local:html', 'legacy_pdf_reused_local']"
