stage,bucket,count
access_status,downloaded,87
access_status,error,5
access_status,unresolved,128
access_reason,failed_download_pdf,10
access_reason,seed_pdf_url_from_metadata,2
route_unresolved_reason,document_appears_to_be_a_book_chapter_methods_in_molecular_biology_series_on_mic,1
route_unresolved_reason,document_appears_to_be_a_europe_pmc_navigation_interface_page_with_no_substantiv,1
route_unresolved_reason,document_content_is_essentially_a_landing_stub_page_for_the_ethos_british_librar,1
route_unresolved_reason,document_text_is_almost_entirely_absent_only_page_1_header_metadata_visible_the_,1
route_unresolved_reason,document_text_is_almost_entirely_europe_pmc_navigation_ui_boilerplate_no_scienti,1
route_unresolved_reason,document_text_is_essentially_just_the_europe_pmc_navigation_header_pages_with_no,1
route_unresolved_reason,document_text_is_incomplete_only_europe_pmc_navigation_header_pages_were_capture,1
route_unresolved_reason,document_text_is_incomplete_only_europe_pmc_navigation_ui_pages_were_captured_no,1
route_unresolved_reason,document_text_is_only_a_europe_pmc_navigation_landing_page_with_no_article_conte,2
route_unresolved_reason,document_text_is_only_a_europe_pmc_navigation_ui_page_with_no_article_content_th,1
route_unresolved_reason,document_text_is_only_europe_pmc_navigation_interface_pages_with_no_scientific_c,1
route_unresolved_reason,document_text_is_only_europe_pmc_navigation_ui_boilerplate_no_paper_content_was_,1
route_unresolved_reason,document_text_is_only_europe_pmc_navigation_ui_boilerplate_with_no_actual_paper_,3
route_unresolved_reason,document_text_is_only_navigation_ui_content_from_europe_pmc_website_no_actual_pa,1
route_unresolved_reason,document_text_is_only_the_europe_pmc_navigation_header_pages_with_no_actual_pape,1
route_unresolved_reason,document_text_is_only_the_europe_pmc_navigation_landing_page_interface_no_actual,1
route_unresolved_reason,document_text_is_only_the_europe_pmc_navigation_ui_pages_no_actual_paper_content,1
route_unresolved_reason,document_text_is_truncated_to_navigation_ui_elements_from_europe_pmc_website_no_,1
route_unresolved_reason,document_text_not_supplied_beyond_title_title_indicates_comparison_of_regenerate,1
route_unresolved_reason,document_text_only_contains_europe_pmc_navigation_interface_content_the_actual_p,1
route_unresolved_reason,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_and_the_article,1
route_unresolved_reason,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_no_actual_paper,1
route_unresolved_reason,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_with_no_actual_,3
route_unresolved_reason,document_text_only_contains_europe_pmc_navigation_ui_content_no_paper_body_was_r,1
route_unresolved_reason,missing_structured_and_pdf_router_source,133
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_local_captcha_blocked_html,29
route_unresolved_reason,only_europe_pmc_navigation_header_content_was_retrieved_from_the_pdf_no_actual_p,1
route_unresolved_reason,only_europe_pmc_navigation_header_pages_were_retrieved_no_full_article_content_i,1
route_unresolved_reason,only_europe_pmc_navigation_ui_pages_were_captured_no_actual_paper_content_is_ava,1
route_unresolved_reason,only_europe_pmc_navigation_ui_pages_were_captured_the_actual_paper_content_about,1
route_unresolved_reason,only_the_europe_pmc_navigation_header_pages_were_captured_in_the_pdf_extract_the,1
route_unresolved_reason,the_document_text_only_contains_europe_pmc_navigation_interface_boilerplate_with,1
route_unresolved_reason,the_document_text_only_contains_europe_pmc_navigation_ui_elements_and_no_actual_,1
route_unresolved_reason,the_document_text_only_contains_europe_pmc_website_navigation_ui_elements_and_no,1
route_unresolved_reason,the_document_text_retrieved_is_only_the_europe_pmc_navigation_header_pages_and_d,1
route_unresolved_reason,the_html_document_only_contains_ethos_database_metadata_and_a_notice_about_a_cyb,1
route_unresolved_reason,the_pdf_appears_to_have_only_rendered_the_europe_pmc_navigation_header_pages_wit,1
route_unresolved_reason,the_supplied_document_text_contains_only_europe_pmc_navigation_ui_boilerplate_ac,1
route_note,document_appears_to_be_a_book_chapter_methods_in_molecular_biology_series_on_mic,1
route_note,document_appears_to_be_a_europe_pmc_navigation_interface_page_with_no_substantiv,1
route_note,document_content_is_essentially_a_landing_stub_page_for_the_ethos_british_librar,1
route_note,document_text_is_almost_entirely_absent_only_page_1_header_metadata_visible_the_,1
route_note,document_text_is_almost_entirely_europe_pmc_navigation_ui_boilerplate_no_scienti,1
route_note,document_text_is_essentially_just_the_europe_pmc_navigation_header_pages_with_no,1
route_note,document_text_is_incomplete_only_europe_pmc_navigation_header_pages_were_capture,1
route_note,document_text_is_incomplete_only_europe_pmc_navigation_ui_pages_were_captured_no,1
route_note,document_text_is_only_a_europe_pmc_navigation_landing_page_with_no_article_conte,2
route_note,document_text_is_only_a_europe_pmc_navigation_ui_page_with_no_article_content_th,1
route_note,document_text_is_only_europe_pmc_navigation_interface_pages_with_no_scientific_c,1
route_note,document_text_is_only_europe_pmc_navigation_ui_boilerplate_no_paper_content_was_,1
route_note,document_text_is_only_europe_pmc_navigation_ui_boilerplate_with_no_actual_paper_,3
route_note,document_text_is_only_navigation_ui_content_from_europe_pmc_website_no_actual_pa,1
route_note,document_text_is_only_the_europe_pmc_navigation_header_pages_with_no_actual_pape,1
route_note,document_text_is_only_the_europe_pmc_navigation_landing_page_interface_no_actual,1
route_note,document_text_is_only_the_europe_pmc_navigation_ui_pages_no_actual_paper_content,1
route_note,document_text_is_truncated_to_navigation_ui_elements_from_europe_pmc_website_no_,1
route_note,document_text_not_supplied_beyond_title_title_indicates_comparison_of_regenerate,1
route_note,document_text_only_contains_europe_pmc_navigation_interface_content_the_actual_p,1
route_note,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_and_the_article,1
route_note,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_no_actual_paper,1
route_note,document_text_only_contains_europe_pmc_navigation_ui_boilerplate_with_no_actual_,3
route_note,document_text_only_contains_europe_pmc_navigation_ui_content_no_paper_body_was_r,1
route_note,franz_diffusion_cell_ivpt_using_excised_rat_abdominal_skin_effective_diffusion_a,1
route_note,franz_type_diffusion_cells_used_with_bovine_udder_split_skin_ibuprofen_tested_as,1
route_note,ibu_sodium_used_as_model_drug_for_in_vitro_permeation_through_dermatomed_porcine,1
route_note,ibuprofen_ip_log_ko_w_3_94_is_one_of_four_model_drugs_studied_ivpt_using_franz_d,1
route_note,in_vitro_release_study_performed_in_dpbs_medium_at_37_degrees_c_in_petri_dishes_,1
route_note,in_vitro_release_study_uses_pbs_ethanol_50_50_as_release_media_without_a_diffusi,1
route_note,in_vivo_dpk_study_using_tape_stripping_in_human_volunteers_no_franz_diffusion_ce,1
route_note,ivpt_study_using_franz_diffusion_cells_with_porcine_skin_ibuprofen_salts_with_l_,1
route_note,missing_structured_and_pdf_router_source,133
route_note,missing_structured_and_pdf_router_source_blocked_html_local_captcha_blocked_html,29
route_note,only_abstract_metadata_available_from_repository_page_digital_csic_full_text_is_,1
route_note,only_europe_pmc_navigation_header_content_was_retrieved_from_the_pdf_no_actual_p,1
route_note,only_europe_pmc_navigation_header_pages_were_retrieved_no_full_article_content_i,1
route_note,only_europe_pmc_navigation_ui_pages_were_captured_no_actual_paper_content_is_ava,1
route_note,only_europe_pmc_navigation_ui_pages_were_captured_the_actual_paper_content_about,1
route_note,only_the_europe_pmc_navigation_header_pages_were_captured_in_the_pdf_extract_the,1
route_note,paper_describes_design_and_proof_of_concept_testing_of_a_novel_3d_printed_franz_,1
route_note,paper_focuses_on_soluplus_nanomicelles_for_bcs_class_ii_drugs_including_ibuprofe,1
route_note,study_compares_ibuprofen_permeation_across_human_skin_porcine_skin_silicone_memb,1
route_note,study_uses_franz_cell_assays_with_strat_m_synthetic_membranes_this_is_an_ivrt_st,1
route_note,study_uses_ibuprofen_as_a_model_drug_in_nanosuspension_gel_formulations_two_skin,1
route_note,the_document_text_only_contains_europe_pmc_navigation_interface_boilerplate_with,1
route_note,the_document_text_only_contains_europe_pmc_navigation_ui_elements_and_no_actual_,1
route_note,the_document_text_only_contains_europe_pmc_website_navigation_ui_elements_and_no,1
route_note,the_document_text_retrieved_is_only_the_europe_pmc_navigation_header_pages_and_d,1
route_note,the_html_document_only_contains_ethos_database_metadata_and_a_notice_about_a_cyb,1
route_note,the_pdf_appears_to_have_only_rendered_the_europe_pmc_navigation_header_pages_wit,1
route_note,the_supplied_document_text_contains_only_europe_pmc_navigation_ui_boilerplate_ac,1
route_note,this_is_an_ivrt_study_using_a_beaker_setup_not_a_franz_diffusion_cell_with_no_me,1
route_note,this_paper_investigates_rheological_viscoelastic_properties_of_drug_in_adhesive_,1
route_note,two_chamber_horizontal_diffusion_cell_not_franz_cell_ivrt_study_using_silicone_m,1
patch_status:patch_api_concentration,skipped,73
patch_status:patch_area,skipped,11
patch_status:patch_endpoint_time,applied,19
patch_status:patch_endpoint_time,skipped,1
patch_status:patch_endpoint_value,applied,47
patch_status:patch_endpoint_value,skipped,43
patch_reason:patch_api_concentration,no_recoverable_concentration_fragment,73
patch_reason:patch_area,no_recoverable_area_fragment,11
patch_reason:patch_endpoint_time,no_recoverable_endpoint_time_fragment,1
patch_reason:patch_endpoint_value,no_recoverable_endpoint_fragment,14
patch_reason:patch_endpoint_value,recovered_endpoint_matches_existing_value,27
patch_reason:patch_endpoint_value,recovered_endpoint_unit_is_weaker_than_existing_unit,2
