stage,bucket,count
figure_stage,digitization_no_output,0
figure_stage,digitized_curves,4
figure_stage,digitized_endpoints_failed,0
figure_stage,digitized_endpoints_ok,4
figure_stage,mapped_curves,1
figure_stage,triage_artifacts,7
figure_stage,triage_digitize_candidates,1
figure_stage,triage_has_permeation_plot_true,1
figure_stage,unmapped_curves,3
figure_stage,vlm_readings_readable,4
figure_stage,vlm_readings_total,4
figure_stage,vlm_used_as_final,4
figure_gate,skipped:missing_explicit_figure_signal,4
figure_gate,routed_candidates,12
figure_gate,after_gate,8
figure_triage_route,digitize,1
figure_triage_route,skip,6
figure_has_permeation_plot,false,6
figure_has_permeation_plot,true,1
figure_triage_signal,digitizable:no,6
figure_triage_signal,endpoint_curve_present:no,5
figure_triage_signal,endpoint_curve_present:uncertain,1
figure_triage_signal,recommended_route:skip,6
figure_triage_signal,ticks_readable:no,4
figure_triage_signal,why_not_digitizable:figure_2d_is_a_bar_chart_discrete_time_points_1_h_24_h_10_days_showing_apparent_,1
figure_triage_signal,why_not_digitizable:page_3_contains_only_schematic_diagrams_figure_1_and_figure_2_illustrating_micro,1
figure_triage_signal,why_not_digitizable:page_contains_only_a_schematic_diagram_figure_4_of_the_diffusion_cell_measuremen,1
figure_triage_signal,why_not_digitizable:page_contains_only_chemical_structure_diagrams_locust_bean_gum_xanthan_tween_20_,1
figure_triage_signal,why_not_digitizable:this_is_a_particle_size_distribution_plot_intensity_vs_size_not_a_transdermal_pe,1
figure_triage_signal,why_not_digitizable:this_is_a_schematic_protocol_diagram_figure_1_showing_study_design_timelines_not,1
figure_digitization_status,ok,4
figure_mapping_status,unmapped,3
figure_mapping_status,vision_mapped,1
figure_mapping_failure,endpoint_13_2_g_cm_black_color_does_not_correspond_to_any_of_the_four_visible_se,1
figure_mapping_failure,endpoint_16_2_g_cm_could_correspond_to_the_purple_circle_series_ibugel_or_ibulev,1
figure_mapping_failure,the_plot_shows_green_triangles_purple_circles_blue_diamonds_and_red_squares_ther,1
figure_vlm_grounding_status,figure_label_space_only,4
figure_vlm_reconciliation_status,vlm_only,4
verification_route:figure,ambiguous_api_concentration,5
verification_route:figure,ambiguous_mapping,1
verification_route:figure,figure_digitization_failed,4
verification_route:figure,insufficient_evidence,1
verification_route:figure,missing_api_concentration,4
verification_route:figure,missing_area,1
verification_route:figure,missing_endpoint,4
verification_route:figure,percent_only,3
verification_route:figure,source_context_inconsistent,26
verification_route:mixed,ambiguous_api_concentration,20
verification_route:mixed,insufficient_evidence,14
verification_route:mixed,missing_area,2
verification_route:mixed,not_target_study_type,10
verification_route:table,ambiguous_api_concentration,28
verification_route:table,percent_only,4
verification_route:text,insufficient_evidence,1
verification_route:text,missing_api_concentration,2
verification_route:text,missing_endpoint,2
verification_route:text,missing_endpoint_time,1
