route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,7,,,,,,
mixed,5,,,,,,
table,2,,,,,,
text,3,,,,,,
unresolved,203,,,,,,
,1,figure,,,,,
,87,table,,,,,
,5,text,,,,,
,10,,rejected,,,,
,83,,unresolved,,,,
,83,,,recoverable_unresolved,,,
,10,,,useful_but_out_of_scope,,,
,49,,,,recoverable_api_basis,,
,1,,,,recoverable_area,,
,6,,,,recoverable_endpoint,,
,1,,,,recoverable_endpoint_time,,
,4,,,,recoverable_figure_digitization,,
,1,,,,recoverable_mapping,,
,26,,,,recoverable_source_context,,
,15,,,,recoverable_support_gap,,
,83,,,,recoverable_unresolved,,
,10,,,,useful_but_out_of_scope,,
,10,,,,useful_study_type_out_of_scope,,
,53,,,,,ambiguous_api_concentration,
,1,,,,,ambiguous_mapping,
,4,,,,,figure_digitization_failed,
,16,,,,,insufficient_evidence,
,6,,,,,missing_api_concentration,
,3,,,,,missing_area,
,6,,,,,missing_endpoint,
,1,,,,,missing_endpoint_time,
,10,,,,,not_target_study_type,
,7,,,,,percent_only,
,26,,,,,source_context_inconsistent,
,19,,,,,,patch_endpoint_time
,47,,,,,,patch_endpoint_value
