stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,27
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,6
llm_adjudication_priority_bucket,high,28
llm_adjudication_priority_bucket,medium,5
llm_adjudication_review_focus,api_concentration_basis,27
llm_adjudication_review_focus,endpoint_value,6
llm_adjudication_recommended_status,rejected,7
llm_adjudication_recommended_status,unresolved,26
llm_adjudication_should_keep,no,32
llm_adjudication_should_keep,uncertain,1
llm_adjudication_disagreement,scope_bucket_disagreement,7
llm_adjudication_disagreement,status_disagreement,7
llm_adjudication_transition,unresolved->rejected,7
llm_adjudication_transition,unresolved->unresolved,26
