stage,bucket,count
access_status,downloaded,242
access_status,error,1
access_status,resolved,85
access_status,unresolved,218
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,additional_content_needed_for_precise_extraction_details,1
route_unresolved_reason,content_does_not_mention_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,content_extraction_not_possible_document_primarily_consists_of_administrative_an,1
route_unresolved_reason,content_extraction_not_possible_further_access_to_content_required_for_evaluatio,1
route_unresolved_reason,content_from_the_provided_source_is_not_extractable,1
route_unresolved_reason,content_not_available_for_specific_extraction,1
route_unresolved_reason,content_not_extractable_as_only_preliminary_structure_and_navigation_information,1
route_unresolved_reason,content_primarily_consists_of_navigation_and_help_links_no_substantive_data_rega,1
route_unresolved_reason,content_seems_to_focus_on_synthesis_and_properties_of_novel_amides_without_menti,1
route_unresolved_reason,data_appears_to_be_inaccessible_or_not_extractable_from_this_page,1
route_unresolved_reason,discussions_center_on_the_role_of_sodium_coupled_monocarboxylate_transporters_in,1
route_unresolved_reason,document_appears_to_be_an_access_page_without_relevant_extraction_content,1
route_unresolved_reason,document_appears_to_be_focused_on_pharmaceutical_pollutants_rather_than_ibuprofe,1
route_unresolved_reason,document_appears_to_contain_no_relevant_evidence,1
route_unresolved_reason,document_contains_no_specific_details_on_endpoints_or_formulations_relevant_to_i,1
route_unresolved_reason,document_does_not_contain_relevant_information_for_extraction,1
route_unresolved_reason,document_mainly_includes_navigation_and_site_information_no_extractable_content_,1
route_unresolved_reason,document_primarily_seems_to_provide_structural_details_and_lacks_direct_referenc,1
route_unresolved_reason,document_text_contains_structure_but_lacks_specific_extractable_endpoints_or_met,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_lack_of_specific_structured_data_or_endpoi,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_the_provided_document_fragment_being_unstr,1
route_unresolved_reason,evidence_for_franz_diffusion_cell_and_ibuprofen_presence_noted,1
route_unresolved_reason,evidence_of_ibuprofen_s_effect_on_neutrophil_migration_exists_but_lacks_detail_o,1
route_unresolved_reason,extraction_details_are_unclear_from_the_document_text_provided,1
route_unresolved_reason,extraction_details_not_well_defined_in_provided_text,1
route_unresolved_reason,extraction_route_is_uncertain_more_information_needed_from_the_document,1
route_unresolved_reason,extraction_route_not_clear_document_first_two_pages_contain_navigation_and_insti,1
route_unresolved_reason,further_content_extraction_is_required_for_detailed_evidence,1
route_unresolved_reason,initial_pages_do_not_contain_relevant_extractable_evidence,1
route_unresolved_reason,insufficient_content_available_for_detailed_extraction,1
route_unresolved_reason,insufficient_content_available_to_identify_extractable_evidence,1
route_unresolved_reason,insufficient_detailed_evidence_found_in_provided_excerpt,1
route_unresolved_reason,insufficient_evidence_related_to_ibuprofen_focus_on_different_compounds,1
route_unresolved_reason,insufficient_extractable_evidence_provided_in_the_source_text,1
route_unresolved_reason,insufficient_information_available,1
route_unresolved_reason,insufficient_information_available_from_the_document_provided,1
route_unresolved_reason,insufficient_information_for_detailed_extraction_content_mostly_consists_of_webs,1
route_unresolved_reason,insufficient_information_for_extraction,1
route_unresolved_reason,insufficient_information_found_in_the_provided_document_for_extraction,1
route_unresolved_reason,insufficient_information_from_the_provided_document_to_extract_relevant_evidence,1
route_unresolved_reason,insufficient_information_in_text_for_extraction,1
route_unresolved_reason,insufficient_information_to_determine_key_extraction_details,1
route_unresolved_reason,insufficient_information_to_determine_specific_details_about_ibuprofen_or_diffus,1
route_unresolved_reason,insufficient_information_to_extract_evidence_related_to_ibuprofen_or_dermal_form,1
route_unresolved_reason,irb_analysis_and_interactions_with_mil_88b_fe_suggested_for_ibuprofen_loading,1
route_unresolved_reason,missing_structured_and_pdf_router_source,230
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,67
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_connecttimeout,1
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_unresolved_reason,more_details_needed_from_the_document_to_extract_carrier_information,1
route_unresolved_reason,no_accessible_content_provided_to_assess_extraction_route,1
route_unresolved_reason,no_applicable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_clear_evidence_on_formulation_or_endpoint_in_the_provided_text,1
route_unresolved_reason,no_detailed_evidence_available_from_the_provided_excerpt,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_or_formulation_details_found_in_the_document,1
route_unresolved_reason,no_extractable_evidence_available_from_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_could_be_identified_in_the_provided_document_text,1
route_unresolved_reason,no_extractable_evidence_found_in_provided_document,1
route_unresolved_reason,no_extractable_evidence_found_in_provided_text,2
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_identified_in_the_available_pages,1
route_unresolved_reason,no_extractable_evidence_present_in_the_provided_content,1
route_unresolved_reason,no_relevant_content_available_from_the_provided_document_sections,1
route_unresolved_reason,no_relevant_content_extracted_related_to_ibuprofen_or_formulations,1
route_unresolved_reason,no_relevant_content_found_in_provided_text,1
route_unresolved_reason,no_relevant_content_regarding_ibuprofen_or_dermal_formulations_identified,1
route_unresolved_reason,no_relevant_content_related_to_the_extraction_criteria_is_readable_from_the_prov,1
route_unresolved_reason,no_relevant_data_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_data_found_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_data_related_to_ibuprofen_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_data_related_to_ibuprofen_or_related_dermal_formulations_was_found_i,1
route_unresolved_reason,no_relevant_details_available_in_the_provided_sections,1
route_unresolved_reason,no_relevant_evidence_extractable_from_the_provided_document_text,1
route_unresolved_reason,no_relevant_evidence_extraction_available,1
route_unresolved_reason,no_relevant_evidence_extraction_can_be_performed_from_the_provided_text,1
route_unresolved_reason,no_relevant_evidence_for_ibuprofen_dermal_formulations_found,1
route_unresolved_reason,no_relevant_evidence_found_about_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_evidence_regarding_ibuprofen_was_found_in_the_provided_text_the_text,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_extraction_found_in_the_document,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_diffusion_cells_found,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_diffusion_cells_found_in_the_suppli,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_document,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_document_text,1
route_unresolved_reason,no_relevant_extractable_evidence_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_extraction_available,1
route_unresolved_reason,no_relevant_extraction_evidence_found_related_to_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_information_found_for_ibuprofen_or_dermal_formulation,1
route_unresolved_reason,no_relevant_information_found_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_information_found_regarding_ibuprofen_or_diffusion_studies,1
route_unresolved_reason,no_relevant_information_found_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_diffusion_cells_found_in_the_document,1
route_unresolved_reason,no_relevant_information_provided_in_the_visible_document_text,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_dermal_formulation_found,1
route_unresolved_reason,no_relevant_sections_extracted_regarding_ibuprofen_or_dermal_formulation,1
route_unresolved_reason,no_significant_extractable_evidence_found_the_relevant_details_about_the_study_a,1
route_unresolved_reason,no_specific_evidence_extractable_from_the_text_provided,1
route_unresolved_reason,no_specific_extraction_evidence_found_related_to_ibuprofen,1
route_unresolved_reason,no_specific_extraction_points_for_ibuprofen_or_diffusion_cell_related_evidence_w,1
route_unresolved_reason,no_usable_data_or_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,not_enough_evidence_for_endpoints_formulation_details_are_missing,1
route_unresolved_reason,not_enough_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,paper_discusses_synergy_with_ibuprofen_but_lacks_specific_details_on_formulation,1
route_unresolved_reason,the_content_does_not_provide_specific_extraction_points_or_evidence,1
route_unresolved_reason,the_content_provided_does_not_contain_relevant_information_related_to_ibuprofen_,1
route_unresolved_reason,the_content_suggests_a_focus_on_ibuprofen_formulations_but_lacks_detailed_pathwa,1
route_unresolved_reason,the_document_appears_to_be_a_clinical_paper_but_lacks_specific_evidence_extracti,1
route_unresolved_reason,the_document_appears_to_be_focused_on_polystyrene_modified_carbon_nanotubes_in_d,1
route_unresolved_reason,the_document_appears_to_focus_on_crystallographic_textures_and_morphologies_of_i,1
route_unresolved_reason,the_document_contains_limited_extractable_evidence_based_on_the_provided_excerpt,1
route_unresolved_reason,the_document_did_not_provide_additional_usable_content_and_only_contained_naviga,1
route_unresolved_reason,the_document_discusses_mastocytosis_and_adverse_reactions_to_cyclooxygenase_inhi,1
route_unresolved_reason,the_document_does_not_appear_to_contain_information_relevant_to_ibuprofen_or_der,1
route_unresolved_reason,the_document_does_not_appear_to_contain_relevant_information_regarding_ibuprofen,1
route_unresolved_reason,the_document_does_not_appear_to_focus_on_ibuprofen_or_related_formulations,1
route_unresolved_reason,the_document_does_not_contain_relevant_evidence_for_ibuprofen_dermal_formulation,1
route_unresolved_reason,the_document_does_not_contain_relevant_extractable_evidence_pertaining_to_ibupro,1
route_unresolved_reason,the_document_does_not_contain_relevant_extractable_evidence_related_to_specific_,1
route_unresolved_reason,the_document_does_not_contain_relevant_information_regarding_ibuprofen_dermal_fo,1
route_unresolved_reason,the_document_does_not_explicitly_provide_details_on_formulations_or_endpoints_su,1
route_unresolved_reason,the_document_does_not_provide_any_structured_information_relevant_to_ibuprofen_o,1
route_unresolved_reason,the_document_does_not_provide_clear_endpoints_or_formulation_details_from_the_te,1
route_unresolved_reason,the_document_does_not_provide_relevant_information_about_ibuprofen_or_diffusion_,1
route_unresolved_reason,the_document_does_not_provide_specific_details_relevant_to_the_extraction_criter,1
route_unresolved_reason,the_document_does_not_provide_specific_evidence_related_to_ibuprofen_or_any_derm,1
route_unresolved_reason,the_document_does_not_provide_specific_evidence_related_to_ibuprofen_or_its_form,1
route_unresolved_reason,the_document_does_not_provide_sufficient_information,1
route_unresolved_reason,the_document_does_not_provide_sufficient_information_for_definitive_extraction_r,1
route_unresolved_reason,the_document_does_not_provide_sufficient_information_related_to_ibuprofen_or_dif,1
route_unresolved_reason,the_document_does_not_provide_sufficient_information_to_determine_relevant_extra,1
route_unresolved_reason,the_document_doesn_t_contain_relevant_information_for_extraction_regarding_ibupr,1
route_unresolved_reason,the_document_is_not_accessible_for_extraction_unclear_if_relevant_content_exists,1
route_unresolved_reason,the_document_mainly_discusses_polymer_membrane_properties_without_specific_menti,1
route_unresolved_reason,the_document_mostly_contains_navigation_elements_and_requires_further_extraction,1
route_unresolved_reason,the_document_primarily_consists_of_front_matter_and_doesn_t_contain_relevant_inf,1
route_unresolved_reason,the_document_primarily_consists_of_non_substantive_content_with_no_clear_mention,1
route_unresolved_reason,the_document_primarily_discusses_a_synoviocyte_model_and_its_response_to_ibuprof,1
route_unresolved_reason,the_document_primarily_discusses_tcm_plasters_and_does_not_appear_related_to_ibu,1
route_unresolved_reason,the_document_primarily_focuses_on_the_diffusivity_of_various_cyclodextrins_and_i,1
route_unresolved_reason,the_document_primarily_focuses_on_the_synthesis_of_lignin_based_hydrogels_no_dir,1
route_unresolved_reason,the_document_primarily_provides_metadata_without_relevant_content,1
route_unresolved_reason,the_document_provided_does_not_contain_relevant_extractable_evidence_related_to_,1
route_unresolved_reason,the_document_provided_is_not_visible_for_evidence_extraction,1
route_unresolved_reason,the_document_source_provided_does_not_contain_clear_extraction_routes_key_eviden,1
route_unresolved_reason,the_paper_did_not_pertain_to_ibuprofen_or_relevant_dermal_formulations,1
route_unresolved_reason,the_paper_discusses_the_effects_of_ibuprofen_but_does_not_provide_specific_detai,1
route_unresolved_reason,the_paper_discusses_the_synthesis_and_functionalization_of_a_metal_organic_frame,1
route_unresolved_reason,the_paper_does_not_provide_specific_details_about_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,the_paper_focuses_on_a_hybrid_system_for_ibuprofen_removal_but_lacks_specific_de,1
route_unresolved_reason,the_paper_focuses_on_polyelectrolyte_coated_mesoporous_bioactive_glasses_and_doe,1
route_unresolved_reason,the_source_document_does_not_provide_specific_information_relevant_to_ibuprofen_,1
route_unresolved_reason,this_paper_discusses_new_derivatives_of_ibuprofen_but_does_not_provide_clear_evi,1
route_unresolved_reason,this_paper_discusses_the_synergy_of_ibuprofen_with_other_compounds_against_candi,1
route_unresolved_reason,this_paper_does_not_discuss_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,this_paper_potentially_discusses_ibuprofen_formulations_but_lacks_specific_extra,1
route_unresolved_reason,unable_to_extract_explicit_evidence_due_to_lack_of_detail_in_the_source,1
route_unresolved_reason,unable_to_extract_relevant_evidence_regarding_ibuprofen_or_diffusion_cells_from_,1
route_unresolved_reason,unspecified,29
route_note,additional_content_needed_for_precise_extraction_details,1
route_note,clinical_investigation_on_ibuprofen_formulation_for_leg_ulcers,1
route_note,confocal_raman_microscopy_used_to_analyze_water_and_glycerin_distribution_in_ski,1
route_note,content_does_not_mention_ibuprofen_or_diffusion_cell,1
route_note,content_extraction_not_possible_document_primarily_consists_of_administrative_an,1
route_note,content_extraction_not_possible_further_access_to_content_required_for_evaluatio,1
route_note,content_from_the_provided_source_is_not_extractable,1
route_note,content_not_available_for_specific_extraction,1
route_note,content_not_extractable_as_only_preliminary_structure_and_navigation_information,1
route_note,content_primarily_consists_of_navigation_and_help_links_no_substantive_data_rega,1
route_note,content_seems_to_focus_on_synthesis_and_properties_of_novel_amides_without_menti,1
route_note,data_appears_to_be_inaccessible_or_not_extractable_from_this_page,1
route_note,detailed_investigation_of_spinal_release_of_prostaglandins_and_amino_acids_in_a_,1
route_note,discusses_multiple_nsaid_formulations_including_ibuprofen_s_role_in_hydrogels,1
route_note,discussions_center_on_the_role_of_sodium_coupled_monocarboxylate_transporters_in,1
route_note,document_appears_to_be_an_access_page_without_relevant_extraction_content,1
route_note,document_appears_to_be_focused_on_pharmaceutical_pollutants_rather_than_ibuprofe,1
route_note,document_appears_to_contain_no_relevant_evidence,1
route_note,document_contains_no_specific_details_on_endpoints_or_formulations_relevant_to_i,1
route_note,document_does_not_contain_relevant_information_for_extraction,1
route_note,document_mainly_includes_navigation_and_site_information_no_extractable_content_,1
route_note,document_primarily_seems_to_provide_structural_details_and_lacks_direct_referenc,1
route_note,document_text_contains_structure_but_lacks_specific_extractable_endpoints_or_met,1
route_note,evidence_extraction_is_limited_due_to_lack_of_specific_structured_data_or_endpoi,1
route_note,evidence_extraction_is_limited_due_to_the_provided_document_fragment_being_unstr,1
route_note,evidence_for_franz_diffusion_cell_and_ibuprofen_presence_noted,1
route_note,evidence_of_ibuprofen_s_effect_on_neutrophil_migration_exists_but_lacks_detail_o,1
route_note,explores_drug_diffusion_characteristics_through_a_keratin_membrane_against_human,1
route_note,extraction_details_are_unclear_from_the_document_text_provided,1
route_note,extraction_details_not_well_defined_in_provided_text,1
route_note,extraction_route_is_uncertain_more_information_needed_from_the_document,1
route_note,extraction_route_not_clear_document_first_two_pages_contain_navigation_and_insti,1
route_note,focused_on_membrane_properties_and_performance_in_removing_eocs_including_ibupro,1
route_note,focuses_on_adsorption_mechanisms_of_various_phacs_on_cnms_including_ibuprofen,1
route_note,focuses_on_the_synthesis_and_evaluation_of_ibuprofen_prodrugs,1
route_note,focuses_on_the_use_of_sebs_block_copolymers_in_transdermal_formulations,1
route_note,further_content_extraction_is_required_for_detailed_evidence,1
route_note,in_vitro_release_profiles_for_both_drugs_confirmed_their_efficacy_and_maintained,1
route_note,initial_pages_do_not_contain_relevant_extractable_evidence,1
route_note,insufficient_content_available_for_detailed_extraction,1
route_note,insufficient_content_available_to_identify_extractable_evidence,1
route_note,insufficient_detailed_evidence_found_in_provided_excerpt,1
route_note,insufficient_evidence_related_to_ibuprofen_focus_on_different_compounds,1
route_note,insufficient_extractable_evidence_provided_in_the_source_text,1
route_note,insufficient_information_available,1
route_note,insufficient_information_available_from_the_document_provided,1
route_note,insufficient_information_for_detailed_extraction_content_mostly_consists_of_webs,1
route_note,insufficient_information_for_extraction,1
route_note,insufficient_information_found_in_the_provided_document_for_extraction,1
route_note,insufficient_information_from_the_provided_document_to_extract_relevant_evidence,1
route_note,insufficient_information_in_text_for_extraction,1
route_note,insufficient_information_to_determine_key_extraction_details,1
route_note,insufficient_information_to_determine_specific_details_about_ibuprofen_or_diffus,1
route_note,insufficient_information_to_extract_evidence_related_to_ibuprofen_or_dermal_form,1
route_note,investigated_the_effects_of_ibuprofen_on_allergen_challenges_in_mild_atopic_asth,1
route_note,irb_analysis_and_interactions_with_mil_88b_fe_suggested_for_ibuprofen_loading,1
route_note,missing_structured_and_pdf_router_source,230
route_note,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,67
route_note,missing_structured_and_pdf_router_source_html_remote_connecttimeout,1
route_note,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_note,more_details_needed_from_the_document_to_extract_carrier_information,1
route_note,no_accessible_content_provided_to_assess_extraction_route,1
route_note,no_applicable_evidence_found_in_the_provided_text,1
route_note,no_clear_evidence_on_formulation_or_endpoint_in_the_provided_text,1
route_note,no_detailed_evidence_available_from_the_provided_excerpt,1
route_note,no_diffusion_cell_methods_mentioned,1
route_note,no_evidence_related_to_ibuprofen_or_formulation_details_found_in_the_document,1
route_note,no_extractable_evidence_available_from_the_provided_text,1
route_note,no_extractable_evidence_could_be_identified_in_the_provided_document_text,1
route_note,no_extractable_evidence_found_in_provided_document,1
route_note,no_extractable_evidence_found_in_provided_text,2
route_note,no_extractable_evidence_found_in_the_provided_document,1
route_note,no_extractable_evidence_found_in_the_provided_text,1
route_note,no_extractable_evidence_identified_in_the_available_pages,1
route_note,no_extractable_evidence_present_in_the_provided_content,1
route_note,no_relevant_content_available_from_the_provided_document_sections,1
route_note,no_relevant_content_extracted_related_to_ibuprofen_or_formulations,1
route_note,no_relevant_content_found_in_provided_text,1
route_note,no_relevant_content_regarding_ibuprofen_or_dermal_formulations_identified,1
route_note,no_relevant_content_related_to_the_extraction_criteria_is_readable_from_the_prov,1
route_note,no_relevant_data_found_in_the_provided_document,1
route_note,no_relevant_data_found_regarding_ibuprofen_or_diffusion_cell,1
route_note,no_relevant_data_related_to_ibuprofen_found_in_the_provided_document,1
route_note,no_relevant_data_related_to_ibuprofen_or_related_dermal_formulations_was_found_i,1
route_note,no_relevant_details_available_in_the_provided_sections,1
route_note,no_relevant_evidence_extractable_from_the_provided_document_text,1
route_note,no_relevant_evidence_extraction_available,1
route_note,no_relevant_evidence_extraction_can_be_performed_from_the_provided_text,1
route_note,no_relevant_evidence_for_ibuprofen_dermal_formulations_found,1
route_note,no_relevant_evidence_found_about_ibuprofen_or_diffusion_cells,1
route_note,no_relevant_evidence_found_in_the_provided_text,1
route_note,no_relevant_evidence_regarding_ibuprofen_was_found_in_the_provided_text_the_text,1
route_note,no_relevant_evidence_related_to_ibuprofen_extraction_found_in_the_document,1
route_note,no_relevant_evidence_related_to_ibuprofen_or_diffusion_cells_found,1
route_note,no_relevant_evidence_related_to_ibuprofen_or_diffusion_cells_found_in_the_suppli,1
route_note,no_relevant_extractable_evidence_found_in_the_document,1
route_note,no_relevant_extractable_evidence_found_in_the_provided_document_text,1
route_note,no_relevant_extractable_evidence_regarding_ibuprofen_or_diffusion_cell,1
route_note,no_relevant_extraction_available,1
route_note,no_relevant_extraction_evidence_found_related_to_ibuprofen_or_diffusion_cells,1
