stage,bucket,count
figure_stage,digitization_no_output,4
figure_stage,digitized_curves,24
figure_stage,digitized_endpoints_failed,6
figure_stage,digitized_endpoints_ok,24
figure_stage,mapped_curves,8
figure_stage,triage_artifacts,20
figure_stage,triage_digitize_candidates,16
figure_stage,triage_has_permeation_plot_true,16
figure_stage,unmapped_curves,16
figure_stage,vlm_readings_readable,25
figure_stage,vlm_readings_total,29
figure_stage,vlm_used_as_final,13
figure_gate,skipped:missing_explicit_figure_signal,8
figure_gate,routed_candidates,31
figure_gate,after_gate,23
figure_triage_route,digitize,16
figure_triage_route,skip,4
figure_has_permeation_plot,false,4
figure_has_permeation_plot,true,16
figure_triage_signal,digitizable:no,4
figure_triage_signal,endpoint_curve_present:no,4
figure_triage_signal,recommended_route:skip,4
figure_triage_signal,ticks_readable:no,1
figure_triage_signal,ticks_readable:uncertain,4
figure_triage_signal,why_not_digitizable:calibration_curve_not_target,1
figure_triage_signal,why_not_digitizable:the_curve_data_is_not_clearly_visible_or_properly_formatted_for_digitization,1
figure_triage_signal,why_not_digitizable:the_figure_lacks_quantitative_curves_that_could_indicate_an_endpoint_regarding_i,1
figure_triage_signal,why_not_digitizable:the_figure_presents_a_scatter_plot_but_lacks_clear_numerical_readouts_specific_d,1
figure_digitization_status,digitization_no_output,4
figure_digitization_status,fail_missing_axis_range,2
figure_digitization_status,ok,24
figure_digitization_failure,digitization_no_output,4
figure_digitization_failure,fail_missing_axis_range,2
figure_mapping_status,underconstrained_labels,16
figure_mapping_status,vision_mapped,8
figure_mapping_failure,underconstrained_label_space_2_curves_1_labels,4
figure_mapping_failure,underconstrained_label_space_3_curves_2_labels,3
figure_mapping_failure,underconstrained_label_space_4_curves_2_labels,4
figure_mapping_failure,underconstrained_label_space_5_curves_2_labels,5
figure_vlm_grounding_status,figure_label_space,6
figure_vlm_grounding_status,figure_label_space_only,16
figure_vlm_grounding_status,none,6
figure_vlm_grounding_status,source_label_space,1
figure_vlm_reconciliation_status,cv_only,6
figure_vlm_reconciliation_status,cv_vlm_disagreement,3
figure_vlm_reconciliation_status,no_source_record,3
figure_vlm_reconciliation_status,unreadable,4
figure_vlm_reconciliation_status,vlm_only,13
verification_route:figure,ambiguous_api_concentration,19
verification_route:figure,figure_digitization_failed,5
verification_route:figure,insufficient_evidence,28
verification_route:figure,missing_api_concentration,6
verification_route:figure,missing_area,7
verification_route:figure,missing_endpoint,7
verification_route:figure,missing_endpoint_time,6
verification_route:figure,not_target_api,8
verification_route:figure,not_target_api_concentration,4
verification_route:figure,not_target_device,1
verification_route:figure,not_target_study_type,8
verification_route:figure,percent_only,10
verification_route:figure,unit_normalization_failed,3
verification_route:mixed,ambiguous_api_concentration,1
verification_route:mixed,insufficient_evidence,16
verification_route:mixed,missing_api_concentration,1
verification_route:mixed,missing_area,3
verification_route:mixed,missing_endpoint,2
verification_route:mixed,missing_endpoint_time,2
verification_route:mixed,not_target_api,3
verification_route:mixed,not_target_api_concentration,4
verification_route:mixed,not_target_device,4
verification_route:mixed,percent_only,7
verification_route:table,ambiguous_api_concentration,12
verification_route:table,insufficient_evidence,7
verification_route:table,missing_area,2
verification_route:table,missing_endpoint_time,1
verification_route:table,not_target_api,1
verification_route:table,not_target_api_concentration,4
verification_route:table,not_target_study_type,2
verification_route:table,percent_only,1
verification_route:text,insufficient_evidence,5
