stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,22
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,1
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,4
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint_time,1
llm_adjudication_priority_bucket,high,22
llm_adjudication_priority_bucket,medium,6
llm_adjudication_review_focus,api_concentration_basis,22
llm_adjudication_review_focus,diffusion_area,1
llm_adjudication_review_focus,endpoint_time,1
llm_adjudication_review_focus,endpoint_value,4
llm_adjudication_recommended_status,rejected,6
llm_adjudication_recommended_status,unresolved,22
llm_adjudication_should_keep,no,28
llm_adjudication_disagreement,scope_bucket_disagreement,6
llm_adjudication_disagreement,status_disagreement,6
llm_adjudication_transition,unresolved->rejected,6
llm_adjudication_transition,unresolved->unresolved,22
