route,count,module,verification_status,scope_bucket,scope_tag,failure_code
figure,23,,,,,
mixed,9,,,,,
table,17,,,,,
text,13,,,,,
unresolved,484,,,,,
,7,figure,,,,
,68,table,,,,
,7,text,,,,
,23,,rejected,,,
,49,,unresolved,,,
,6,,verified,,,
,12,,,out_of_scope,,
,41,,,recoverable_unresolved,,
,6,,,strict_in_scope,,
,19,,,useful_but_out_of_scope,,
,12,,,,non_target_api,
,26,,,,recoverable_api_basis,
,4,,,,recoverable_area,
,4,,,,recoverable_endpoint,
,5,,,,recoverable_endpoint_time,
,2,,,,recoverable_figure_digitization,
,29,,,,recoverable_support_gap,
,2,,,,recoverable_unit_normalization,
,41,,,,recoverable_unresolved,
,10,,,,useful_api_concentration_out_of_scope,
,19,,,,useful_but_out_of_scope,
,3,,,,useful_device_out_of_scope,
,1,,,,useful_endpoint_out_of_scope,
,9,,,,useful_study_type_out_of_scope,
,32,,,,,ambiguous_api_concentration
,5,,,,,figure_digitization_failed
,56,,,,,insufficient_evidence
,7,,,,,missing_api_concentration
,12,,,,,missing_area
,9,,,,,missing_endpoint
,9,,,,,missing_endpoint_time
,12,,,,,not_target_api
,12,,,,,not_target_api_concentration
,5,,,,,not_target_device
,10,,,,,not_target_study_type
,18,,,,,percent_only
,3,,,,,unit_normalization_failed
