stage,bucket,count
access_status,downloaded,227
access_status,error,1
access_status,resolved,89
access_status,unresolved,219
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,best_extraction_route_cannot_be_determined_from_the_provided_content,1
route_unresolved_reason,cannot_extract_definitive_evidence_due_to_lack_of_specific_content_in_the_provid,1
route_unresolved_reason,content_does_not_provide_any_concrete_evidence_extractable_regarding_ibuprofen_o,1
route_unresolved_reason,content_from_the_document_is_not_fully_extractable_due_to_the_lack_of_specific_s,1
route_unresolved_reason,content_is_inaccessible_only_meta_information_is_available,1
route_unresolved_reason,content_is_primarily_about_synthesis_and_delivery_mechanisms_rather_than_specifi,1
route_unresolved_reason,content_not_extractable_possibly_due_to_lack_of_information,1
route_unresolved_reason,content_only_shows_a_web_interface_with_no_extractable_evidence,1
route_unresolved_reason,content_primarily_provides_insights_into_nsaids_and_does_not_specifically_focus_,1
route_unresolved_reason,could_not_extract_detailed_evidence_from_the_provided_document,1
route_unresolved_reason,detailed_information_on_the_endpoints_and_formulations_was_not_found_in_the_extr,1
route_unresolved_reason,document_appears_to_be_an_article_discussing_a_thermosensitive_hydrogel_for_trea,1
route_unresolved_reason,document_contains_references_to_ibuprofen_but_lacks_specific_experimental_detail,1
route_unresolved_reason,document_content_does_not_appear_to_provide_relevant_extraction_information,1
route_unresolved_reason,document_did_not_provide_extractable_content_relevant_to_ibuprofen_or_diffusion_,1
route_unresolved_reason,document_does_not_contain_relevant_information_specific_to_ibuprofen_or_its_derm,1
route_unresolved_reason,document_does_not_provide_extractable_structured_evidence,1
route_unresolved_reason,document_does_not_provide_relevant_extractable_evidence_regarding_ibuprofen_or_d,1
route_unresolved_reason,document_does_not_provide_specific_findings,1
route_unresolved_reason,document_text_does_not_provide_extractable_evidence,1
route_unresolved_reason,evidence_extraction_details_are_vague_from_the_provided_excerpt,1
route_unresolved_reason,evidence_extraction_may_not_be_possible_as_no_relevant_data_is_visible_in_the_pr,1
route_unresolved_reason,evidence_might_exist_but_is_not_extractable_from_the_available_content,1
route_unresolved_reason,evidence_related_to_ibuprofen_presence_but_lacks_clarity_on_endpoint_or_formulat,1
route_unresolved_reason,extractable_details_about_ibuprofen_and_formulations_are_not_evident_from_the_in,1
route_unresolved_reason,focus_on_ibuprofen_permeability_using_a_synthetic_membrane,1
route_unresolved_reason,focus_on_ibuprofen_permeation_across_synthetic_membranes_using_established_diffu,1
route_unresolved_reason,insufficient_content_provided_for_detailed_extraction,1
route_unresolved_reason,insufficient_detail_to_determine_evidence,1
route_unresolved_reason,insufficient_extraction_route_due_to_lack_of_specific_evidence_location_details,1
route_unresolved_reason,insufficient_information_available_to_determine_specific_evidence_extraction_rou,1
route_unresolved_reason,insufficient_information_to_determine_extraction_route,1
route_unresolved_reason,insufficient_text_provided_to_extract_concrete_evidence,1
route_unresolved_reason,missing_structured_and_pdf_router_source,233
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,70
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_unresolved_reason,need_more_content_to_determine_extractable_evidence,1
route_unresolved_reason,no_detailed_information_extractable_from_the_provided_text,1
route_unresolved_reason,no_evidence_extraction_possible_from_provided_text,1
route_unresolved_reason,no_extractable_evidence_currently_available_from_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_from_the_provided_text,1
route_unresolved_reason,no_extractable_information_related_to_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_content_extractable_regarding_ibuprofen_or_diffusion_methods,1
route_unresolved_reason,no_relevant_content_extracted_from_the_pages_provided,1
route_unresolved_reason,no_relevant_content_extracted_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_content_related_to_ibuprofen_or_diffusion_cell_was_found_in_the_prov,1
route_unresolved_reason,no_relevant_data_available_regarding_ibuprofen_or_diffusion_cell,1
route_unresolved_reason,no_relevant_data_on_ibuprofen_or_dermal_formulations_found_in_the_provided_docum,1
route_unresolved_reason,no_relevant_details_about_ibuprofen_or_diffusion_cells_found_in_the_provided_doc,1
route_unresolved_reason,no_relevant_details_extracted_from_the_content_provided,1
route_unresolved_reason,no_relevant_evidence_extraction_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_evidence_for_ibuprofen_dermal_formulation_found,1
route_unresolved_reason,no_relevant_evidence_for_ibuprofen_found_in_the_text_provided,1
route_unresolved_reason,no_relevant_evidence_found_in_the_document,1
route_unresolved_reason,no_relevant_evidence_found_in_the_provided_text,2
route_unresolved_reason,no_relevant_evidence_found_regarding_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_relevant_evidence_on_ibuprofen_extraction,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_dermal_formulations_found_in_the_do,1
route_unresolved_reason,no_relevant_extractable_evidence_detected_in_the_provided_document_text,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_text,2
route_unresolved_reason,no_relevant_extractable_evidence_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_extraction_found_related_to_ibuprofen_or_diffusion_study,1
route_unresolved_reason,no_relevant_information_extracted_from_the_document,1
route_unresolved_reason,no_relevant_information_extracted_regarding_ibuprofen_or_dermal_formulations,2
route_unresolved_reason,no_relevant_information_found_on_the_specific_study_or_contents,1
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_dermal_formulations_found_in_the_documen,1
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_diffusion_cells_is_found_in_this_excerpt,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_diffusion_cells_noted_in_the_prov,1
route_unresolved_reason,no_relevant_information_related_to_ibuprofen_or_dermal_formulations_is_found_in_,1
route_unresolved_reason,no_specific_details_or_extractable_information_about_endpoints_formulations_or_s,1
route_unresolved_reason,no_specific_evidence_extractable_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_specific_evidence_extracted_content_appears_non_relevant,1
route_unresolved_reason,no_specific_evidence_extracted_related_to_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_specific_evidence_extraction_can_be_made_from_the_provided_content,1
route_unresolved_reason,no_specific_evidence_regarding_ibuprofen_or_diffusion_cells_found_in_the_provide,1
route_unresolved_reason,no_specific_evidence_regarding_ibuprofen_or_diffusion_cells_is_mentioned_in_the_,1
route_unresolved_reason,no_specific_extractable_evidence_found_regarding_ibuprofen_formulation,1
route_unresolved_reason,no_specific_extraction_points_identified_due_to_lack_of_detailed_content,1
route_unresolved_reason,no_structured_evidence_present_in_provided_text,1
route_unresolved_reason,no_useful_evidence_extractable_from_the_pages_provided,1
route_unresolved_reason,not_enough_extractable_evidence_available_in_the_provided_text,1
route_unresolved_reason,paper_discusses_ibuprofen_in_a_formulation_context_but_does_not_provide_clear_en,1
route_unresolved_reason,paper_does_not_seem_to_contain_relevant_information_regarding_ibuprofen_or_derma,1
route_unresolved_reason,the_document_appears_to_be_incomplete_or_does_not_provide_sufficient_structured_,1
route_unresolved_reason,the_document_appears_to_be_primarily_about_ocular_drug_discovery_and_development,1
route_unresolved_reason,the_document_appears_to_be_unavailable_or_incomplete_in_the_provided_text,1
route_unresolved_reason,the_document_appears_to_discuss_drug_delivery_systems_but_does_not_specifically_,1
route_unresolved_reason,the_document_appears_to_relate_to_catalytic_ozonation_of_pharmaceuticals_not_dir,1
