stage,bucket,count
figure_stage,digitization_no_output,4
figure_stage,digitized_curves,23
figure_stage,digitized_endpoints_failed,6
figure_stage,digitized_endpoints_ok,23
figure_stage,mapped_curves,3
figure_stage,triage_artifacts,17
figure_stage,triage_digitize_candidates,15
figure_stage,triage_has_permeation_plot_true,15
figure_stage,unmapped_curves,20
figure_stage,vlm_readings_readable,24
figure_stage,vlm_readings_total,28
figure_stage,vlm_used_as_final,14
figure_gate,skipped:missing_explicit_figure_signal,5
figure_gate,routed_candidates,23
figure_gate,after_gate,18
figure_triage_route,digitize,15
figure_triage_route,skip,1
figure_triage_route,supp_needed,1
figure_has_permeation_plot,false,2
figure_has_permeation_plot,true,15
figure_triage_signal,digitizable:no,1
figure_triage_signal,digitizable:uncertain,1
figure_triage_signal,endpoint_curve_present:no,3
figure_triage_signal,endpoint_curve_present:uncertain,2
figure_triage_signal,recommended_route:skip,1
figure_triage_signal,recommended_route:supp_needed,1
figure_triage_signal,ticks_readable:uncertain,5
figure_triage_signal,why_not_digitizable:calibration_curve_not_target,1
figure_triage_signal,why_not_digitizable:low_clarity_and_complexity_of_data_representation_hinder_definitive_digitization,1
figure_digitization_status,digitization_no_output,4
figure_digitization_status,fail_missing_axis_range,2
figure_digitization_status,ok,23
figure_digitization_failure,digitization_no_output,4
figure_digitization_failure,fail_missing_axis_range,2
figure_mapping_status,underconstrained_labels,20
figure_mapping_status,vision_mapped,3
figure_mapping_failure,underconstrained_label_space_2_curves_1_labels,4
figure_mapping_failure,underconstrained_label_space_3_curves_2_labels,3
figure_mapping_failure,underconstrained_label_space_4_curves_1_labels,8
figure_mapping_failure,underconstrained_label_space_5_curves_2_labels,5
figure_vlm_grounding_status,figure_label_space,5
figure_vlm_grounding_status,figure_label_space_only,13
figure_vlm_grounding_status,none,3
figure_vlm_grounding_status,ungrounded,7
figure_vlm_reconciliation_status,cv_only,10
figure_vlm_reconciliation_status,unreadable,4
figure_vlm_reconciliation_status,vlm_only,14
verification_route:figure,ambiguous_api_concentration,18
verification_route:figure,figure_digitization_failed,2
verification_route:figure,insufficient_evidence,18
verification_route:figure,missing_area,8
verification_route:figure,missing_endpoint,2
verification_route:figure,not_target_api,1
verification_route:figure,not_target_api_concentration,5
verification_route:figure,not_target_device,4
verification_route:figure,not_target_study_type,8
verification_route:figure,percent_only,3
verification_route:figure,unit_normalization_failed,3
verification_route:mixed,ambiguous_api_concentration,1
verification_route:mixed,insufficient_evidence,13
verification_route:mixed,missing_api_concentration,2
verification_route:mixed,missing_area,1
verification_route:mixed,missing_endpoint,4
verification_route:mixed,percent_only,1
verification_route:table,ambiguous_api_concentration,19
verification_route:table,insufficient_evidence,17
verification_route:table,missing_area,9
verification_route:table,not_target_api,5
verification_route:table,not_target_api_concentration,8
verification_route:table,not_target_device,1
verification_route:table,not_target_study_type,4
verification_route:text,insufficient_evidence,3
verification_route:text,missing_endpoint,1
verification_route:text,missing_endpoint_time,1
