stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:ambiguous_api_concentration,19
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,1
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,7
llm_adjudication_priority_bucket,high,20
llm_adjudication_priority_bucket,medium,7
llm_adjudication_review_focus,api_concentration_basis,19
llm_adjudication_review_focus,diffusion_area,1
llm_adjudication_review_focus,endpoint_value,7
llm_adjudication_recommended_status,rejected,8
llm_adjudication_recommended_status,unresolved,19
llm_adjudication_should_keep,no,27
llm_adjudication_disagreement,scope_bucket_disagreement,8
llm_adjudication_disagreement,status_disagreement,8
llm_adjudication_transition,unresolved->rejected,8
llm_adjudication_transition,unresolved->unresolved,19
