route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,17,,,,,,
mixed,7,,,,,,
table,20,,,,,,
text,14,,,,,,
unresolved,478,,,,,,
,7,figure,,,,,
,68,table,,,,,
,7,text,,,,,
,22,,rejected,,,,
,47,,unresolved,,,,
,4,,verified,,,,
,6,,,out_of_scope,,,
,37,,,recoverable_unresolved,,,
,4,,,strict_in_scope,,,
,26,,,useful_but_out_of_scope,,,
,6,,,,non_target_api,,
,21,,,,recoverable_api_basis,,
,3,,,,recoverable_area,,
,7,,,,recoverable_endpoint,,
,1,,,,recoverable_endpoint_time,,
,2,,,,recoverable_figure_digitization,,
,28,,,,recoverable_support_gap,,
,2,,,,recoverable_unit_normalization,,
,37,,,,recoverable_unresolved,,
,13,,,,useful_api_concentration_out_of_scope,,
,26,,,,useful_but_out_of_scope,,
,5,,,,useful_device_out_of_scope,,
,1,,,,useful_endpoint_out_of_scope,,
,11,,,,useful_study_type_out_of_scope,,
,38,,,,,ambiguous_api_concentration,
,2,,,,,figure_digitization_failed,
,51,,,,,insufficient_evidence,
,2,,,,,missing_api_concentration,
,18,,,,,missing_area,
,7,,,,,missing_endpoint,
,1,,,,,missing_endpoint_time,
,6,,,,,not_target_api,
,13,,,,,not_target_api_concentration,
,5,,,,,not_target_device,
,12,,,,,not_target_study_type,
,4,,,,,percent_only,
,3,,,,,unit_normalization_failed,
,4,,,,,,patch_api_concentration
,3,,,,,,patch_area
,14,,,,,,patch_endpoint_time
,17,,,,,,patch_endpoint_value
