stage,bucket,count
access_status,downloaded,243
access_status,error,1
access_status,resolved,79
access_status,unresolved,229
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,content_does_not_provide_sufficient_information_for_evidence_extraction,1
route_unresolved_reason,content_from_the_document_is_primarily_about_hydrogel_carriers_and_does_not_spec,1
route_unresolved_reason,content_is_not_provided_beyond_pages_1_2_related_to_europe_pmc_functionality,1
route_unresolved_reason,content_is_unavailable_details_needed_to_assess_extraction_are_not_present,1
route_unresolved_reason,content_lacks_relevant_information_regarding_ibuprofen_diffusion_cell_study_type,1
route_unresolved_reason,content_not_available_for_extraction_from_provided_text_primarily_consists_of_na,1
route_unresolved_reason,content_not_extractable_from_provided_document_text,1
route_unresolved_reason,content_primarily_discusses_neutrophil_migration_and_effects_of_nsaids_without_s,1
route_unresolved_reason,data_extraction_details_are_unclear_due_to_the_content_provided,1
route_unresolved_reason,document_appears_to_consist_primarily_of_navigation_and_administrative_content_w,1
route_unresolved_reason,document_contains_limited_content_for_extraction,1
route_unresolved_reason,document_content_does_not_provide_relevant_information_based_on_the_required_cri,1
route_unresolved_reason,document_did_not_provide_relevant_content_for_extraction,1
route_unresolved_reason,document_does_not_appear_to_provide_relevant_evidence_for_extraction_regarding_i,1
route_unresolved_reason,document_does_not_provide_clear_evidence_regarding_specific_endpoints_or_study_t,1
route_unresolved_reason,document_focus_on_ft_ir_imaging_in_microfluidic_devices_no_specific_reference_to,1
route_unresolved_reason,document_information_is_primarily_about_a_hydrogel_system_and_its_impact_on_woun,1
route_unresolved_reason,document_primarily_contains_introductory_information_and_does_not_provide_extrac,1
route_unresolved_reason,evidence_extraction_not_applicable_as_relevant_content_for_ibuprofen_formulation,1
route_unresolved_reason,evidence_extraction_not_applicable_from_the_provided_document_text,1
route_unresolved_reason,evidence_extraction_requires_further_details_from_the_main_text,1
route_unresolved_reason,evidence_needs_further_extraction_from_subsequent_text,1
route_unresolved_reason,extraction_route_is_compromised_due_to_lack_of_specific_evidence_in_visible_text,1
route_unresolved_reason,focus_on_partitioning_of_nsaids_in_lipid_membranes_as_per_molecular_dynamics_stu,1
route_unresolved_reason,initial_page_review_further_extraction_needed,1
route_unresolved_reason,insufficient_content_available_for_extraction_from_the_provided_document,1
route_unresolved_reason,insufficient_evidence_details_provided_in_the_document,1
route_unresolved_reason,insufficient_evidence_extraction_due_to_lack_of_relevant_content,1
route_unresolved_reason,insufficient_evidence_in_provided_content,1
route_unresolved_reason,insufficient_information_available_for_extraction,1
route_unresolved_reason,insufficient_information_from_the_document_to_identify_extractable_evidence,1
route_unresolved_reason,insufficient_information_provided_in_the_document,1
route_unresolved_reason,insufficient_information_to_determine_specific_routes_or_endpoints,1
route_unresolved_reason,missing_structured_and_pdf_router_source,238
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,65
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_unresolved_reason,need_to_access_further_content_for_detailed_extraction,1
route_unresolved_reason,no_detailed_information_available_regarding_study_specifics_or_methodologies,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_or_diffusion_cell_focus_on_bezafibrate_derivati,1
route_unresolved_reason,no_explicit_extractable_evidence_detected_in_the_provided_pages,1
route_unresolved_reason,no_explicit_mention_of_ibuprofen_or_specific_diffusion_methods_more_details_requ,1
route_unresolved_reason,no_extractable_evidence_found_based_on_the_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_in_current_text,1
route_unresolved_reason,no_extractable_evidence_found_in_provided_text,1
route_unresolved_reason,no_extractable_evidence_found_in_the_supplied_document,1
route_unresolved_reason,no_extractable_evidence_found_in_the_visible_text,1
route_unresolved_reason,no_extractable_evidence_found_related_to_ibuprofen_or_dermal_formulations,1
route_unresolved_reason,no_extractable_evidence_from_the_provided_text_document_appears_inaccessible_or_,1
route_unresolved_reason,no_extractable_evidence_identified,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_or_a_diffusion_cell_found,1
route_unresolved_reason,no_mention_of_ibuprofen_or_diffusion_cells_found_in_the_provided_document,1
route_unresolved_reason,no_relevant_content_found_in_the_document_to_extract_evidence,1
route_unresolved_reason,no_relevant_data_extracted_from_the_provided_document_text,1
route_unresolved_reason,no_relevant_data_extracted_regarding_ibuprofen_or_diffusion_cells,1
