stage,bucket,count
figure_stage,digitization_no_output,8
figure_stage,digitized_curves,9
figure_stage,digitized_endpoints_failed,8
figure_stage,digitized_endpoints_ok,9
figure_stage,mapped_curves,7
figure_stage,triage_artifacts,18
figure_stage,triage_digitize_candidates,15
figure_stage,triage_has_permeation_plot_true,15
figure_stage,unmapped_curves,2
figure_stage,vlm_readings_readable,13
figure_stage,vlm_readings_total,15
figure_stage,vlm_used_as_final,8
figure_gate,skipped:missing_explicit_figure_signal,5
figure_gate,routed_candidates,24
figure_gate,after_gate,19
figure_triage_route,digitize,15
figure_triage_route,skip,3
figure_has_permeation_plot,false,3
figure_has_permeation_plot,true,15
figure_triage_signal,digitizable:no,3
figure_triage_signal,endpoint_curve_present:no,4
figure_triage_signal,recommended_route:skip,3
figure_triage_signal,ticks_readable:uncertain,5
figure_triage_signal,why_not_digitizable:calibration_curve_not_target,1
figure_triage_signal,why_not_digitizable:graph_does_not_depict_mean_sem_values_over_a_concentration_range_for_ibuprofen_i,1
figure_triage_signal,why_not_digitizable:no_curves_are_present_panels_show_sem_images_only,1
figure_digitization_status,digitization_no_output,8
figure_digitization_status,ok,9
figure_digitization_failure,digitization_no_output,8
figure_mapping_status,underconstrained_labels,2
figure_mapping_status,vision_mapped,7
figure_mapping_failure,underconstrained_label_space_2_curves_1_labels,2
figure_vlm_grounding_status,figure_label_space,7
figure_vlm_grounding_status,figure_label_space_only,6
figure_vlm_grounding_status,source_label_space,2
figure_vlm_reconciliation_status,cv_vlm_disagreement,5
figure_vlm_reconciliation_status,unreadable,2
figure_vlm_reconciliation_status,vlm_only,8
verification_route:figure,figure_digitization_failed,2
verification_route:figure,insufficient_evidence,17
verification_route:figure,missing_area,11
verification_route:figure,missing_endpoint,2
verification_route:figure,not_target_api,5
verification_route:figure,not_target_api_concentration,2
verification_route:figure,not_target_device,2
verification_route:figure,not_target_study_type,6
verification_route:figure,percent_only,6
verification_route:figure,unit_normalization_failed,1
verification_route:mixed,insufficient_evidence,12
verification_route:mixed,missing_area,1
verification_route:mixed,missing_endpoint,1
verification_route:mixed,not_target_api,4
verification_route:mixed,not_target_api_concentration,2
verification_route:table,insufficient_evidence,19
verification_route:table,missing_area,2
verification_route:table,not_target_api,5
verification_route:table,not_target_api_concentration,5
verification_route:table,not_target_study_type,1
verification_route:table,percent_only,1
verification_route:text,insufficient_evidence,6
verification_route:text,missing_endpoint,1
verification_route:text,missing_endpoint_time,1
verification_route:text,not_target_device,1
