stage,bucket,count
llm_adjudication_candidate_reason,recoverable_unresolved:missing_area,6
llm_adjudication_candidate_reason,recoverable_unresolved:missing_endpoint,3
llm_adjudication_priority_bucket,high,5
llm_adjudication_priority_bucket,medium,4
llm_adjudication_review_focus,diffusion_area,6
llm_adjudication_review_focus,endpoint_value,3
llm_adjudication_recommended_status,rejected,2
llm_adjudication_recommended_status,unresolved,7
llm_adjudication_should_keep,no,9
llm_adjudication_disagreement,scope_bucket_disagreement,2
llm_adjudication_disagreement,status_disagreement,2
llm_adjudication_transition,unresolved->rejected,2
llm_adjudication_transition,unresolved->unresolved,7
