route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,19,,,,,,
mixed,6,,,,,,
table,23,,,,,,
text,12,,,,,,
unresolved,492,,,,,,
,4,figure,,,,,
,70,table,,,,,
,11,text,,,,,
,23,,rejected,,,,
,37,,unresolved,,,,
,14,,verified,,,,
,14,,,out_of_scope,,,
,37,,,recoverable_unresolved,,,
,14,,,strict_in_scope,,,
,9,,,useful_but_out_of_scope,,,
,14,,,,non_target_api,,
,6,,,,recoverable_area,,
,3,,,,recoverable_endpoint,,
,2,,,,recoverable_figure_digitization,,
,1,,,,recoverable_other,,
,33,,,,recoverable_support_gap,,
,37,,,,recoverable_unresolved,,
,9,,,,useful_but_out_of_scope,,
,3,,,,useful_device_out_of_scope,,
,6,,,,useful_study_type_out_of_scope,,
,2,,,,,figure_digitization_failed,
,54,,,,,insufficient_evidence,
,14,,,,,missing_area,
,4,,,,,missing_endpoint,
,1,,,,,missing_endpoint_time,
,14,,,,,not_target_api,
,9,,,,,not_target_api_concentration,
,3,,,,,not_target_device,
,7,,,,,not_target_study_type,
,7,,,,,percent_only,
,1,,,,,unit_normalization_failed,
,10,,,,,,patch_area
,20,,,,,,patch_endpoint_time
,24,,,,,,patch_endpoint_value
