single_pass_record_id,doi,paper_title,paper_status,source_kind,formulation_label,formulation_name,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,excipient_composition,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,device,study_type,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,source_evidence,confidence,notes,label_norm,time_h
10.1007/s11095-008-9785-y::sp0001,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,pdf_text,Ibuprofen 30min immediate stripping,Saturated ibuprofen solution in 75:25 propylene glycol/water,Ibuprofen,9.6,mg/ml,Saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene glycol', 'concentration_value': None, 'concentration_unit': 'v/v', 'basis': '75:25 in water', 'raw': 'Saturated solution in 75:25 propylene glycol/water'}]",cumulative amount,13.6,µg/cm2,0.0,h,Tape stripping,In vivo DPK,Stratum corneum,Human,,Water,infinite,500 µl,3.9,Table II,1.0,,ibuprofen30minimmediatestripping,0.0
10.1007/s11095-008-9785-y::sp0002,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,pdf_text,Ibuprofen 30min occluded 0.5h delay,Saturated ibuprofen solution in 75:25 propylene glycol/water,Ibuprofen,9.6,mg/ml,Saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene glycol', 'concentration_value': None, 'concentration_unit': 'v/v', 'basis': '75:25 in water', 'raw': 'Saturated solution in 75:25 propylene glycol/water'}]",cumulative amount,7.3,µg/cm2,0.5,h,Tape stripping,In vivo DPK,Stratum corneum,Human,,Water,infinite,500 µl,3.9,Table II,1.0,Occluded during delay,ibuprofen30minoccluded05hdelay,0.5
10.1007/s11095-008-9785-y::sp0003,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,pdf_text,Ibuprofen 4h delay,Saturated ibuprofen solution in 75:25 propylene glycol/water,Ibuprofen,9.6,mg/ml,Saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene glycol', 'concentration_value': None, 'concentration_unit': 'v/v', 'basis': '75:25 in water', 'raw': 'Saturated solution in 75:25 propylene glycol/water'}]",cumulative amount,9.7,µg/cm2,4.0,h,Tape stripping,In vivo DPK,Stratum corneum,Human,,Water,infinite,500 µl,3.9,Table II,1.0,,ibuprofen4hdelay,4.0
10.1007/s11095-008-9785-y::sp0004,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,pdf_text,Ibuprofen 3h delay,Saturated ibuprofen solution in 75:25 propylene glycol/water,Ibuprofen,9.6,mg/ml,Saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene glycol', 'concentration_value': None, 'concentration_unit': 'v/v', 'basis': '75:25 in water', 'raw': 'Saturated solution in 75:25 propylene glycol/water'}]",cumulative amount,10.5,µg/cm2,3.0,h,Tape stripping,In vivo DPK,Stratum corneum,Human,,Water,infinite,500 µl,3.9,Table II,1.0,,ibuprofen3hdelay,3.0
10.1007/s11095-008-9785-y::sp0005,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,pdf_text,Ibuprofen 2h delay,Saturated ibuprofen solution in 75:25 propylene glycol/water,Ibuprofen,9.6,mg/ml,Saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene glycol', 'concentration_value': None, 'concentration_unit': 'v/v', 'basis': '75:25 in water', 'raw': 'Saturated solution in 75:25 propylene glycol/water'}]",cumulative amount,9.3,µg/cm2,2.0,h,Tape stripping,In vivo DPK,Stratum corneum,Human,,Water,infinite,500 µl,3.9,Table II,1.0,,ibuprofen2hdelay,2.0
10.1007/s11095-008-9785-y::sp0006,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,pdf_text,Ibuprofen 1h delay,Saturated ibuprofen solution in 75:25 propylene glycol/water,Ibuprofen,9.6,mg/ml,Saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene glycol', 'concentration_value': None, 'concentration_unit': 'v/v', 'basis': '75:25 in water', 'raw': 'Saturated solution in 75:25 propylene glycol/water'}]",cumulative amount,10.2,µg/cm2,1.0,h,Tape stripping,In vivo DPK,Stratum corneum,Human,,Water,infinite,500 µl,3.9,Table II,1.0,,ibuprofen1hdelay,1.0
10.1007/s11095-020-02887-9::sp0001,10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,ok,pdf_text,Dissolving MN (DMN) Arrays,DMN,Cabotegravir Sodium (CAB Na),60.0,% w/w,CAB base,60% w/w CAB Na,"[{'name': 'PVP', 'concentration_value': 20.0, 'concentration_unit': '% w/w', 'basis': 'w/w', 'raw': '20% (w/w) PVP'}, {'name': 'PVA 50 K', 'concentration_value': 20.0, 'concentration_unit': '% w/w', 'basis': 'w/w', 'raw': '20% (w/w) PVA 50 K'}]",Drug amount deposited,624.5,µg/0.5 cm²,24.0,h,Parafilm M®,In vitro,Porcine skin,Neonatal full-thickness porcine skin,350.0,PBS (pH 7.4),Finite,100 mg,0.5,Figure 7,1.0,,dissolvingmndmnarrays,24.0
10.1007/s11095-020-02887-9::sp0002,10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,ok,pdf_text,Hydrogel-Forming MN (HFMN) Arrays,HFMN,Ibuprofen Sodium (IBU Na),40.0,% w/w,Lyophilised reservoir,40% w/w IBU Na,"[{'name': 'Gelatine', 'concentration_value': 10.0, 'concentration_unit': '% w/w', 'basis': 'w/w', 'raw': '10% (w/w) Gelatine'}, {'name': 'Mannitol', 'concentration_value': 3.0, 'concentration_unit': '% w/w', 'basis': 'w/w', 'raw': '3% (w/w) Mannitol'}]",Cumulative amount permeated,32.0,%,24.0,h,Modified Franz diffusion cells,In vitro,Dermatomed porcine skin,Neonatal full-thickness porcine skin,350.0,PBS (pH 7.4),Finite,100 mg,0.5,Figure 9,1.0,,hydrogelformingmnhfmnarrays,24.0
10.1007/s13346-022-01182-x::sp0001,10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,ok,pdf_text,Soluplus® Micelles with Ibuprofen SNM-IBU1,Soluplus®-IBU1,Ibuprofen,0.5,w/v,w/v,0.5% (w/v),"[{'name': 'Soluplus®', 'concentration_value': 1.5, 'concentration_unit': 'mM', 'basis': 'mM', 'raw': '1.5 mM'}]",cumulative amount,74.0,%,24.0,hours,Dialysis Bag,In Vitro Release,Dialysis membrane,Spectra/Por®,,Water-Ethanol 70:30 v/v,finite,1 mL,,Fig. 8,1.0,,soluplusmicelleswithibuprofensnmibu1,24.0
10.1007/s13346-022-01182-x::sp0002,10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,ok,pdf_text,Soluplus® Micelles with Idebenone SNM-IDE1,Soluplus®-IDE1,Idebenone,0.1,w/v,w/v,0.1% (w/v),"[{'name': 'Soluplus®', 'concentration_value': 1.5, 'concentration_unit': 'mM', 'basis': 'mM', 'raw': '1.5 mM'}]",cumulative amount,13.0,%,24.0,hours,Dialysis Bag,In Vitro Release,Dialysis membrane,Spectra/Por®,,Water-Ethanol 70:30 v/v,finite,1 mL,,Fig. 7,1.0,,soluplusmicelleswithidebenonesnmide1,24.0
10.1007/s13346-022-01182-x::sp0003,10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,ok,pdf_text,Soluplus® Micelles with Miconazole SNM-MIC1,Soluplus®-MIC1,Miconazole,0.5,w/v,w/v,0.5% (w/v),"[{'name': 'Soluplus®', 'concentration_value': 1.5, 'concentration_unit': 'mM', 'basis': 'mM', 'raw': '1.5 mM'}]",cumulative amount,10.0,%,24.0,hours,Dialysis Bag,In Vitro Release,Dialysis membrane,Spectra/Por®,,Water-Methanol 70:30 v/v,finite,1 mL,,Fig. 9,1.0,,soluplusmicelleswithmiconazolesnmmic1,24.0
10.1007/s13346-022-01182-x::sp0004,10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,ok,pdf_text,Soluplus® Micelles with Ibuprofen SNM-IBU2,Soluplus®-IBU2,Ibuprofen,0.5,w/v,w/v,0.5% (w/v),"[{'name': 'Soluplus®', 'concentration_value': 1.5, 'concentration_unit': 'mM', 'basis': 'mM', 'raw': '1.5 mM'}]",cumulative amount,74.0,%,24.0,hours,Dialysis Bag,In Vitro Release,Dialysis membrane,Spectra/Por®,,Water-Ethanol 70:30 v/v,finite,1 mL,,Fig. 8,1.0,,soluplusmicelleswithibuprofensnmibu2,24.0
10.1007/s13346-022-01182-x::sp0005,10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,ok,pdf_text,Soluplus® Micelles with Idebenone SNM-IDE2,Soluplus®-IDE2,Idebenone,0.1,w/v,w/v,0.1% (w/v),"[{'name': 'Soluplus®', 'concentration_value': 1.5, 'concentration_unit': 'mM', 'basis': 'mM', 'raw': '1.5 mM'}]",cumulative amount,13.0,%,24.0,hours,Dialysis Bag,In Vitro Release,Dialysis membrane,Spectra/Por®,,Water-Ethanol 70:30 v/v,finite,1 mL,,Fig. 7,1.0,,soluplusmicelleswithidebenonesnmide2,24.0
10.1016/j.ejpb.2020.05.013::sp0001,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,ok,pdf_text,Ibuprofen Gel 5% w/w,Ibuprofen Gel,Ibuprofen,5.0,% w/w,w/w,5% w/w,[],Cumulative Amount,0.0,µg/mL,0.0,min,3D Printed Diffusion Cell (similar to Franz Cell),In Vitro Permeation Test,Silicone,"Atos Medical, Sweden",130.0,Phosphate Buffer pH 7.2,Finite,1 mL,3.14,Figure 11 - Average IBU amount in µg/mL permeated vs time. Data collected at 30s intervals during the 12h experiment.,1.0,,ibuprofengel5ww,0.0
10.1016/j.ejpb.2020.05.013::sp0002,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,ok,pdf_text,Ibuprofen Gel 5% w/w,Ibuprofen Gel,Ibuprofen,5.0,% w/w,w/w,5% w/w,[],Cumulative Amount,17.69,µg/mL,25.0,min,3D Printed Diffusion Cell (similar to Franz Cell),In Vitro Permeation Test,Silicone,"Atos Medical, Sweden",130.0,Phosphate Buffer pH 7.2,Finite,1 mL,3.14,Figure 11 - Average IBU amount in µg/mL permeated vs time. Data collected at 30s intervals during the 12h experiment.,1.0,,ibuprofengel5ww,0.4166666666666667
