single_pass_record_id,doi,paper_title,paper_status,source_kind,formulation_label,formulation_name,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,excipient_composition,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,device,study_type,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,source_evidence,confidence,notes,label_norm,time_h
10.1007/s11095-008-9785-y::sp0001,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,,Ibuprofen in 75:25 propylene glycol/water,Ibuprofen,10.0,mg/ml,saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene Glycol', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with water'}, {'name': 'Water', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with propylene glycol'}]",cumulative amount,13.6,µg/cm²,0.0,h,Franz cell,in vivo DPK,stratum corneum,human skin,,,finite,500 µl,5.07,Table II,1.0,,ibuprofenin7525propyleneglycolwater,0.0
10.1007/s11095-008-9785-y::sp0002,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,,Ibuprofen in 75:25 propylene glycol/water,Ibuprofen,10.0,mg/ml,saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene Glycol', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with water'}, {'name': 'Water', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with propylene glycol'}]",cumulative amount,17.4,µg/cm²,0.5,h,Franz cell,in vivo DPK,stratum corneum,human skin,,,finite,500 µl,5.07,Table II,1.0,,ibuprofenin7525propyleneglycolwater,0.5
10.1007/s11095-008-9785-y::sp0003,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,,Ibuprofen in 75:25 propylene glycol/water,Ibuprofen,10.0,mg/ml,saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene Glycol', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with water'}, {'name': 'Water', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with propylene glycol'}]",cumulative amount,10.2,µg/cm²,1.0,h,Franz cell,in vivo DPK,stratum corneum,human skin,,,finite,500 µl,5.07,Table II,1.0,,ibuprofenin7525propyleneglycolwater,1.0
10.1007/s11095-008-9785-y::sp0004,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,,Ibuprofen in 75:25 propylene glycol/water,Ibuprofen,10.0,mg/ml,saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene Glycol', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with water'}, {'name': 'Water', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with propylene glycol'}]",cumulative amount,9.3,µg/cm²,2.0,h,Franz cell,in vivo DPK,stratum corneum,human skin,,,finite,500 µl,5.07,Table II,1.0,,ibuprofenin7525propyleneglycolwater,2.0
10.1007/s11095-008-9785-y::sp0005,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,,Ibuprofen in 75:25 propylene glycol/water,Ibuprofen,10.0,mg/ml,saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene Glycol', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with water'}, {'name': 'Water', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with propylene glycol'}]",cumulative amount,10.5,µg/cm²,3.0,h,Franz cell,in vivo DPK,stratum corneum,human skin,,,finite,500 µl,5.07,Table II,1.0,,ibuprofenin7525propyleneglycolwater,3.0
10.1007/s11095-008-9785-y::sp0006,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,,Ibuprofen in 75:25 propylene glycol/water,Ibuprofen,10.0,mg/ml,saturated solution,9.6 ± 0.7 mg/ml,"[{'name': 'Propylene Glycol', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with water'}, {'name': 'Water', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '75:25 mixture with propylene glycol'}]",cumulative amount,9.7,µg/cm²,4.0,h,Franz cell,in vivo DPK,stratum corneum,human skin,,,finite,500 µl,5.07,Table II,1.0,,ibuprofenin7525propyleneglycolwater,4.0
10.1007/s11095-020-02887-9::sp0001,10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,ok,,DMN with CAB Na,Dissolving microneedles (DMN),Cabotegravir sodium,60.0,w/w,base,60% calculated as CAB base,"[{'name': 'PVP', 'concentration_value': 20.0, 'concentration_unit': 'w/w', 'basis': 'w/w', 'raw': '20% (w/w) PVP mixed'}, {'name': 'PVA 10 K', 'concentration_value': 20.0, 'concentration_unit': 'w/w', 'basis': 'w/w', 'raw': '20% (w/w) PVA 10 K'}]",drug deposition,624.5,μg/0.5 cm²,,,Manual insertion,Ex vivo,Neonatal porcine skin,Stillborn piglets,,PBS (pH 7.4),finite,200 mg,0.5,Figure 7,1.0,DMN arrays showed varying drug deposition.,dmnwithcabna,
10.1007/s11095-020-02887-9::sp0002,10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,ok,,HFMN with IBU Na,Hydrogel-forming microneedles (HFMN),Ibuprofen sodium,40.0,w/w,base,40% w/w,"[{'name': 'Gelatine', 'concentration_value': 10.0, 'concentration_unit': 'w/w', 'basis': 'w/w', 'raw': '10% w/w'}, {'name': 'Mannitol', 'concentration_value': 3.0, 'concentration_unit': 'w/w', 'basis': 'w/w', 'raw': '3% w/w'}]",cumulative amount,32.0,%,24.0,h,Franz cell,In vitro,Dermatomed porcine skin,Stillborn piglets,350.0,PBS (pH 7.4),finite,100 mg,0.5,Figure 9,1.0,Controlled permeation of IBU Na across skin.,hfmnwithibuna,24.0
10.1007/s13346-022-01182-x::sp0001,10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,ok,,SNM-IDE1,Soluplus® Nanomicelles with Idebenone,Idebenone,1.0,w/v,concentration,0.1%,"[{'name': 'Soluplus®', 'concentration_value': 1.5, 'concentration_unit': 'mM', 'basis': '', 'raw': ''}]",percent released,13.0,%,24.0,h,dialysis bag method,in vitro release,dialysis membrane,,,water-ethanol (70:30 v/v),finite,1 mL,,Figure 7,1.0,,snmide1,24.0
10.1007/s13346-022-01182-x::sp0002,10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,ok,,SNM-IBU1,Soluplus® Nanomicelles with Ibuprofen,Ibuprofen,0.5,w/v,concentration,0.5%,"[{'name': 'Soluplus®', 'concentration_value': 1.5, 'concentration_unit': 'mM', 'basis': '', 'raw': ''}]",percent released,74.0,%,24.0,h,dialysis bag method,in vitro release,dialysis membrane,,,water-methanol (70:30 v/v),finite,1 mL,,Figure 8,1.0,,snmibu1,24.0
