doi,title,pdf_path,pdf_status,paper_status,file_size_bytes,page_count,text_chars,notes
10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,ok,ok,613289,53,154375,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf:ok']
10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,ok,ok,229371,29,37057,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf:ok']
10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1007_s11095-020-02887-9__fab416e26a.pdf,ok,ok,4044901,15,66240,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1007_s11095-020-02887-9__fab416e26a.pdf:ok']
10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1007_s11095-024-03747-6_manual.pdf,ok,ok,2027478,12,50893,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1007_s11095-024-03747-6_manual.pdf:ok']
10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1007_s13346-022-01182-x__31f896767a.pdf,ok,ok,1640055,16,56060,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1007_s13346-022-01182-x__31f896767a.pdf:ok']
10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf,ok,ok,1187723,22,42673,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf:ok']
10.1016/j.ijpharm.2016.03.043,"A comparative study of the in vitro permeation of ibuprofen in mammalian skin, the PAMPA model and silicone membrane.",C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,ok,ok,557218,16,28757,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf:ok']
10.1016/j.ijpharm.2019.118975,SEBS block copolymers as novel materials to design transdermal patches.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1016_j.ijpharm.2019.118975_manual.pdf,ok,ok,1542737,9,53239,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1016_j.ijpharm.2019.118975_manual.pdf:ok']
10.1016/j.jpba.2019.04.040,Selective modification of skin barrier lipids.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1016_j.jpba.2019.04.040_manual.pdf,ok,ok,1012084,15,53694,[]
10.1021/acs.molpharmaceut.0c00720,Controlling Supramolecular Structures of Drugs by Light.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,ok,ok,2529059,8,31713,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf:ok']
