single_pass_record_id,doi,paper_title,paper_status,source_kind,formulation_label,formulation_name,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,excipient_composition,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,device,study_type,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,source_evidence,confidence,notes,label_norm,time_h
10.1038/s41598-020-74885-1::sp0001,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,12% PCL-IBU,12% PCL-IBU single layer electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution,4 mg/ml in 12% (w/v) PCL solution,"[{'name': 'Polycaprolactone (PCL)', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% (w/v) PCL in 1:1 DCM:DMF'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,66.43,%,1.0,day,tube/vial suspension,in vitro release,"electrospun PCL fibrous mat (single layer, no flanking layers)",fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'initial burst release was 66.43%...for 12% PCL-IBU'; Figure 7",0.95,Initial burst release (day 1). Single layer mat without flanking layers. Release measured by UV at 222 nm with 1 ml sample withdrawn and replaced with fresh DPBS.,12pclibu,24.0
10.1038/s41598-020-74885-1::sp0003,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,10% PCLSW-1,10% PCLSW-1 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 1 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 1 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,57.87,%,1.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'initial burst release was...57.87%...for 10% PCLSW-1'; Figure 7",0.95,Initial burst release (day 1). Sandwich: bottom 10% PCL 1ml / middle 12% PCL-IBU 2ml / top 10% PCL 1ml.,10pclsw1,24.0
10.1038/s41598-020-74885-1::sp0004,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,10% PCLSW-1,10% PCLSW-1 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 1 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 1 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,69.45,%,62.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'cumulative % of IBU released were...69.45%...for 10% PCLSW-1'; Figure 7",0.95,Cumulative release at end of 62-day study. Sandwich: bottom 10% PCL 1ml / middle 12% PCL-IBU 2ml / top 10% PCL 1ml.,10pclsw1,1488.0
10.1038/s41598-020-74885-1::sp0005,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,10% PCLSW-2,10% PCLSW-2 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 2 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 2 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,53.61,%,1.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'initial burst release was...53.61%...for 10% PCLSW-2'; Figure 7",0.95,Initial burst release (day 1). Sandwich: bottom 10% PCL 2ml / middle 12% PCL-IBU 2ml / top 10% PCL 2ml.,10pclsw2,24.0
10.1038/s41598-020-74885-1::sp0006,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,10% PCLSW-2,10% PCLSW-2 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 2 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 10.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '10% PCL, 2 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,66.18,%,62.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'cumulative % of IBU released were...66.18%...for 10% PCLSW-2'; Figure 7",0.95,Cumulative release at end of 62-day study. Sandwich: bottom 10% PCL 2ml / middle 12% PCL-IBU 2ml / top 10% PCL 2ml.,10pclsw2,1488.0
10.1038/s41598-020-74885-1::sp0007,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,12% PCLSW-1,12% PCLSW-1 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 1 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 1 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,27.48,%,1.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'initial burst release was...27.48%...for 12% PCLSW-1'; Figure 7",0.95,Initial burst release (day 1). Sandwich: bottom 12% PCL 1ml / middle 12% PCL-IBU 2ml / top 12% PCL 1ml.,12pclsw1,24.0
10.1038/s41598-020-74885-1::sp0008,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,12% PCLSW-1,12% PCLSW-1 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 1 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 1 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,37.83,%,62.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'cumulative % of IBU released were...37.83%...for 12% PCLSW-1'; Figure 7",0.95,Cumulative release at end of 62-day study. Sandwich: bottom 12% PCL 1ml / middle 12% PCL-IBU 2ml / top 12% PCL 1ml.,12pclsw1,1488.0
10.1038/s41598-020-74885-1::sp0009,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,12% PCLSW-2,12% PCLSW-2 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 2 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 2 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,15.7,%,1.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'initial burst release was...15.70%...for 12% PCLSW-2'; Figure 7",0.95,Initial burst release (day 1). Sandwich: bottom 12% PCL 2ml / middle 12% PCL-IBU 2ml / top 12% PCL 2ml. Lowest initial burst among all groups.,12pclsw2,24.0
10.1038/s41598-020-74885-1::sp0010,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,ok,,12% PCLSW-2,12% PCLSW-2 sandwich electrospun mat,Ibuprofen,4.0,mg/ml,w/v in spinning solution (middle layer),4 mg/ml IBU in 12% PCL middle layer,"[{'name': 'Polycaprolactone (PCL) - bottom layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 2 ml coat (bottom)'}, {'name': 'Polycaprolactone (PCL) - middle layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL-IBU Loaded, 2 ml coat (middle)'}, {'name': 'Polycaprolactone (PCL) - top layer', 'concentration_value': 12.0, 'concentration_unit': '% w/v', 'basis': 'w/v', 'raw': '12% PCL, 2 ml coat (top)'}, {'name': 'Dichloromethane (DCM)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}, {'name': 'Dimethylformamide (DMF)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': '1:1 ratio DCM:DMF solvent'}]",percent released,40.93,%,62.0,day,tube/vial suspension,in vitro release,tri-layered electrospun PCL fibrous sandwich mat,fabricated in-house,,"Dulbecco's phosphate buffered saline (DPBS, pH 7.4)",finite,1 cm x 1 cm mat in 2 ml DPBS,1.0,"Text: 'Cumulative drug release analysis' section, page 7: 'cumulative % of IBU released were...40.93% for 12% PCLSW-2'; Figure 7",0.95,Cumulative release at end of 62-day study. Sandwich: bottom 12% PCL 2ml / middle 12% PCL-IBU 2ml / top 12% PCL 2ml.,12pclsw2,1488.0
10.1038/s41598-024-57883-5::sp0001,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,ok,,Sample C,Cotton fabric with PLA-PEG cover layer loaded with ibuprofen,ibuprofen,1.0,mg/cm2,theoretical maximum loading,1 mg/cm2 theoretical,"[{'name': 'PLA-PEG copolymer', 'concentration_value': None, 'concentration_unit': '', 'basis': 'polymer:IBU ratio 2:1', 'raw': '0.2 g PLA-PEG per 0.2 g IBU in 150 mL DCM'}, {'name': 'cotton fabric (mercerized without tension 3 min, bulk polymerized no vacuum)', 'concentration_value': None, 'concentration_unit': '', 'basis': '', 'raw': 'washing, mercerization (no tension, 3 min), bulk polymerization (no vacuum)'}]",cumulative amount released,63.0,μg,2.0,min,vial immersion (not Franz cell),in vitro release,none (fabric itself is the drug-containing matrix),,,"PBS 0.1 M, pH 7.4",finite,1×1 cm sample in 20 mL PBS,1.0,"Table 4, page 8: 'Average drug release for sample C and SD (μg)' at 2 min = 63 (±5.97); Methods section 'Characterization of the modified cotton'",0.95,Release measured by UV-VIS at 220 nm. Sample area 1 cm2 immersed in 20 mL PBS at room temperature. Percentage release: 6 (±0.98)%.,samplec,0.03333333333333333
