sample_id,doi,formulation_label,endpoint_time,gold_endpoint_value,gold_endpoint_unit,gold_value_anchor,single_pass_matched,single_pass_record_id,single_pass_endpoint_value,single_pass_endpoint_unit,single_pass_source_evidence,single_pass_value_correct
R2-007,10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,720.0,250.0,ug/mL,False,False,,,,,False
R2-013,10.1208/s12249-013-9995-4,F1,72.0,1142.4,ug,True,False,,,,,False
R2-014,10.1208/s12249-013-9995-4,F1,48.0,536.5,ug,True,False,,,,,False
R2-015,10.1208/s12249-013-9995-4,F1,24.0,298.0,ug,True,False,,,,,False
R2-016,10.1208/s12249-013-9995-4,F2,48.0,580.2,ug,True,False,,,,,False
R2-017,10.1208/s12249-013-9995-4,F2,24.0,155.9,ug,True,False,,,,,False
R2-018,10.1208/s12249-013-9995-4,F2,72.0,1178.9,ug,True,False,,,,,False
R2-019,10.1208/s12249-013-9995-4,F3,48.0,543.5,ug,True,False,,,,,False
R2-020,10.1208/s12249-013-9995-4,F3,72.0,759.6,ug,True,False,,,,,False
R2-021,10.1208/s12249-013-9995-4,F3,24.0,140.2,ug,True,False,,,,,False
R2-022,10.1208/s12249-013-9995-4,F4,24.0,132.3,ug,True,False,,,,,False
R2-023,10.1208/s12249-013-9995-4,F4,72.0,734.4,ug,True,False,,,,,False
R2-024,10.1208/s12249-013-9995-4,F4,48.0,464.8,ug,True,False,,,,,False
R2-025,10.1208/s12249-013-9995-4,F5,24.0,312.3,ug,True,False,,,,,False
R2-026,10.1208/s12249-013-9995-4,F5,72.0,799.5,ug,True,False,,,,,False
R2-027,10.1208/s12249-013-9995-4,F5,48.0,542.5,ug,True,False,,,,,False
R2-028,10.1208/s12249-013-9995-4,F6,24.0,148.8,ug,True,False,,,,,False
R2-029,10.1208/s12249-013-9995-4,F6,48.0,551.2,ug,True,False,,,,,False
R2-030,10.1208/s12249-013-9995-4,F6,72.0,808.0,ug,True,False,,,,,False
R2-031,10.1208/s12249-013-9995-4,F7,72.0,387.9,ug,True,False,,,,,False
R2-032,10.1208/s12249-013-9995-4,F7,48.0,260.1,ug,True,False,,,,,False
R2-033,10.1208/s12249-013-9995-4,F7,24.0,123.9,ug,True,False,,,,,False
R2-034,10.1208/s12249-013-9995-4,F8,72.0,734.4,ug,True,False,,,,,False
R2-035,10.1208/s12249-013-9995-4,F8,48.0,464.8,ug,True,False,,,,,False
R2-036,10.1208/s12249-013-9995-4,F8,24.0,132.3,ug,True,False,,,,,False
