sample_id,doi,formulation_label,endpoint_time,single_pass_record_id,single_pass_endpoint_value,single_pass_endpoint_unit,gold_notes
R2-009,10.1039/d0ra00100g,rac-IBU,24.0,10.1039/d0ra00100g::sp0001,302.84,mg IBU/cm2,"concentration was not extracted, it states 0.01 g/L; dose type is infinite dose."
R2-054,10.1038/s41598-024-57883-5,C,14.0,10.1038/s41598-024-57883-5::sp0019,21.0,%,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-056,10.1038/s41598-024-57883-5,E,14.0,10.1038/s41598-024-57883-5::sp0020,24.0,%,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-074,10.1007/s13346-022-01182-x,SNM-IBU1,4.0,10.1007/s13346-022-01182-x::sp0004,53.0,%,"In this article, the focus is not on the transdermal absorption of ibuprofen (IBU)."
R2-075,10.1007/s13346-022-01182-x,SNM-IBU1,24.0,10.1007/s13346-022-01182-x::sp0003,74.0,%,"In this article, the focus is not on the transdermal absorption of ibuprofen (IBU)."
R2-077,10.1038/s41598-020-74885-1,12% PCL-IBU,62.0,10.1038/s41598-020-74885-1::sp0002,86.08,%,This study focuses on using ibuprofen as a model drug to develop a novel wound dressing or tissue engineering scaffold capable of **prolonged sustained drug release without dangerous “sudden release”**. This is outside the scope of our study.
R2-091,10.1016/j.ijpharm.2016.03.043,IBULEVE Speed Relief 5% Spray,6.0,10.1016/j.ijpharm.2016.03.043::sp0038,90.0,µg/cm2,"This paper uses Ibuprofen as a model drug to explore a critical issue in the pharmaceutical industry: In vitro experiments, which type of “artificial skin” most accurately mimics real human skin? The endpoints are recorded in Figure 1, but the positioning is not accurate and the data has not been captured correctly."
R2-096,10.1039/d0ra00100g,[ValOAm][IBU],24.0,10.1039/d0ra00100g::sp0006,308.96,mg IBU/cm2,"Unlike strategies involving physical blending of excipients, this study completely transformed the physicochemical properties of ibuprofen through chemical salt formation."
R2-097,10.1039/d0ra00100g,[ValOBu][IBU],24.0,10.1039/d0ra00100g::sp0005,289.74,mg IBU/cm2,"Unlike strategies involving physical blending of excipients, this study completely transformed the physicochemical properties of ibuprofen through chemical salt formation."
R2-118,10.1248/cpb.c21-00033,#1,8.0,10.1248/cpb.c21-00033::sp0001,,µmol/cm2,"In this study, ibuprofen, acting as an anion, was mixed with lidocaine (a cation) to form an ionic liquid (IL). Instead of using animal skin, the study employed a silicone membrane as a model, with the sole purpose of analyzing the diffusion behavior of the ionic liquid during transmembrane transport from the perspectives of mathematical equations and thermodynamic activity. The experiments tested mixtures with different molar ratios. The molar fraction of ibuprofen (X_{Ibu}) was set to multiple values ranging from 0 to 1.0 (e.g., 0.1, 0.3, 0.5, 0.7, 0.9, etc.)."
R2-120,10.1248/cpb.c21-00033,#2,8.0,10.1248/cpb.c21-00033::sp0002,,µmol/cm2,"In this study, ibuprofen, acting as an anion, was mixed with lidocaine (a cation) to form an ionic liquid (IL). Instead of using animal skin, the study employed a silicone membrane as a model, with the sole purpose of analyzing the diffusion behavior of the ionic liquid during transmembrane transport from the perspectives of mathematical equations and thermodynamic activity. The experiments tested mixtures with different molar ratios. The molar fraction of ibuprofen (X_{Ibu}) was set to multiple values ranging from 0 to 1.0 (e.g., 0.1, 0.3, 0.5, 0.7, 0.9, etc.)."
R2-121,10.1248/cpb.c21-00033,#3,8.0,10.1248/cpb.c21-00033::sp0003,,µmol/cm2,"In this study, ibuprofen, acting as an anion, was mixed with lidocaine (a cation) to form an ionic liquid (IL). Instead of using animal skin, the study employed a silicone membrane as a model, with the sole purpose of analyzing the diffusion behavior of the ionic liquid during transmembrane transport from the perspectives of mathematical equations and thermodynamic activity. The experiments tested mixtures with different molar ratios. The molar fraction of ibuprofen (X_{Ibu}) was set to multiple values ranging from 0 to 1.0 (e.g., 0.1, 0.3, 0.5, 0.7, 0.9, etc.)."
R2-122,10.1248/cpb.c21-00033,#4,8.0,10.1248/cpb.c21-00033::sp0004,,µmol/cm2,"In this study, ibuprofen, acting as an anion, was mixed with lidocaine (a cation) to form an ionic liquid (IL). Instead of using animal skin, the study employed a silicone membrane as a model, with the sole purpose of analyzing the diffusion behavior of the ionic liquid during transmembrane transport from the perspectives of mathematical equations and thermodynamic activity. The experiments tested mixtures with different molar ratios. The molar fraction of ibuprofen (X_{Ibu}) was set to multiple values ranging from 0 to 1.0 (e.g., 0.1, 0.3, 0.5, 0.7, 0.9, etc.)."
