sample_id,doi,formulation_label,endpoint_time,gold_endpoint_value,gold_endpoint_unit,gold_value_anchor,single_pass_matched,single_pass_record_id,single_pass_endpoint_value,single_pass_endpoint_unit,single_pass_source_evidence,single_pass_value_correct
R2-007,10.1016/j.ejpb.2020.05.013,5% w/w Ibuprofen gel,720.0,250.0,ug/mL,False,False,,,,,False
R2-013,10.1208/s12249-013-9995-4,F1,72.0,1142.4,ug,True,True,10.1208/s12249-013-9995-4::sp0004,1142.4,μg,"Table II; Materials and Methods, Permeation Study; Table II column 'Cum. amount of drug permeated (μg) 72 h' for F1.",True
R2-014,10.1208/s12249-013-9995-4,F1,48.0,536.5,ug,True,True,10.1208/s12249-013-9995-4::sp0003,536.5,μg,"Table II; Materials and Methods, Permeation Study; Table II column 'Cum. amount of drug permeated (μg) 48 h' for F1.",True
R2-015,10.1208/s12249-013-9995-4,F1,24.0,298.0,ug,True,True,10.1208/s12249-013-9995-4::sp0002,298.0,μg,"Table II; Materials and Methods, Permeation Study; Table II column 'Cum. amount of drug permeated (μg) 24 h' for F1.",True
R2-016,10.1208/s12249-013-9995-4,F2,48.0,580.2,ug,True,True,10.1208/s12249-013-9995-4::sp0007,580.2,μg,Table II; Table II column 48 h for F2.,True
R2-017,10.1208/s12249-013-9995-4,F2,24.0,155.9,ug,True,True,10.1208/s12249-013-9995-4::sp0006,155.9,μg,Table II; Table II column 24 h for F2.,True
R2-018,10.1208/s12249-013-9995-4,F2,72.0,1178.9,ug,True,True,10.1208/s12249-013-9995-4::sp0008,1178.9,μg,Table II; Table II column 72 h for F2.,True
R2-019,10.1208/s12249-013-9995-4,F3,48.0,543.5,ug,True,True,10.1208/s12249-013-9995-4::sp0011,543.5,μg,Table II; 48 h column for F3.,True
R2-020,10.1208/s12249-013-9995-4,F3,72.0,759.6,ug,True,True,10.1208/s12249-013-9995-4::sp0012,759.6,μg,Table II; 72 h column for F3.,True
R2-021,10.1208/s12249-013-9995-4,F3,24.0,140.2,ug,True,True,10.1208/s12249-013-9995-4::sp0010,140.2,μg,Table II; 24 h column for F3.,True
R2-022,10.1208/s12249-013-9995-4,F4,24.0,132.3,ug,True,True,10.1208/s12249-013-9995-4::sp0014,132.3,μg,Table II; 24 h column for F4.,True
R2-023,10.1208/s12249-013-9995-4,F4,72.0,734.4,ug,True,True,10.1208/s12249-013-9995-4::sp0016,734.4,μg,Table II; 72 h column for F4.,True
R2-024,10.1208/s12249-013-9995-4,F4,48.0,464.8,ug,True,True,10.1208/s12249-013-9995-4::sp0015,464.8,μg,Table II; 48 h column for F4.,True
R2-025,10.1208/s12249-013-9995-4,F5,24.0,312.3,ug,True,True,10.1208/s12249-013-9995-4::sp0018,312.3,μg,Table II; 24 h column for F5.,True
R2-026,10.1208/s12249-013-9995-4,F5,72.0,799.5,ug,True,True,10.1208/s12249-013-9995-4::sp0020,799.5,μg,Table II; 72 h column for F5.,True
R2-027,10.1208/s12249-013-9995-4,F5,48.0,542.5,ug,True,True,10.1208/s12249-013-9995-4::sp0019,542.5,μg,Table II; 48 h column for F5.,True
R2-028,10.1208/s12249-013-9995-4,F6,24.0,148.8,ug,True,True,10.1208/s12249-013-9995-4::sp0022,148.8,μg,Table II; 24 h column for F6.,True
R2-029,10.1208/s12249-013-9995-4,F6,48.0,551.2,ug,True,True,10.1208/s12249-013-9995-4::sp0023,551.2,μg,Table II; 48 h column for F6.,True
R2-030,10.1208/s12249-013-9995-4,F6,72.0,808.0,ug,True,True,10.1208/s12249-013-9995-4::sp0024,808.0,μg,Table II; 72 h column for F6.,True
R2-031,10.1208/s12249-013-9995-4,F7,72.0,387.9,ug,True,True,10.1208/s12249-013-9995-4::sp0028,387.9,μg,Table II; 72 h column for F7.,True
R2-032,10.1208/s12249-013-9995-4,F7,48.0,260.1,ug,True,True,10.1208/s12249-013-9995-4::sp0027,260.1,μg,Table II; 48 h column for F7.,True
R2-033,10.1208/s12249-013-9995-4,F7,24.0,123.9,ug,True,True,10.1208/s12249-013-9995-4::sp0026,123.9,μg,Table II; 24 h column for F7.,True
R2-034,10.1208/s12249-013-9995-4,F8,72.0,734.4,ug,True,True,10.1208/s12249-013-9995-4::sp0032,734.4,μg,Table II; 72 h column for F8.,True
R2-035,10.1208/s12249-013-9995-4,F8,48.0,464.8,ug,True,True,10.1208/s12249-013-9995-4::sp0031,464.8,μg,Table II; 48 h column for F8.,True
R2-036,10.1208/s12249-013-9995-4,F8,24.0,132.3,ug,True,True,10.1208/s12249-013-9995-4::sp0030,132.3,μg,Table II; 24 h column for F8.,True
