single_pass_record_id,doi,paper_title,paper_status,source_kind,formulation_label,formulation_name,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,excipient_composition,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,device,study_type,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,source_evidence,confidence,notes,label_norm,time_h
10.1007/s11095-008-9785-y::sp0001,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,12.2,µg/cm2,0.0,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,"Results and Discussion, Figure 3 text: 'The integrated amounts in the SC were derived from the areas under the profiles in Figure 3 and yielded a mean (± SD) value of 12.2 (±3.5) µg/cm2.' Also Materials and Methods, in vivo DPK experiments - Ibuprofen",0.38,"This is an in vivo DPK/tape-stripping dataset, included because no in vitro permeation/release experiments are present in the paper. Endpoint at 0 h corresponds to immediate post-application AUC/amount in SC.",saturatedibuprofensolutionin7525propyleneglycolwater,0.0
10.1007/s11095-008-9785-y::sp0002,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,13.6,µg/cm2,0.0,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,Table II: 'Delay (h) 0  Ibuprofen (µg/cm2) 13.6 ± 4.1',0.6,Immediate post-removal SC amount after 30 min application.,saturatedibuprofensolutionin7525propyleneglycolwater,0.0
10.1007/s11095-008-9785-y::sp0003,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,17.4,µg/cm2,0.5,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,Table II: 'Delay (h) 0.5  Ibuprofen (µg/cm2) 17.4 ± 0.9',0.6,Delay after application/removal; unoccluded during delay.,saturatedibuprofensolutionin7525propyleneglycolwater,0.5
10.1007/s11095-008-9785-y::sp0004,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,10.2,µg/cm2,1.0,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,Table II: 'Delay (h) 1  Ibuprofen (µg/cm2) 10.2 ± 1.8',0.6,Unoccluded during delay.,saturatedibuprofensolutionin7525propyleneglycolwater,1.0
10.1007/s11095-008-9785-y::sp0005,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,9.3,µg/cm2,2.0,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,Table II: 'Delay (h) 2  Ibuprofen (µg/cm2) 9.3 ± 1.4',0.6,Unoccluded during delay.,saturatedibuprofensolutionin7525propyleneglycolwater,2.0
10.1007/s11095-008-9785-y::sp0006,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,10.5,µg/cm2,3.0,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,Table II: 'Delay (h) 3  Ibuprofen (µg/cm2) 10.5 ± 4.6',0.6,Unoccluded during delay.,saturatedibuprofensolutionin7525propyleneglycolwater,3.0
10.1007/s11095-008-9785-y::sp0007,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,9.7,µg/cm2,4.0,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,Table II: 'Delay (h) 4  Ibuprofen (µg/cm2) 9.7 ± 2.9',0.6,Unoccluded during delay.,saturatedibuprofensolutionin7525propyleneglycolwater,4.0
10.1007/s11095-008-9785-y::sp0008,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,Saturated ibuprofen solution in 75:25 propylene glycol/water,Saturated ibuprofen solution in propylene glycol/water,Ibuprofen,9.6,mg/mL,"v/v vehicle, saturated solution at 20°C",saturated solution (~10 mg/ml); solubility found to be 9.6 ± 0.7 mg/ml in 75:25 (v/v) propylene glycol/water,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,7.3,µg/cm2,0.5,h,in vivo tape stripping / dermatopharmacokinetic experiment,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min under occlusive bandage,,Table II: 'Delay (h) 0.5 (occluded)  Ibuprofen (µg/cm2) 7.3 ± 1.0a',0.6,Occluded during 30 min delay.,saturatedibuprofensolutionin7525propyleneglycolwater,0.5
10.1007/s11095-008-9785-y::sp0009,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,75:25 propylene glycol/water,Propylene glycol/water vehicle,Propylene glycol,,,,75:25 (v/v) propylene glycol/water vehicle; quantified in SC by ATR-FTIR,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,150.0,µg/cm2,0.0,h,in vivo tape stripping / ATR-FTIR,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min; surface cleaned; tape-stripped immediately,,Results and Discussion: 'Immediately post-application ... cumulative amount of propylene glycol in the SC at this time: 150 ± 27 µg/cm2' and Figure 7 caption,0.63,"In vivo DPK/tape strip profile, not in vitro.",7525propyleneglycolwater,0.0
10.1007/s11095-008-9785-y::sp0010,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,ok,,75:25 propylene glycol/water,Propylene glycol/water vehicle,Propylene glycol,,,,75:25 (v/v) propylene glycol/water vehicle; quantified in SC by ATR-FTIR,"[{'name': 'propylene glycol', 'concentration_value': 75.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}, {'name': 'water', 'concentration_value': 25.0, 'concentration_unit': '%', 'basis': 'v/v', 'raw': '75:25 (v/v) propylene glycol/water'}]",cumulative amount,59.0,µg/cm2,0.5,h,in vivo tape stripping / ATR-FTIR,in vivo DPK (not in vitro),human stratum corneum,ventral forearm of 5 human volunteers,,null,finite,500 µL applied for 30 min; 30 min delay under occlusion; tape-stripped,,"Results and Discussion: 'When the treated skin was tape-stripped after a 30-minute delay, during which time the treated area was kept under occlusion, the propylene glycol ... amount recovered from the SC fell to 59 (±16) µg/cm2.'",0.63,"In vivo DPK/tape strip profile, not in vitro.",7525propyleneglycolwater,0.5
