paper_id,doi,title,route,route_confidence,endpoint_carrier,formulation_carrier,anchor_evidence,notes,raw_labels
paper_0a6d64ed678d,,Subcellular actions of non-steroidal anti-inflammatory drugs : lysosome and prostaglandin studies,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Subcellular actions of non-steroidal anti-inflammatory drugs : lysosome and prostaglandin studies', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_3978d47b3a2c,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,Topical administration of racemic ibuprofen.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Topical administration of racemic ibuprofen.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,text,0.5700000000000001,narrative,narrative,"[{'field_name': 'formulation', 'modality': 'text', 'locator': 'narrative', 'page': None, 'bbox': None, 'snippet': 'ibuprofen dressings may offer pain relief to people with painful venous leg ulcers', 'source_ref': '10.1002/14651858.cd001177.pub2', 'confidence': 0.7}]","The review includes findings on ibuprofen foam dressing for pain relief in venous leg ulcers, highlighting the need for standardized pain assessment.","{'paper_type': 'review', 'mentions_ibuprofen': 'yes', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'both', 'barrier_category': 'uncertain', 'barrier_name_raw': 'venous leg ulcers', 'endpoint_found': 'yes', 'endpoint_time_found': 'no', 'where_endpoint': '', 'endpoint_carrier': 'narrative', 'endpoint_carrier_snippet': 'the proportion of participants who achieved some pain relieve on the ﬁrst evening of treatment, which was not statistically signiﬁcant', 'formulation_carrier': 'narrative', 'formulation_carrier_snippet': 'ibuprofen dressings may offer pain relief to people with painful venous leg ulcers', 'endpoint_likely_in_supp': 'no', 'formulation_table_missing': 'yes', 'notes': 'The review includes findings on ibuprofen foam dressing for pain relief in venous leg ulcers, highlighting the need for standardized pain assessment.', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf', 'router_source_diagnostics': []}"
paper_92afc39ccd63,10.1002/14651858.cd001177.pub3,Topical agents or dressings for pain in venous leg ulcers.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Topical agents or dressings for pain in venous leg ulcers.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_244198a8d171,10.1002/adhm.201600591,Magnetically Controlled Drug Release System through Magnetomechanical Actuation.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Magnetically Controlled Drug Release System through Magnetomechanical Actuation.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_b0c15dc016b9,10.1002/advs.202510976,Nanogel Integrated Zwitterionic Injectable Hydrogel with Sequential Drug-Releasing Capability for the Programmable Repair of Spinal Cord Injury.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Nanogel Integrated Zwitterionic Injectable Hydrogel with Sequential Drug-Releasing Capability for the Programmable Repair of Spinal Cord Injury.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_e35b9fb3e6b5,10.1002/ams2.457,A rare case of Reye's syndrome induced by influenza A virus with use of ibuprofen in an adult.,unresolved,0.0,unknown,unknown,[],Access to full document is restricted; evidence extraction not possible.,"{'paper_type': 'uncertain', 'mentions_ibuprofen': 'yes', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'uncertain', 'barrier_category': 'uncertain', 'barrier_name_raw': '', 'endpoint_found': 'no', 'endpoint_time_found': 'no', 'where_endpoint': '', 'endpoint_carrier': 'unknown', 'endpoint_carrier_snippet': '', 'formulation_carrier': 'unknown', 'formulation_carrier_snippet': '', 'endpoint_likely_in_supp': 'uncertain', 'formulation_table_missing': 'uncertain', 'notes': 'Access to full document is restricted; evidence extraction not possible.', 'router_source_backend': 'html_remote', 'router_source_ref': 'https://europepmc.org/articles/PMC6971472', 'router_source_diagnostics': []}"
paper_fd72d2eca67a,10.1002/ardp.201300279,Synthesis and evaluation of 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as COX-2 and serotonin reuptake inhibitors.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Synthesis and evaluation of 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as COX-2 and serotonin reuptake inhibitors.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_5bf9e3e37e6c,10.1002/bdd.631,Skin disposition of menthol after its application in the presence of drug substances.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Skin disposition of menthol after its application in the presence of drug substances.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_69ea1a42d71b,10.1002/bmc.1365,Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_58f3f695a704,10.1002/chem.201600105,Supramolecular Gels by Design: Towards the Development of Topical Gels for Self-Delivery Application.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Supramolecular Gels by Design: Towards the Development of Topical Gels for Self-Delivery Application.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
paper_89ec992d2cac,10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,text,0.5700000000000001,narrative,unknown,"[{'field_name': 'endpoint', 'modality': 'text', 'locator': 'section discussing percutaneous absorption', 'page': None, 'bbox': None, 'snippet': 'The study found varying absorption rates based on skin region and lipophilicity.', 'source_ref': '10.1002/etc.4302', 'confidence': 0.8}]",Focus on the absorption rates related to skin structure and formulation impact.,"{'paper_type': 'primary_experiment', 'mentions_ibuprofen': 'no', 'mentions_diffusion_cell': 'no', 'franz_confirmed': 'no', 'where_diffusion_cell': '', 'where_franz': '', 'study_type': 'uncertain', 'barrier_category': 'skin', 'barrier_name_raw': 'skin', 'endpoint_found': 'yes', 'endpoint_time_found': 'uncertain', 'where_endpoint': 'section discussing percutaneous absorption', 'endpoint_carrier': 'narrative', 'endpoint_carrier_snippet': 'The study found varying absorption rates based on skin region and lipophilicity.', 'formulation_carrier': 'unknown', 'formulation_carrier_snippet': '', 'endpoint_likely_in_supp': 'no', 'formulation_table_missing': 'no', 'notes': 'Focus on the absorption rates related to skin structure and formulation impact.', 'router_source_backend': 'pdf_local', 'router_source_ref': 'papers\\pdf\\10.1002_etc.4302__6928b548af.pdf', 'router_source_diagnostics': []}"
paper_79890f9d9026,10.1002/jbm.a.34095,Polyaspartamide-polylactide electrospun scaffolds for potential topical release of Ibuprofen.,unresolved,0.0,unknown,unknown,[],missing_structured_and_pdf_router_source,"{'title': 'Polyaspartamide-polylactide electrospun scaffolds for potential topical release of Ibuprofen.', 'router_source_backend': 'missing', 'router_source_ref': '', 'router_source_diagnostics': []}"
