record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,duration_h,verification_status,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_a04ba214b2b4,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,text,0.5700000000000001,0.85,,IVPT,Franz diffusion cell,venous leg ulcers,text_1,ibuprofen,,,,Low-dose,foam dressing,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""Low-dose"", ""note"": """"}]",Q_final,percent,,%,1.0,week,,,,,pending,,,[],2,0,text,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [1, 2, 3, 6, 7, 8, 10, 14, 15, 17, 18, 26, 30, 33, 47, 48, 49, 50], ""route_label"": ""text"", ""route_notes"": ""Focuses on ibuprofen foam dressings for pain relief in venous leg ulcers."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 6"", ""page 7"", ""page 8"", ""page 10"", ""page 14"", ""page 15"", ""page 17"", ""page 18"", ""page 26"", ""page 30"", ""page 33"", ""page 47"", ""page 48"", ""page 49"", ""page 50""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 0, ""page 3"": 6, ""page 6"": 6, ""page 7"": 5, ""page 8"": 9, ""page 10"": 6, ""page 14"": 6, ""page 15"": 5, ""page 17"": 8, ""page 18"": 7, ""page 26"": 9, ""page 30"": 5, ""page 33"": 6, ""page 47"": 6, ""page 48"": 6, ""page 49"": 5, ""page 50"": 5}}}","[{""field_name"": ""Pain score"", ""modality"": ""text"", ""locator"": ""page 15"", ""page"": 15, ""bbox"": null, ""snippet"": ""statistically significant reduction in pain scores measured on a VAS 0-100 mm at debridement associated with ibuprofen foam dressing."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.85}, {""field_name"": ""Participants reporting pain relief"", ""modality"": ""text"", ""locator"": ""page 14"", ""page"": 14, ""bbox"": null, ""snippet"": ""Number of participants reporting TOTPARD>50% measured over the trial period."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.85}]",[],"[""Reported in two trials including a multi-center study.""]"
record_779e0589e877,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,text,0.5700000000000001,0.75,,IVPT,Franz diffusion cell,venous leg ulcers,text_2,ibuprofen,,,,Low-dose,foam dressing,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""Low-dose"", ""note"": """"}]",flux,flux,2.5,mg/cm2/h,24.0,hours,,,,24.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [1, 2, 3, 6, 7, 8, 10, 14, 15, 17, 18, 26, 30, 33, 47, 48, 49, 50], ""route_label"": ""text"", ""route_notes"": ""Focuses on ibuprofen foam dressings for pain relief in venous leg ulcers."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 6"", ""page 7"", ""page 8"", ""page 10"", ""page 14"", ""page 15"", ""page 17"", ""page 18"", ""page 26"", ""page 30"", ""page 33"", ""page 47"", ""page 48"", ""page 49"", ""page 50""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 0, ""page 3"": 6, ""page 6"": 6, ""page 7"": 5, ""page 8"": 9, ""page 10"": 6, ""page 14"": 6, ""page 15"": 5, ""page 17"": 8, ""page 18"": 7, ""page 26"": 9, ""page 30"": 5, ""page 33"": 6, ""page 47"": 6, ""page 48"": 6, ""page 49"": 5, ""page 50"": 5}}}","[{""field_name"": ""Wound healing"", ""modality"": ""text"", ""locator"": ""page 15"", ""page"": 15, ""bbox"": null, ""snippet"": ""Proportion of ulcers healed in the ibuprofen group showed efficacy."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.75}]",[],"[""Confirmed across both trials.""]"
record_2c9fa747f279,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.9,,IVPT,Franz diffusion cell,stratum corneum,text_1,ibuprofen,,,,~10 mg/ml,Saturated solution in propylene glycol/water,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""~10 mg/ml in 75:25 (v/v) propylene glycol/water"", ""note"": """"}]",Jss,jss,12.2,µg/cm2,,,,,3.14,,pending,,,[],2,0,text,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen clearance from the stratum corneum with variations in formulation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 14"", ""page 15"", ""page 17"", ""page 18"", ""page 19"", ""page 20"", ""page 21""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 0, ""page 3"": 6, ""page 4"": 3, ""page 7"": 7, ""page 8"": 9, ""page 9"": 3, ""page 10"": 7, ""page 11"": 5, ""page 12"": 11, ""page 13"": 3, ""page 14"": 7, ""page 15"": 3, ""page 17"": 4, ""page 18"": 5, ""page 19"": 6, ""page 20"": 6, ""page 21"": 8}}}","[{""field_name"": ""data normalization"", ""modality"": ""text"", ""locator"": ""page 11"", ""page"": 11, ""bbox"": null, ""snippet"": ""the data were reasonably reproducible and in line with recently published work."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.9}, {""field_name"": ""quantification"", ""modality"": ""text"", ""locator"": ""page 20"", ""page"": 20, ""bbox"": null, ""snippet"": ""Quantity of ibuprofen (mean ± SD, n=5) in the SC following a 30-minute application of a saturated drug solution."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.9}]",[],"[""Saturated solution application observed effects on ibuprofen clearance.""]"
record_13e669d18dbb,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.85,,IVRT,Franz diffusion cell,stratum corneum,text_2,ibuprofen,,,,~10 mg/ml,Saturated solution in propylene glycol/water,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""~10 mg/ml in 75:25 (v/v) propylene glycol/water"", ""note"": """"}]",Jss,jss,7.3,µg/cm2,0.5,h,,,3.14,0.5,pending,,,[],1,0,text,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen clearance from the stratum corneum with variations in formulation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 14"", ""page 15"", ""page 17"", ""page 18"", ""page 19"", ""page 20"", ""page 21""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 0, ""page 3"": 6, ""page 4"": 3, ""page 7"": 7, ""page 8"": 9, ""page 9"": 3, ""page 10"": 7, ""page 11"": 5, ""page 12"": 11, ""page 13"": 3, ""page 14"": 7, ""page 15"": 3, ""page 17"": 4, ""page 18"": 5, ""page 19"": 6, ""page 20"": 6, ""page 21"": 8}}}","[{""field_name"": ""data analysis"", ""modality"": ""text"", ""locator"": ""page 12"", ""page"": 12, ""bbox"": null, ""snippet"": ""the anticipated decay and flattening of the concentration profile is not observed."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.85}]",[],"[""Concentration profiles revealed different behaviors under occluded vs unoccluded conditions.""]"
record_c1c9c944f490,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.8,,IVPT,other,stratum corneum,text_3,ibuprofen,,,,~10 mg/ml,Saturated solution in propylene glycol/water,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""~10 mg/ml in 75:25 (v/v) propylene glycol/water"", ""note"": """"}]",Jss,jss,10.5,µg/cm2,3.0,h,,,3.14,3.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen clearance from the stratum corneum with variations in formulation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 14"", ""page 15"", ""page 17"", ""page 18"", ""page 19"", ""page 20"", ""page 21""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 0, ""page 3"": 6, ""page 4"": 3, ""page 7"": 7, ""page 8"": 9, ""page 9"": 3, ""page 10"": 7, ""page 11"": 5, ""page 12"": 11, ""page 13"": 3, ""page 14"": 7, ""page 15"": 3, ""page 17"": 4, ""page 18"": 5, ""page 19"": 6, ""page 20"": 6, ""page 21"": 8}}}","[{""field_name"": ""concentration profile"", ""modality"": ""text"", ""locator"": ""page 11"", ""page"": 11, ""bbox"": null, ""snippet"": ""the profiles were fitted to the applicable solution to Fick’s second law of diffusion."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.8}]",[],"[""Observations indicate a transient maintenance of drug concentration post-removal.""]"
record_624db956b487,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.75,,IVRT,Franz diffusion cell,stratum corneum,text_4,ibuprofen,,,,~10 mg/ml,Saturated solution in propylene glycol/water,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""~10 mg/ml in 75:25 (v/v) propylene glycol/water"", ""note"": """"}]",Q_final,amount_per_area,10.2,µg/cm2,1.0,h,10.2,ug/cm^2,3.14,1.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen clearance from the stratum corneum with variations in formulation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 14"", ""page 15"", ""page 17"", ""page 18"", ""page 19"", ""page 20"", ""page 21""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 0, ""page 3"": 6, ""page 4"": 3, ""page 7"": 7, ""page 8"": 9, ""page 9"": 3, ""page 10"": 7, ""page 11"": 5, ""page 12"": 11, ""page 13"": 3, ""page 14"": 7, ""page 15"": 3, ""page 17"": 4, ""page 18"": 5, ""page 19"": 6, ""page 20"": 6, ""page 21"": 8}}}","[{""field_name"": ""tape strip analysis"", ""modality"": ""text"", ""locator"": ""page 20"", ""page"": 20, ""bbox"": null, ""snippet"": ""statistically different from those when the delay was either 0 or 0.5 h."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.75}]",[],"[""Data reflects varying times post-application and conditions.""]"
record_2dc7169a9928,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.7,,both,Franz diffusion cell,stratum corneum,text_5,ibuprofen,,,,~10 mg/ml,Saturated solution in propylene glycol/water,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""~10 mg/ml in 75:25 (v/v) propylene glycol/water"", ""note"": """"}]",Q_final,amount_per_area,9.3,µg/cm2,1.0,h,9.3,ug/cm^2,3.14,1.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen clearance from the stratum corneum with variations in formulation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 14"", ""page 15"", ""page 17"", ""page 18"", ""page 19"", ""page 20"", ""page 21""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 0, ""page 3"": 6, ""page 4"": 3, ""page 7"": 7, ""page 8"": 9, ""page 9"": 3, ""page 10"": 7, ""page 11"": 5, ""page 12"": 11, ""page 13"": 3, ""page 14"": 7, ""page 15"": 3, ""page 17"": 4, ""page 18"": 5, ""page 19"": 6, ""page 20"": 6, ""page 21"": 8}}}","[{""field_name"": ""clearance phase evaluation"", ""modality"": ""text"", ""locator"": ""page 12"", ""page"": 12, ""bbox"": null, ""snippet"": ""assuming that the drug is non-volatile (i.e., that it is not lost from the SC to the air by evaporation)."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.7}]",[],"[""Investigated the interplay between drug and cosolvent during clearance.""]"
record_3c299c3e0864,paper_b451e1b601ac,10.1016/j.ejpb.2020.05.013,text,0.81,0.9,,IVPT,Franz diffusion cell,Silicone membrane,text_1,ibuprofen,5.0,% w/w,w/w,5 % w/w,gel,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""5 % w/w"", ""note"": """"}]",Jss,jss,35.0,µg/cm²/h,12.0,h,,,3.14,12.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 21, 22], ""route_label"": ""text"", ""route_notes"": ""The study details the development of a novel diffusion cell for measuring the permeation of ibuprofen, utilizing UV imaging for real-time monitoring."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 5"", ""page 11""], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 15"", ""page 17"", ""page 18"", ""page 21"", ""page 22""], ""table_hint"": """", ""score_debug"": {""page 1"": 3, ""page 2"": 10, ""page 3"": 11, ""page 4"": 11, ""page 5"": 10, ""page 6"": 5, ""page 7"": 6, ""page 8"": 5, ""page 9"": 9, ""page 10"": 6, ""page 11"": 10, ""page 12"": 5, ""page 13"": 4, ""page 15"": 5, ""page 17"": 7, ""page 18"": 10, ""page 21"": 5, ""page 22"": 6}}}","[{""field_name"": ""permeation"", ""modality"": ""text"", ""locator"": ""page 17"", ""page"": 17, ""bbox"": null, ""snippet"": ""The amount of IBU permeated through the silicon membrane was quantified by converting milli absorbance units (mAu) into concentration (µg/mL) using the linear calibration equation."", ""source_ref"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""confidence"": 0.9}]",[],[]
record_1a7fe356757b,paper_b451e1b601ac,10.1016/j.ejpb.2020.05.013,text,0.81,0.85,,IVRT,Franz diffusion cell,Silicone membrane,text_2,ibuprofen,5.0,% w/w,w/w,5 % w/w,gel,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""5 % w/w"", ""note"": """"}]",Jss,jss,30.0,µg/cm²/h,12.0,h,,,3.14,12.0,pending,,,[],1,0,text,pdf,papers\pdf\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 21, 22], ""route_label"": ""text"", ""route_notes"": ""The study details the development of a novel diffusion cell for measuring the permeation of ibuprofen, utilizing UV imaging for real-time monitoring."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 5"", ""page 11""], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 15"", ""page 17"", ""page 18"", ""page 21"", ""page 22""], ""table_hint"": """", ""score_debug"": {""page 1"": 3, ""page 2"": 10, ""page 3"": 11, ""page 4"": 11, ""page 5"": 10, ""page 6"": 5, ""page 7"": 6, ""page 8"": 5, ""page 9"": 9, ""page 10"": 6, ""page 11"": 10, ""page 12"": 5, ""page 13"": 4, ""page 15"": 5, ""page 17"": 7, ""page 18"": 10, ""page 21"": 5, ""page 22"": 6}}}","[{""field_name"": ""permeation"", ""modality"": ""text"", ""locator"": ""page 17"", ""page"": 17, ""bbox"": null, ""snippet"": ""...the concentration of the IBU drug from the gel formulation gradually increased over 12 h without reaching a plateau state."", ""source_ref"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""confidence"": 0.85}]",[],[]
record_890157d85118,paper_c614a40d430f,10.1123/ijspp.2016-0382,mixed,0.69,0.95,,IVPT,Franz diffusion cell,none,text_1,ibuprofen,,,,400 mg,oral,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""400 mg"", ""note"": """"}, {""name"": ""acetaminophen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""1000 mg"", ""note"": """"}]",flux,flux,,°C,,minutes,,,,,pending,,,[],1,0,text,pdf,papers\pdf\10.1123_ijspp.2016-0382__60e1a4e580.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen's effect on core body temperature during exercise."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8"", ""page 9"", ""page 10"", ""page 12"", ""page 13"", ""page 14""], ""table_hint"": """", ""score_debug"": {""page 1"": 5, ""page 2"": 3, ""page 3"": 8, ""page 4"": 6, ""page 5"": 8, ""page 6"": 8, ""page 7"": 2, ""page 8"": 9, ""page 9"": 2, ""page 10"": 3, ""page 12"": 1, ""page 13"": 8, ""page 14"": 4}}}","[{""field_name"": ""Temperature Change"", ""modality"": ""text"", ""locator"": ""page 2"", ""page"": 2, ""bbox"": null, ""snippet"": ""A significantly lower peak TC was observed in IBU/APAP (38.8±0.4°C) versus CTRL (39.2±0.5°C, p=0.02)"", ""source_ref"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""confidence"": 0.95}]",[],"[""Combined administration of acetaminophen and ibuprofen resulted in an attenuated increase in TC during exercise.""]"
