record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,duration_h,verification_status,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_a8d34a74731e,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.8,,IVPT,diffusion cell,stratum corneum,Ibuprofen Saturated Solution,Ibuprofen,10.0,mg/ml,Saturated solution in 75:25 propylene glycol/water,~10 mg/ml,Topical,"[{""name"": ""Propylene Glycol"", ""concentration_value"": 75.0, ""concentration_unit"": ""% (v/v)"", ""basis"": ""Vehicle"", ""raw"": """", ""note"": ""Cosolvent""}, {""name"": ""Water"", ""concentration_value"": 25.0, ""concentration_unit"": ""% (v/v)"", ""basis"": ""Vehicle"", ""raw"": """", ""note"": ""Cosolvent""}]",amount,amount_total,0.0,µg/cm2,4.0,hours,,,,4.0,rejected,0.4,not_target_device,"[""not_target_device"", ""missing_area"", ""insufficient_evidence""]",2,0,table,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [5, 7, 8, 12, 21], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen clearance from the stratum corneum with variations in formulation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 5"", ""page 7"", ""page 8"", ""page 12"", ""page 21""], ""table_id"": ""Table II"", ""row_source_pages"": [12], ""row_source_locators"": [""page 12""], ""score_debug"": {""page 5"": 1, ""page 7"": 1, ""page 8"": 1, ""page 12"": 1, ""page 21"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table II"", ""page"": 12, ""bbox"": null, ""snippet"": ""...total amount of ibuprofen (in µg/cm2) within the SC hardly changed at all during the 4 hours clearance period..."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.8}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table II"", ""page"": 12, ""bbox"": null, ""snippet"": ""...total amount of ibuprofen (in µg/cm2) within the SC hardly changed at all during the 4 hours clearance period..."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.8}]",[],"[""Data derived from in vivo DPK experiments."", ""failure_taxonomy:not_target_device""]"
record_e5a5cd848fa6,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.9,,IVPT,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",IBUGEL™,Ibuprofen,5.0,% w/w,Weight/Weight,5%,Gel,"[{""name"": ""Isopropyl Alcohol"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""Weight/Weight"", ""raw"": """", ""note"": ""Solvent""}, {""name"": ""Propylene Glycol"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""Weight/Weight"", ""raw"": """", ""note"": ""Penetration enhancer""}]",amount,amount_total,38.0,µg/cm2,48.0,h,,,,48.0,unresolved,0.4,missing_area,"[""missing_area"", ""insufficient_evidence""]",2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""Study compares ibuprofen permeation in different models."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [4, 11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 4, ""bbox"": null, ""snippet"": ""maximum ibuprofen permeation in human skin ranged from 11–38 µg/cm2"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 4, ""bbox"": null, ""snippet"": ""maximum ibuprofen permeation in human skin ranged from 11–38 µg/cm2"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}]",[],"[""Comparison of permeation efficiency between gel and solution formulations."", ""failure_taxonomy:missing_area""]"
record_2b009f46d9d5,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.8,,IVPT,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",IBULEVE™ Speed Relief,Ibuprofen,5.0,% w/w,Weight/Weight,5%,Spray,"[{""name"": ""Denatured Alcohol"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""Weight/Weight"", ""raw"": """", ""note"": ""Volatile component""}]",amount,amount_total,,.,6.0,h,,,,6.0,unresolved,0.2,missing_endpoint,"[""missing_endpoint"", ""missing_area"", ""insufficient_evidence""]",1,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""Study compares ibuprofen permeation in different models."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [4, 11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 4, ""bbox"": null, ""snippet"": ""At 6 h, there are significant differences in ibuprofen permeation from the two commercial formulations"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.8}]",[],"[""Noted differences in permeation efficiency between spray and gel formulations."", ""failure_taxonomy:missing_endpoint""]"
record_ebdb2bf03a7e,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.75,,IVPT,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",Isopropyl Alcohol 5% Solution,Ibuprofen,5.0,% w/w,Weight/Weight,5%,Solution,[],amount,amount_total,,.,6.0,h,,,,6.0,unresolved,0.2,missing_endpoint,"[""missing_endpoint"", ""missing_area"", ""insufficient_evidence""]",1,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""Study compares ibuprofen permeation in different models."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [4, 11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 4, ""bbox"": null, ""snippet"": ""For the commercial formulations the permeation differences may reflect the influence of various excipients on ibuprofen permeation"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.75}]",[],"[""Comparative analysis with commercial formulations."", ""failure_taxonomy:missing_endpoint""]"
record_8e1fffe4c0d8,paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,table,0.81,0.95,,IVPT,diffusion cell,human cadaver skin,Formulation 1,Ibuprofen,10.0,%,w/w,10% w/w,Transdermal patch,"[{""name"": ""SEBS block copolymer"", ""concentration_value"": 72.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Main polymer matrix""}, {""name"": ""Plasticizer"", ""concentration_value"": 10.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Enhances flexibility""}]",amount,amount_total,20.0,µg/cm²,8.0,h,,,,8.0,rejected,0.4,not_target_device,"[""not_target_device"", ""missing_area"", ""insufficient_evidence""]",2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""source_pages"": [], ""route_label"": ""table"", ""route_notes"": ""The study utilizes a Franz cell setup for evaluating skin permeation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [], ""table_id"": ""Table 1"", ""row_source_pages"": [1], ""row_source_locators"": [""Page 5""], ""score_debug"": {}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 1, ""bbox"": null, ""snippet"": ""Table 1 summarizes the formulation composition of the transdermal patches encapsulating ibuprofen."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 1, ""bbox"": null, ""snippet"": ""Table 1 summarizes the formulation composition of the transdermal patches encapsulating ibuprofen."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}]",[],"[""Endpoint values were derived from in vitro permeation studies."", ""failure_taxonomy:not_target_device""]"
record_e3dfbeb3c6e6,paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,table,0.81,0.92,,IVPT,diffusion cell,human cadaver skin,Formulation 2,Ibuprofen,15.0,%,w/w,15% w/w,Transdermal patch,"[{""name"": ""SEBS block copolymer"", ""concentration_value"": 70.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Main polymer matrix""}, {""name"": ""Plasticizer"", ""concentration_value"": 15.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Enhances performance""}]",amount,amount_total,50.0,µg/cm²,12.0,h,,,,12.0,rejected,0.4,not_target_device,"[""not_target_device"", ""missing_area"", ""insufficient_evidence""]",2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""source_pages"": [], ""route_label"": ""table"", ""route_notes"": ""The study utilizes a Franz cell setup for evaluating skin permeation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [], ""table_id"": ""Table 2"", ""row_source_pages"": [1], ""row_source_locators"": [""Page 6""], ""score_debug"": {}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 1, ""bbox"": null, ""snippet"": ""Table 2 details the formulations and their respective permeation results."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.92}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 1, ""bbox"": null, ""snippet"": ""Table 2 details the formulations and their respective permeation results."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.92}]",[],"[""Values reflect cumulative drug release over specified time."", ""failure_taxonomy:not_target_device""]"
record_4711d5704a2e,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,0.81,0.95,,IVPT,Franz diffusion cell,Strat-M®-membranes,Ibuprofen ion-pair study,P+-Ibuprofen,8.0,mM,aqueous,8 mM,solution,"[{""name"": ""Ibuprofen"", ""concentration_value"": 8.0, ""concentration_unit"": ""mM"", ""basis"": ""aqueous"", ""raw"": """", ""note"": ""P+-Ibuprofen ion-pair""}]",amount,unknown,12.0,hours,72.0,hours,,,,72.0,rejected,0.4,not_target_api,"[""not_target_api"", ""insufficient_evidence""]",2,0,table,pdf,papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""source_pages"": [2, 3, 4, 5, 7], ""route_label"": ""figure"", ""route_notes"": ""Study explores light responsiveness of Ibuprofen through ion pairing with azobenzene counterions."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 7""], ""table_id"": ""Table 1"", ""row_source_pages"": [3], ""row_source_locators"": [""Figure 4""], ""score_debug"": {""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 5"": 1, ""page 7"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 3, ""bbox"": null, ""snippet"": ""...the trans-isomer which remained at the surface and was easily removed...significantly better than the sodium salt... reached equilibrium in less than 12 hours following exponential patterns."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 3, ""bbox"": null, ""snippet"": ""...the trans-isomer which remained at the surface and was easily removed...significantly better than the sodium salt... reached equilibrium in less than 12 hours following exponential patterns."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}]",[],"[""Endpoints clearly identified for permeation study."", ""failure_taxonomy:not_target_api""]"
record_236a55de76ca,paper_c614a40d430f,10.1123/ijspp.2016-0382,mixed,0.69,0.9,,both,diffusion cell,,IBU/APAP,Ibuprofen,400.0,mg,per dose,400 mg,Combined COX inhibition,"[{""name"": ""Acetaminophen"", ""concentration_value"": 1000.0, ""concentration_unit"": ""mg"", ""basis"": ""per dose"", ""raw"": """", ""note"": ""combined with Ibuprofen""}]",amount,unknown,,,,,,,,,rejected,0.2,not_target_device,"[""not_target_device"", ""missing_endpoint"", ""missing_endpoint_time"", ""insufficient_evidence""]",1,0,table,pdf,papers\pdf\10.1123_ijspp.2016-0382__60e1a4e580.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""source_pages"": [3, 5, 8, 13, 14], ""route_label"": ""mixed"", ""route_notes"": ""Focus on ibuprofen's effect on core body temperature during exercise."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 3"", ""page 5"", ""page 8"", ""page 13"", ""page 14""], ""table_id"": ""Table 2"", ""row_source_pages"": [13], ""row_source_locators"": [""page 14""], ""score_debug"": {""page 3"": 1, ""page 5"": 1, ""page 8"": 1, ""page 13"": 1, ""page 14"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 13, ""bbox"": null, ""snippet"": ""RPE average (au) 11.9 ± 1.0..."", ""source_ref"": ""papers\\pdf\\10.1123_ijspp.2016-0382__60e1a4e580.pdf"", ""confidence"": 0.9}]",[],"[""Test of combined ibuprofen and acetaminophen."", ""failure_taxonomy:not_target_device""]"
record_73e422380dc6,paper_b08f9feea7fa,10.1208/s12249-015-0474-y,table,0.81,0.9,,IVRT,diffusion cell,rabbit abdominal skin,Table III,escitalopram,,,,224.48 ± 18.49,transdermal,"[{""name"": ""escitalopram"", ""concentration_value"": null, ""concentration_unit"": ""none"", ""basis"": ""none"", ""raw"": """", ""note"": ""none""}, {""name"": ""benzoic acid"", ""concentration_value"": null, ""concentration_unit"": ""none"", ""basis"": ""none"", ""raw"": """", ""note"": ""none""}, {""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": ""none"", ""basis"": ""none"", ""raw"": """", ""note"": ""none""}, {""name"": ""salicylic acid"", ""concentration_value"": null, ""concentration_unit"": ""none"", ""basis"": ""none"", ""raw"": """", ""note"": ""none""}, {""name"": ""p-aminobenzoic acid"", ""concentration_value"": null, ""concentration_unit"": ""none"", ""basis"": ""none"", ""raw"": """", ""note"": ""none""}, {""name"": ""benzenesulfonic acid"", ""concentration_value"": null, ""concentration_unit"": ""none"", ""basis"": ""none"", ""raw"": """", ""note"": ""none""}]",amount,flux,224.48,μg/(cm2 h),8.0,h,,,,8.0,rejected,0.4,not_target_api,"[""not_target_api"", ""not_target_device"", ""missing_api_concentration"", ""insufficient_evidence""]",2,0,table,pdf,papers\pdf\10.1208_s12249-015-0474-y__61badac756.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf"", ""source_pages"": [1, 2, 3, 5, 7], ""route_label"": ""table"", ""route_notes"": ""The paper explores the use of ion-pair formation with organic acids, including ibuprofen, to regulate the skin permeation rate of escitalopram."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 5"", ""page 7""], ""table_id"": ""Table III"", ""row_source_pages"": [2], ""row_source_locators"": [""page 5""], ""score_debug"": {""page 1"": 1, ""page 2"": 1, ""page 3"": 1, ""page 5"": 1, ""page 7"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table III"", ""page"": 2, ""bbox"": null, ""snippet"": ""Q8h (μg/cm2)  J (μg/(cm2 h))  log Ko/w  MW  pKa  a  Sb (ug/ml)  ESP  1647.84 ± 170.03  224.48 ± 18.49  0.79 ± 0.06  324.39  9.57  47957.53 ± 778.24  ESP-BA  1235.99 ± 207.13  169.85 ± 27.97  0.31 ± 0.03  446.51  4.20  3771.56 ± 215.46  ESP-IB  995.13 ± 144.19  113.09 ± 20.65  1.52 ± 0.08  530.67  4.41  18072.93 ± 513.49  ESP-SA  381.69 ± 76.74  45.61 ± 9.17  0.4 ± 0.02  462.51  3.01  995.01 ± 67.74  ESP-PABA  307.36 ± 36.09  35.11 ± 4.95  -0.05 ± 0.05  461.52  4.86  1188.49 ± 103.99  ESP-BSA  2.27 ± 0.19  0.32 ± 0.04  -0.21 ± 0.06  482.57  -0.60  79.09 ± 14.00"", ""source_ref"": ""papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table III"", ""page"": 2, ""bbox"": null, ""snippet"": ""Q8h (μg/cm2)  J (μg/(cm2 h))  log Ko/w  MW  pKa  a  Sb (ug/ml)  ESP  1647.84 ± 170.03  224.48 ± 18.49  0.79 ± 0.06  324.39  9.57  47957.53 ± 778.24  ESP-BA  1235.99 ± 207.13  169.85 ± 27.97  0.31 ± 0.03  446.51  4.20  3771.56 ± 215.46  ESP-IB  995.13 ± 144.19  113.09 ± 20.65  1.52 ± 0.08  530.67  4.41  18072.93 ± 513.49  ESP-SA  381.69 ± 76.74  45.61 ± 9.17  0.4 ± 0.02  462.51  3.01  995.01 ± 67.74  ESP-PABA  307.36 ± 36.09  35.11 ± 4.95  -0.05 ± 0.05  461.52  4.86  1188.49 ± 103.99  ESP-BSA  2.27 ± 0.19  0.32 ± 0.04  -0.21 ± 0.06  482.57  -0.60  79.09 ± 14.00"", ""source_ref"": ""papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf"", ""confidence"": 0.9}]",[],"[""None"", ""failure_taxonomy:not_target_api""]"
record_a07ed4098a1c,paper_47e0b4fbb992,10.1208/s12249-019-1481-1,figure,0.81,1.0,,IVPT,Franz diffusion cell,porcine ear skin,Table I,Ibuprofen,,,,Ibuprofen as part of vehicle solution,Topical,"[{""name"": ""Glycerin"", ""concentration_value"": 24.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""In lubricant vehicle""}, {""name"": ""1,3-Propanediol"", ""concentration_value"": 6.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""In lubricant vehicle""}, {""name"": ""1,3-Butanediol"", ""concentration_value"": 5.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""In lubricant vehicle""}, {""name"": ""Dipropylene Glycol"", ""concentration_value"": 4.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""In lubricant vehicle""}, {""name"": ""Polyoxyethylene (60) Hydrogenated Castor Oil"", ""concentration_value"": 3.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""In lubricant vehicle""}]",amount,unknown,,,,,,,,,unresolved,0.2,missing_api_concentration,"[""missing_api_concentration"", ""missing_endpoint"", ""missing_endpoint_time"", ""insufficient_evidence""]",1,0,table,pdf,papers\pdf\10.1208_s12249-019-1481-1__8db2f87134.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1208_s12249-019-1481-1__8db2f87134.pdf"", ""source_pages"": [1, 2, 3, 4, 6], ""route_label"": ""figure"", ""route_notes"": ""Significant increase in IB permeability noted under varying conditions."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 6""], ""table_id"": ""Table I"", ""row_source_pages"": [1, 4], ""row_source_locators"": [""page 2""], ""score_debug"": {""page 1"": 1, ""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 6"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table I"", ""page"": 1, ""bbox"": null, ""snippet"": ""Composition ratios of the vehicle solution (Glycerin, 1,3-PD, 1,3-BG, DPG, PEG60 CAS)."", ""source_ref"": ""papers\\pdf\\10.1208_s12249-019-1481-1__8db2f87134.pdf"", ""confidence"": 1.0}]",[],"[""Ibuprofen included as part of saturated solution."", ""failure_taxonomy:missing_api_concentration""]"
