record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,duration_h,verification_status,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_ad27c13dbfc5,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,mixed,0.69,0.9,,both,diffusion cell,venous leg ulcers,Ibuprofen foam dressing,Ibuprofen,0.5,mg/cm2,homogeneously dispersed,0.5 mg/cm2 ibuprofen,foam dressing,[],amount,unknown,1.63,risk ratio,7.0,days,,,,168.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [3, 14, 17, 26, 47], ""route_label"": ""mixed"", ""route_notes"": ""Includes various analyses comparing ibuprofen dressings with alternatives to derive pain relief measures."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 3"", ""page 14"", ""page 17"", ""page 26"", ""page 47""], ""table_id"": ""Table 1"", ""row_source_pages"": [14, 26, 47], ""row_source_locators"": [""page 17"", ""page 26""], ""score_debug"": {""page 3"": 1, ""page 14"": 1, ""page 17"": 1, ""page 26"": 1, ""page 47"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 14, ""bbox"": null, ""snippet"": ""Comparison: 3 Ibuprofen foam dressing compared with local best practice Outcome: 1 Number participants reporting TOTPARD5>50%."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 14, ""bbox"": null, ""snippet"": ""Comparison: 3 Ibuprofen foam dressing compared with local best practice Outcome: 1 Number participants reporting TOTPARD5>50%."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.9}]",[],"[""Pain assessed twice daily using a 5-point scale.""]"
record_1a3150403dab,paper_b451e1b601ac,10.1016/j.ejpb.2020.05.013,figure,0.81,1.0,,IVRT,diffusion cell,silicone membrane,5 % w/w ibuprofen gel,Ibuprofen,5.0,% w/w,w/w,5%,gel,[],amount,unknown,,,12.0,h,,,,12.0,pending,,,[],1,0,table,pdf,papers\pdf\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""source_pages"": [5, 8, 9, 10, 11], ""route_label"": ""figure"", ""route_notes"": ""Study focuses on the development of a new diffusion cell that utilizes UV imaging for analyzing ibuprofen permeation."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 5"", ""page 8"", ""page 9"", ""page 10"", ""page 11""], ""table_id"": ""Table 1"", ""row_source_pages"": [8, 11], ""row_source_locators"": [""page 8"", ""page 11""], ""score_debug"": {""page 5"": 1, ""page 8"": 1, ""page 9"": 1, ""page 10"": 1, ""page 11"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 8, ""bbox"": null, ""snippet"": ""A 5 % w/w ibuprofen gel formulation was used as the model topical formulation."", ""source_ref"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""confidence"": 1.0}]",[],[]
record_5bc4d003491f,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.95,,both,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",IBUGEL™ (Ibuprofen 5% w/w),Ibuprofen,5.0,% w/w,amount per unit weight,5% w/w,gel,"[{""name"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""drug"", ""raw"": """", ""note"": ""Commercial formulation""}]",amount,percent,70.0,%,6.0,h,,,,6.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""The study confirms that PAMPA provides similar or better permeability results for ibuprofen compared to human skin."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm² of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm² of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}]",[],"[""Highest delivery in human skin.""]"
record_a28c8f99f0f6,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.95,,both,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",IBULEVE™ Speed Relief 5% Spray,Ibuprofen,5.0,% w/w,amount per unit weight,5% w/w,spray,"[{""name"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""drug"", ""raw"": """", ""note"": ""Commercial formulation""}]",amount,percent,70.0,%,6.0,h,,,,6.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""The study confirms that PAMPA provides similar or better permeability results for ibuprofen compared to human skin."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm² of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm² of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}]",[],"[""Higher permeation in PAMPA compared with human skin.""]"
record_1f7ffa0296ea,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.95,,both,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",Isopropyl alcohol solution,Ibuprofen,5.0,% w/w,amount per unit weight,5% w/w,solution,"[{""name"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""drug"", ""raw"": """", ""note"": ""Experimental formulation""}]",amount,percent,69.0,%,6.0,h,,,,6.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""The study confirms that PAMPA provides similar or better permeability results for ibuprofen compared to human skin."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""For individual formulations, permeation is also higher in PAMPA compared with porcine skin."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""For individual formulations, permeation is also higher in PAMPA compared with porcine skin."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}]",[],"[""Has shown good permeation profiles.""]"
record_5e37b11fa606,paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,table,0.81,0.95,,IVPT,Franz diffusion cell,human skin,Transdermal patch formulation 1,Ibuprofen,5.0,mg/cm²,Total Area,5 mg/cm²,patch,"[{""name"": ""Polyethylene Glycol 400"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": """", ""note"": ""Plasticizer""}, {""name"": ""SEBS"", ""concentration_value"": 10.0, ""concentration_unit"": ""g"", ""basis"": ""Total weight"", ""raw"": """", ""note"": ""Elastomer component""}, {""name"": ""Chloroform"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": """", ""note"": ""Solvent""}]",amount,amount_per_area,5.0,mg/cm2,24.0,h,5000.0,ug/cm^2,,24.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""source_pages"": [], ""route_label"": ""table"", ""route_notes"": ""The paper discusses the use of SEBS block copolymers in transdermal delivery systems."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [], ""table_id"": ""Table 1"", ""row_source_pages"": [5], ""row_source_locators"": [""p. 5""], ""score_debug"": {}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 5, ""bbox"": null, ""snippet"": ""Ibuprofen was incorporated into the patch at a concentration of 5 mg/cm²... release was observed over 24 h."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 5, ""bbox"": null, ""snippet"": ""Ibuprofen was incorporated into the patch at a concentration of 5 mg/cm²... release was observed over 24 h."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}]",[],[]
record_2ef38d5a50d1,paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,table,0.81,0.95,,IVPT,Franz diffusion cell,human skin,Transdermal patch formulation 2,Ibuprofen,10.0,mg/cm²,Total Area,10 mg/cm²,patch,"[{""name"": ""Polyvinylpyrrolidone (PVP)"", ""concentration_value"": 15.0, ""concentration_unit"": ""g"", ""basis"": ""Total weight"", ""raw"": """", ""note"": ""Binder""}, {""name"": ""SEBS"", ""concentration_value"": 10.0, ""concentration_unit"": ""g"", ""basis"": ""Total weight"", ""raw"": """", ""note"": ""Elastomer component""}, {""name"": ""Chloroform"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": """", ""note"": ""Solvent""}]",amount,amount_per_area,10.0,mg/cm2,24.0,h,10000.0,ug/cm^2,,24.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""source_pages"": [], ""route_label"": ""table"", ""route_notes"": ""The paper discusses the use of SEBS block copolymers in transdermal delivery systems."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [], ""table_id"": ""Table 1"", ""row_source_pages"": [5], ""row_source_locators"": [""p. 5""], ""score_debug"": {}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 5, ""bbox"": null, ""snippet"": ""A higher concentration of Ibuprofen at 10 mg/cm² was tested... 24 h release period."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 5, ""bbox"": null, ""snippet"": ""A higher concentration of Ibuprofen at 10 mg/cm² was tested... 24 h release period."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}]",[],[]
record_56d2d3b2dd1a,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,0.81,1.0,,IVPT,Franz diffusion cell,Strat-M®-membranes,P+-Ibuprofen,Ibuprofen,8.0,mM,ion-pairing,8 mM,aqueous solution,"[{""name"": ""P+-Ibuprofen"", ""concentration_value"": 8.0, ""concentration_unit"": ""mM"", ""basis"": ""ion-pairing"", ""raw"": """", ""note"": ""light-responsive""}]",amount,amount_total,12.0,hours,72.0,hours,,,,72.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""source_pages"": [2, 3, 4, 5, 7], ""route_label"": ""figure"", ""route_notes"": ""The study explores the light-responsive characteristics of Ibuprofen ion-pairs, including their solubility, permeability, and structural transformations."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 7""], ""table_id"": ""Table 1"", ""row_source_pages"": [3], ""row_source_locators"": [""p 3""], ""score_debug"": {""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 5"": 1, ""page 7"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 3, ""bbox"": null, ""snippet"": ""P+-Ibuprofen ion-pairs reached equilibrium in less than 12 hours after exposure to UV light compared to the trans isomer which reached equilibrium after 72 hours."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 1.0}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 3, ""bbox"": null, ""snippet"": ""P+-Ibuprofen ion-pairs reached equilibrium in less than 12 hours after exposure to UV light compared to the trans isomer which reached equilibrium after 72 hours."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 1.0}]",[],"[""Endpoint summary values extracted as specified.""]"
record_0dbf50f97a74,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,0.81,1.0,,IVPT,Franz diffusion cell,Strat-M®-membranes,N+-Ibuprofen,Ibuprofen,8.0,mM,ion-pairing,8 mM,aqueous solution,"[{""name"": ""N+-Ibuprofen"", ""concentration_value"": 8.0, ""concentration_unit"": ""mM"", ""basis"": ""ion-pairing"", ""raw"": """", ""note"": ""also light-responsive""}]",amount,amount_total,12.0,hours,72.0,hours,,,,72.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""source_pages"": [2, 3, 4, 5, 7], ""route_label"": ""figure"", ""route_notes"": ""The study explores the light-responsive characteristics of Ibuprofen ion-pairs, including their solubility, permeability, and structural transformations."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 7""], ""table_id"": ""Table 2"", ""row_source_pages"": [4], ""row_source_locators"": [""p 4""], ""score_debug"": {""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 5"": 1, ""page 7"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 4, ""bbox"": null, ""snippet"": ""The N+-Ibuprofen ion-pair also permeated significantly better through the membrane than the sodium salt, confirming its faster absorption."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 1.0}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 4, ""bbox"": null, ""snippet"": ""The N+-Ibuprofen ion-pair also permeated significantly better through the membrane than the sodium salt, confirming its faster absorption."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 1.0}]",[],"[""Similar endpoint summary values noted for N+-Ibuprofen.""]"
record_c3068bb830f7,paper_b08f9feea7fa,10.1208/s12249-015-0474-y,mixed,0.81,0.9,,IVPT,diffusion cell,rabbit abdominal skin,ESP-IB,Escitalopram,,,,—,Transdermal Patch,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": ""—"", ""basis"": ""Counter-ion"", ""raw"": """", ""note"": """"}]",amount,flux,113.09,μg/(cm2 h),8.0,h,,,,8.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1208_s12249-015-0474-y__61badac756.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf"", ""source_pages"": [1, 2, 3, 5, 7], ""route_label"": ""mixed"", ""route_notes"": ""The study involved in vitro permeation experiments using a diffusion cell to assess the skin permeation rate of escitalopram when ion-paired with various organic acids, including ibuprofen."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 5"", ""page 7""], ""table_id"": ""Table III"", ""row_source_pages"": [5], ""row_source_locators"": [""page 5""], ""score_debug"": {""page 1"": 1, ""page 2"": 1, ""page 3"": 1, ""page 5"": 1, ""page 7"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table III"", ""page"": 5, ""bbox"": null, ""snippet"": ""The permeation data and physicochemical parameters for ESP with or without various organic acids (mean ± SD, n = 4) Permeants Q8h (μg/cm2) J (μg/(cm2 h)) log Ko/w MW pKa a Sb (ug/ml) ESP-IB 995.13 ± 144.19 113.09 ± 20.65 1.52 ± 0.08 530.67 4.41 18072.93 ± 513.49"", ""source_ref"": ""papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table III"", ""page"": 5, ""bbox"": null, ""snippet"": ""The permeation data and physicochemical parameters for ESP with or without various organic acids (mean ± SD, n = 4) Permeants Q8h (μg/cm2) J (μg/(cm2 h)) log Ko/w MW pKa a Sb (ug/ml) ESP-IB 995.13 ± 144.19 113.09 ± 20.65 1.52 ± 0.08 530.67 4.41 18072.93 ± 513.49"", ""source_ref"": ""papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf"", ""confidence"": 0.9}]",[],[]
