stage,bucket,count
access_status,downloaded,40
access_status,error,185
access_status,resolved,84
access_status,unresolved,222
access_reason,resolve_error_connectionerror,185
route_unresolved_reason,access_issues_no_extractable_evidence_available,1
route_unresolved_reason,access_to_content_is_blocked_unable_to_extract_details,1
route_unresolved_reason,access_to_content_is_restricted_no_extractable_evidence_available,1
route_unresolved_reason,access_to_content_not_available_due_to_website_restrictions,1
route_unresolved_reason,access_to_document_requires_javascript_which_is_currently_unsupported_unable_to_,1
route_unresolved_reason,access_to_full_document_requires_javascript_support_so_content_not_fully_extract,1
route_unresolved_reason,access_to_the_document_is_currently_restricted_due_to_javascript_issues,1
route_unresolved_reason,access_to_the_document_is_restricted_due_to_javascript_requirements,1
route_unresolved_reason,access_to_the_document_is_restricted_evidence_extraction_not_possible,1
route_unresolved_reason,access_to_the_document_requires_javascript_content_not_available_for_extraction,1
route_unresolved_reason,access_to_the_full_text_is_necessary_to_provide_relevant_extraction_details,1
route_unresolved_reason,cannot_access_content_due_to_javascript_requirements,1
route_unresolved_reason,content_inaccessible_no_relevant_information_available,1
route_unresolved_reason,content_is_inaccessible_due_to_javascript_requirement,1
route_unresolved_reason,content_is_not_accessible_due_to_javascript_requirement,2
route_unresolved_reason,content_is_not_accessible_due_to_javascript_restrictions,1
route_unresolved_reason,content_not_accessible_due_to_javascript_issue,1
route_unresolved_reason,content_not_accessible_due_to_javascript_requirement,1
route_unresolved_reason,content_not_accessible_due_to_website_restrictions,2
route_unresolved_reason,content_not_available_for_extraction,1
route_unresolved_reason,content_unavailable_due_to_javascript_requirement,1
route_unresolved_reason,document_content_is_inaccessible_due_to_javascript_requirements,1
route_unresolved_reason,document_content_not_accessible_requires_javascript_support,1
route_unresolved_reason,document_is_inaccessible_requires_javascript,1
route_unresolved_reason,document_not_accessible_due_to_javascript_requirement,1
route_unresolved_reason,html_page_requires_javascript_and_cannot_be_accessed,1
route_unresolved_reason,insufficient_evidence_extractable_from_the_provided_text,1
route_unresolved_reason,insufficient_information_available_in_the_document,1
route_unresolved_reason,javascript_required_to_view_content,1
route_unresolved_reason,missing_structured_and_pdf_router_source,418
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,2
route_unresolved_reason,no_accessible_content_available_for_extraction,1
route_unresolved_reason,no_accessible_content_due_to_javascript_requirements,1
route_unresolved_reason,no_accessible_content_javascript_required_to_view,1
route_unresolved_reason,no_detailed_evidence_available_due_to_website_access_issues,1
route_unresolved_reason,no_extractable_evidence_available_document_content_cannot_be_accessed,1
route_unresolved_reason,no_extractable_evidence_available_due_to_inability_to_access_document_content,1
route_unresolved_reason,no_extractable_evidence_available_due_to_inaccessible_document_content,1
route_unresolved_reason,no_extractable_evidence_available_due_to_page_content_restrictions,1
route_unresolved_reason,no_extractable_evidence_available_due_to_restricted_access_on_europe_pmc,1
route_unresolved_reason,no_extractable_evidence_available_due_to_website_access_limitations,1
route_unresolved_reason,no_extractable_evidence_due_to_lack_of_accessible_content,1
route_unresolved_reason,no_extractable_evidence_found_due_to_inaccessible_content,4
route_unresolved_reason,no_extractable_evidence_found_due_to_webpage_restrictions,1
route_unresolved_reason,no_extractable_evidence_found_due_to_website_access_issues,1
route_unresolved_reason,no_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_extractable_evidence_from_the_provided_document,1
route_unresolved_reason,no_extractable_information_available_due_to_webpage_access_issues,1
route_unresolved_reason,no_relevant_content_available_from_the_document,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_extraction_data_available_from_provided_document,1
route_unresolved_reason,the_content_could_not_be_accessed_due_to_the_requirement_of_javascript,1
route_unresolved_reason,the_document_cannot_be_accessed_contains_only_messages_about_javascript_support,1
route_unresolved_reason,the_document_contains_no_useful_content_due_to_javascript_restrictions,1
route_unresolved_reason,the_document_content_is_inaccessible_due_to_javascript_requirements,2
route_unresolved_reason,the_document_content_is_inaccessible_it_may_require_javascript_to_view_properly,1
route_unresolved_reason,the_document_content_is_not_accessible_unable_to_extract_relevant_information,1
route_unresolved_reason,the_document_could_not_be_accessed_due_to_a_javascript_requirement,1
