stage,bucket,count
figure_stage,digitized_curves,0
figure_stage,digitized_endpoints_failed,5
figure_stage,digitized_endpoints_ok,0
figure_stage,mapped_curves,0
figure_stage,triage_artifacts,8
figure_stage,triage_digitize_candidates,6
figure_stage,unmapped_curves,0
figure_triage_route,digitize,6
figure_triage_route,skip,2
figure_triage_signal,digitizable:no,2
figure_triage_signal,endpoint_curve_present:no,2
figure_triage_signal,recommended_route:skip,2
figure_triage_signal,ticks_readable:uncertain,1
figure_triage_signal,why_not_digitizable:figures_do_not_display_endpoint_curves_relevant_to_ibuprofen,1
figure_triage_signal,why_not_digitizable:n_a,1
figure_triage_signal,why_not_digitizable:no_endpoint_curves_identified_for_digitization_related_to_ibuprofen,1
figure_digitization_status,fail_few_edges,4
figure_digitization_status,fail_missing_plot_context,1
figure_digitization_failure,fail_few_edges,4
figure_digitization_failure,fail_missing_plot_context,1
verification_route:figure,missing_area,3
verification_route:figure,missing_endpoint,2
verification_route:figure,not_target_device,2
verification_route:figure,percent_only,4
verification_route:mixed,missing_api_concentration,5
verification_route:mixed,missing_endpoint,3
verification_route:mixed,not_target_api,2
verification_route:mixed,not_target_device,4
verification_route:table,missing_api_concentration,1
verification_route:table,not_target_device,6
verification_route:table,not_target_study_type,2
verification_route:text,insufficient_evidence,2
verification_route:text,missing_api_concentration,4
verification_route:text,not_target_device,2
