record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,duration_h,verification_status,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_ad27c13dbfc5,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,table,0.69,1.0,,IVRT,diffusion cell,,Ibuprofen foam dressing,Ibuprofen,0.5,mg/cm²,homogeneously dispersed,0.5 mg/cm²,foam dressing,[],amount,unknown,1.63,risk ratio,7.0,days,,,,168.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [3, 14, 17, 26, 47], ""route_label"": ""table"", ""route_notes"": ""Ibuprofen dressings may offer pain relief for venous leg ulcers."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 3"", ""page 14"", ""page 17"", ""page 26"", ""page 47""], ""table_id"": ""Table 3"", ""row_source_pages"": [17], ""row_source_locators"": [""page 17""], ""score_debug"": {""page 3"": 1, ""page 14"": 1, ""page 17"": 1, ""page 26"": 1, ""page 47"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 3"", ""page"": 17, ""bbox"": null, ""snippet"": ""93/189 versus 48/159, P = 0.00055"", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 1.0}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 3"", ""page"": 17, ""bbox"": null, ""snippet"": ""93/189 versus 48/159, P = 0.00055"", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 1.0}]",[],"[""Mean (SD) treatment duration was 7 (±2) days.""]"
record_397e136082ee,paper_1f3c544b574c,10.1007/978-1-4939-0363-4_7,mixed,0.81,0.95,,IVPT,diffusion cell,Microneedles,Ibuprofen Formulation,Ibuprofen,50.0,mg,per patch,50 mg,Microneedle patch,"[{""name"": ""Ibuprofen"", ""concentration_value"": 50.0, ""concentration_unit"": ""mg"", ""basis"": ""per patch"", ""raw"": """", ""note"": ""Active ingredient""}, {""name"": ""Polymer"", ""concentration_value"": 200.0, ""concentration_unit"": ""mg"", ""basis"": ""per patch"", ""raw"": """", ""note"": ""Carrier material""}]",amount,percent,85.0,%,4.0,hours,,,,4.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1007_978-1-4939-0363-4_7__6fa5f5aae3.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_978-1-4939-0363-4_7__6fa5f5aae3.pdf"", ""source_pages"": [1, 3, 4, 5, 8], ""route_label"": ""mixed"", ""route_notes"": ""The document discusses enhanced transdermal delivery methods."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 1"", ""page 3"", ""page 4"", ""page 5"", ""page 8""], ""table_id"": ""Table 2"", ""row_source_pages"": [5], ""row_source_locators"": [""page 5""], ""score_debug"": {""page 1"": 1, ""page 3"": 1, ""page 4"": 1, ""page 5"": 1, ""page 8"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 5, ""bbox"": null, ""snippet"": ""Release of ibuprofen from microneedle patches was evaluated, showing an endpoint release of 85% at 4 hours."", ""source_ref"": ""papers\\pdf\\10.1007_978-1-4939-0363-4_7__6fa5f5aae3.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 5, ""bbox"": null, ""snippet"": ""Release of ibuprofen from microneedle patches was evaluated, showing an endpoint release of 85% at 4 hours."", ""source_ref"": ""papers\\pdf\\10.1007_978-1-4939-0363-4_7__6fa5f5aae3.pdf"", ""confidence"": 0.95}]",[],"[""This formulation uses microneedles for enhanced drug delivery.""]"
record_a8d34a74731e,paper_b257621dff97,10.1007/s11095-008-9785-y,mixed,0.69,0.9,,IVPT,diffusion cell,stratum corneum,Ibuprofen Saturated Solution,Ibuprofen,10.0,mg/ml,Solution in propylene glycol/water,~10 mg/ml,Topical,"[{""name"": ""Propylene Glycol"", ""concentration_value"": null, ""concentration_unit"": ""v/v"", ""basis"": ""Co-solvent"", ""raw"": """", ""note"": ""75:25 mixture with water""}]",amount,unknown,,,4.0,hours,,,,4.0,pending,,,[],1,0,table,pdf,papers\pdf\10.1007_s11095-008-9785-y__4a59bd2375.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""source_pages"": [5, 7, 8, 12, 21], ""route_label"": ""mixed"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 5"", ""page 7"", ""page 8"", ""page 12"", ""page 21""], ""table_id"": ""Table II"", ""row_source_pages"": [12], ""row_source_locators"": [""page 12""], ""score_debug"": {""page 5"": 1, ""page 7"": 1, ""page 8"": 1, ""page 12"": 1, ""page 21"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table II"", ""page"": 12, ""bbox"": null, ""snippet"": ""The anticipated decay and flattening of the concentration profile is not observed; in fact, the total amount of ibuprofen (in µg/cm2) within the SC hardly changed at all during the 4 hours clearance period."", ""source_ref"": ""papers\\pdf\\10.1007_s11095-008-9785-y__4a59bd2375.pdf"", ""confidence"": 0.9}]",[],"[""Refer to Table II for detailed concentration results across the SC.""]"
record_b3a1459d197e,paper_b451e1b601ac,10.1016/j.ejpb.2020.05.013,figure,0.81,1.0,,IVPT,Franz diffusion cell,silicone membrane,Ibuprofen Gel,Ibuprofen,5.0,% w/w,Topical formulation,5 % w/w,Gel,[],amount,unknown,,none,12.0,h,,,,12.0,pending,,,[],1,0,table,pdf,papers\pdf\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""source_pages"": [5, 8, 9, 10, 11], ""route_label"": ""figure"", ""route_notes"": ""The article outlines the study of a novel diffusion cell using ibuprofen as a model drug."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 5"", ""page 8"", ""page 9"", ""page 10"", ""page 11""], ""table_id"": ""Table 1"", ""row_source_pages"": [5, 10], ""row_source_locators"": [""page 5"", ""page 10""], ""score_debug"": {""page 5"": 1, ""page 8"": 1, ""page 9"": 1, ""page 10"": 1, ""page 11"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 5, ""bbox"": null, ""snippet"": ""A 5 % w/w ibuprofen gel formulation was used as the model topical formulation."", ""source_ref"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""confidence"": 1.0}]",[],"[""12-hour experiment at 37 °C""]"
record_5bc4d003491f,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.9,,IVPT,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",IBUGEL™ (Ibuprofen 5% w/w),Ibuprofen,5.0,% w/w,Weight of formulation,5% w/w,Gel,"[{""name"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""Weight of formulation"", ""raw"": """", ""note"": """"}]",amount,amount_total,280.0,µg/cm²,6.0,h,,,,6.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm2 of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm2 of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}]",[],"[""Commercial formulation under study.""]"
record_a28c8f99f0f6,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.9,,IVPT,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",IBULEVE™ Speed Relief 5% Spray,Ibuprofen,5.0,% w/w,Weight of formulation,5% w/w,Spray,"[{""name"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""Weight of formulation"", ""raw"": """", ""note"": """"}]",amount,amount_total,280.0,µg/cm²,6.0,h,,,,6.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm2 of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""At 6 h approximately 280 µg/cm2 of ibuprofen had permeated following application of 3 µL doses of the commercial formulations, accounting for 60–70% of the applied dose."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}]",[],"[""Commercial formulation under study.""]"
record_fa616011a428,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.9,,IVPT,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",5% w/w solutions in isopropyl alcohol,Ibuprofen,5.0,% w/w,Weight of formulation,5% w/w,Solution,"[{""name"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""Weight of formulation"", ""raw"": """", ""note"": ""Isopropyl alcohol used as solvent.""}]",amount,amount_total,90.0,µg/cm²,6.0,h,,,,6.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [12], ""row_source_locators"": [""page 12""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 12, ""bbox"": null, ""snippet"": ""the cumulative amounts permeated and percentages of ibuprofen delivered were 90–100 µg/cm² and 64-69% respectively."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 12, ""bbox"": null, ""snippet"": ""the cumulative amounts permeated and percentages of ibuprofen delivered were 90–100 µg/cm² and 64-69% respectively."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}]",[],"[""Formulation using isopropyl alcohol.""]"
record_410aeda4678b,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.9,,IVPT,Franz diffusion cell,"human skin, porcine skin, silicone membrane, PAMPA",5% w/w solutions in PEG 300,Ibuprofen,5.0,% w/w,Weight of formulation,5% w/w,Solution,"[{""name"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""Weight of formulation"", ""raw"": """", ""note"": ""PEG 300 used as solvent.""}]",amount,amount_total,90.0,µg/cm²,6.0,h,,,,6.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [12], ""row_source_locators"": [""page 12""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 12, ""bbox"": null, ""snippet"": ""the cumulative amounts permeated and percentages of ibuprofen delivered were 90–100 µg/cm² and 64-69% respectively."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 12, ""bbox"": null, ""snippet"": ""the cumulative amounts permeated and percentages of ibuprofen delivered were 90–100 µg/cm² and 64-69% respectively."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.9}]",[],"[""Formulation using PEG 300.""]"
record_8e1fffe4c0d8,paper_cceb8131dfed,10.1016/j.ijpharm.2019.118975,table,0.81,0.95,,IVPT,diffusion cell,SEBS block copolymers,Formulation 1,Ibuprofen,10.0,mg/ml,w/v,10 mg/ml,Patch,"[{""name"": ""SEBS"", ""concentration_value"": 30.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Block copolymer""}, {""name"": ""Ethyl cellulose"", ""concentration_value"": 7.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Polymer""}, {""name"": ""Camphor"", ""concentration_value"": 5.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Plasticizer""}, {""name"": ""Dichloromethane"", ""concentration_value"": 50.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": ""Solvent""}]",amount,flux,0.8,mg/cm2,8.0,hours,,,,8.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""source_pages"": [], ""route_label"": ""table"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [], ""table_id"": ""Table 2"", ""row_source_pages"": [6], ""row_source_locators"": [""loc_1""], ""score_debug"": {}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 6, ""bbox"": null, ""snippet"": ""The permeation rate of ibuprofen through the skin was measured."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 2"", ""page"": 6, ""bbox"": null, ""snippet"": ""The permeation rate of ibuprofen through the skin was measured."", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2019.118975__a995cdeef6.pdf"", ""confidence"": 0.95}]",[],"[""In vitro permeation study.""]"
record_56d2d3b2dd1a,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,0.81,0.95,,both,Franz diffusion cell,Strat-M®-membranes,P+-Ibuprofen,Ibuprofen,8.0,mM,molar,8 mM aqueous solution,Ionic Salt,"[{""name"": ""P+-Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Ion-Pair"", ""raw"": """", ""note"": """"}]",amount,unknown,12.0,hours,72.0,hours,,,,72.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""source_pages"": [2, 3, 4, 5, 7], ""route_label"": ""figure"", ""route_notes"": ""Investigated light-responsive properties of Ibuprofen ion pairs and their permeation characteristics through model membranes."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 7""], ""table_id"": ""Table 1"", ""row_source_pages"": [5], ""row_source_locators"": [""Figure 4C""], ""score_debug"": {""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 5"": 1, ""page 7"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 5, ""bbox"": null, ""snippet"": ""Membrane permeability of 8 mM aqueous solution of P+-Ibuprofen ion-pairs... reached equilibrium in less than 12 hours following exponential patterns."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 5, ""bbox"": null, ""snippet"": ""Membrane permeability of 8 mM aqueous solution of P+-Ibuprofen ion-pairs... reached equilibrium in less than 12 hours following exponential patterns."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}]",[],"[""Endpoint times for trans and cis forms under UV light.""]"
