record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,duration_h,verification_status,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_ad27c13dbfc5,paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,table,0.69,0.95,,both,diffusion cell,,Ibuprofen Foam Dressing,Ibuprofen,0.5,mg/cm²,homogeneously dispersed,0.5 mg/cm²,Foam dressing,[],amount,unknown,1.63,,7.0,days,,,,168.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""source_pages"": [3, 14, 17, 26, 47], ""route_label"": ""table"", ""route_notes"": ""The paper discusses various treatments for pain in venous leg ulcers, including an ibuprofen dressing, reported in analyses."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 3"", ""page 14"", ""page 17"", ""page 26"", ""page 47""], ""table_id"": ""Table 1"", ""row_source_pages"": [26], ""row_source_locators"": [""page 26""], ""score_debug"": {""page 3"": 1, ""page 14"": 1, ""page 17"": 1, ""page 26"": 1, ""page 47"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 26, ""bbox"": null, ""snippet"": ""Comparison 3: Ibuprofen foam dressing vs local best practice, Outcome: Participants reporting TOTPARD5>50%."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 26, ""bbox"": null, ""snippet"": ""Comparison 3: Ibuprofen foam dressing vs local best practice, Outcome: Participants reporting TOTPARD5>50%."", ""source_ref"": ""papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf"", ""confidence"": 0.95}]",[],"[""Mean treatment duration was 7 days.""]"
record_b3a1459d197e,paper_b451e1b601ac,10.1016/j.ejpb.2020.05.013,figure,0.81,1.0,,IVPT,diffusion cell,silicone membrane,Ibuprofen gel,Ibuprofen,5.0,% w/w,gel,5% w/w ibuprofen gel,Topical gel,[],amount,unknown,,,12.0,hours,,,,12.0,pending,,,[],1,0,table,pdf,papers\pdf\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""source_pages"": [5, 8, 9, 10, 11], ""route_label"": ""figure"", ""route_notes"": ""The paper describes the development of a novel 3D printed diffusion cell for UV imaging of ibuprofen permeation through synthetic membranes."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 5"", ""page 8"", ""page 9"", ""page 10"", ""page 11""], ""table_id"": ""Table 1"", ""row_source_pages"": [8, 11], ""row_source_locators"": [""page 8"", ""page 11""], ""score_debug"": {""page 5"": 1, ""page 8"": 1, ""page 9"": 1, ""page 10"": 1, ""page 11"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 8, ""bbox"": null, ""snippet"": ""The experiment was conducted for 12 h in triplicate at 37 °C."", ""source_ref"": ""papers\\pdf\\10.1016_j.ejpb.2020.05.013__180f2d6584.pdf"", ""confidence"": 1.0}]",[],[]
record_e5a5cd848fa6,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.95,,both,Franz diffusion cell,"human skin, porcine skin, PAMPA model, silicone membrane",IBUGEL™,Ibuprofen,5.0,% w/w,Active Ingredient,5% w/w,Topical Gel,"[{""name"": ""Industrial Methylated Spirit (IMS)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Penetration enhancer, solvent"", ""raw"": """", ""note"": """"}, {""name"": ""Polyethylene Glycol (PEG) 300"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Solvent"", ""raw"": """", ""note"": """"}, {""name"": ""Propylene Glycol (PG)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Penetration enhancer, solvent"", ""raw"": """", ""note"": """"}]",amount,amount_total,38.0,µg/cm²,48.0,h,,,,48.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""The study compares ibuprofen permeation in different skin models and formulations, providing detailed results on permeation rates and formulation efficacy."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""maximum ibuprofen permeation in human skin ranged from 11–38 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""maximum ibuprofen permeation in human skin ranged from 11–38 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}]",[],[]
record_2b009f46d9d5,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.95,,both,Franz diffusion cell,"human skin, porcine skin, PAMPA model, silicone membrane",IBULEVE™ Speed Relief,Ibuprofen,5.0,% w/w,Active Ingredient,5% w/w,Topical Spray,"[{""name"": ""Industrial Methylated Spirit (IMS)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Penetration enhancer, solvent"", ""raw"": """", ""note"": """"}]",amount,amount_total,38.0,µg/cm²,48.0,h,,,,48.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""The study compares ibuprofen permeation in different skin models and formulations, providing detailed results on permeation rates and formulation efficacy."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""maximum ibuprofen permeation in human skin ranged from 11–38 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""maximum ibuprofen permeation in human skin ranged from 11–38 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}]",[],[]
record_dc9a76720818,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.95,,both,Franz diffusion cell,"human skin, porcine skin, PAMPA model, silicone membrane",Isopropyl Alcohol Solution with PEG,Ibuprofen,5.0,% w/w,Active Ingredient,5% w/w,Topical Solution,"[{""name"": ""Isopropyl Alcohol"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Solvent"", ""raw"": """", ""note"": """"}, {""name"": ""Polyethylene Glycol (PEG) 300"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Solvent"", ""raw"": """", ""note"": """"}]",amount,amount_total,81.0,µg/cm²,48.0,h,,,,48.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""The study compares ibuprofen permeation in different skin models and formulations, providing detailed results on permeation rates and formulation efficacy."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""corresponding values in porcine skin were 59–81 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""corresponding values in porcine skin were 59–81 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}]",[],[]
record_fbc5b5f14327,paper_7008480bdcae,10.1016/j.ijpharm.2016.03.043,figure,0.81,0.95,,both,Franz diffusion cell,"human skin, porcine skin, PAMPA model, silicone membrane",Isopropyl Alcohol Solution with PG,Ibuprofen,5.0,% w/w,Active Ingredient,5% w/w,Topical Solution,"[{""name"": ""Isopropyl Alcohol"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Solvent"", ""raw"": """", ""note"": """"}, {""name"": ""Propylene Glycol (PG)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Penetration enhancer, solvent"", ""raw"": """", ""note"": """"}]",amount,amount_total,81.0,µg/cm²,48.0,h,,,,48.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""source_pages"": [2, 4, 6, 11, 12], ""route_label"": ""figure"", ""route_notes"": ""The study compares ibuprofen permeation in different skin models and formulations, providing detailed results on permeation rates and formulation efficacy."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 4"", ""page 6"", ""page 11"", ""page 12""], ""table_id"": ""Table 1"", ""row_source_pages"": [11], ""row_source_locators"": [""page 11""], ""score_debug"": {""page 2"": 1, ""page 4"": 1, ""page 6"": 1, ""page 11"": 1, ""page 12"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""corresponding values in porcine skin were 59–81 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 11, ""bbox"": null, ""snippet"": ""corresponding values in porcine skin were 59–81 µg/cm² at 48 h"", ""source_ref"": ""papers\\pdf\\10.1016_j.ijpharm.2016.03.043__d92e739f32.pdf"", ""confidence"": 0.95}]",[],[]
record_5061932336ed,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,0.81,0.95,,IVRT,Franz diffusion cell,Strat-M®-membranes,Formulation A,Ibuprofen,,,,,ion-pair,"[{""name"": ""N+-Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": """", ""note"": ""liquid at room temperature""}, {""name"": ""P+-Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": """", ""note"": ""crystalline solid at room temperature""}]",amount,unknown,12.0,hours,,,,,,,pending,,,[],2,0,table,pdf,papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""source_pages"": [2, 3, 4, 5, 7], ""route_label"": ""figure"", ""route_notes"": ""The paper explores the use of light-responsive azobenzene counterions for enhancing the solubility of Ibuprofen through ion-pairing and demonstrates its efficacy through permeability testing."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 7""], ""table_id"": ""Table 1"", ""row_source_pages"": [2, 3, 4, 5], ""row_source_locators"": [""page 2"", ""page 5""], ""score_debug"": {""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 5"": 1, ""page 7"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 2, ""bbox"": null, ""snippet"": ""The ion-pair in cis (UV light) permeated into the membrane and could not be wiped off in contrast to the trans-isomer which remained at the surface and was easily removed."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table 1"", ""page"": 2, ""bbox"": null, ""snippet"": ""The ion-pair in cis (UV light) permeated into the membrane and could not be wiped off in contrast to the trans-isomer which remained at the surface and was easily removed."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}]",[],"[""Permeation rates indicate better penetration of cis-isomer.""]"
record_1166db1b5327,paper_47e0b4fbb992,10.1208/s12249-019-1481-1,figure,0.81,0.9,,IVPT,Franz diffusion cell,porcine ear skin,Skin Permeation Parameters of IP and ANP,Ibuprofen (IP),,,,N/A,Saturated solutions,"[{""name"": ""Glycerin"", ""concentration_value"": 24.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""Hydrophilic vehicle""}, {""name"": ""1,3-Propanediol"", ""concentration_value"": 6.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""Moisturizer""}, {""name"": ""1,3-Butanediol"", ""concentration_value"": 5.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""Moisturizer""}, {""name"": ""Dipropylene Glycol"", ""concentration_value"": 4.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""Moisturizer""}, {""name"": ""PEG60 CAS"", ""concentration_value"": 3.0, ""concentration_unit"": ""wt%"", ""basis"": ""Vehicle composition"", ""raw"": """", ""note"": ""Surfactant""}]",amount,unknown,,N/A,,N/A,,,,,pending,,,[],1,0,table,pdf,papers\pdf\10.1208_s12249-019-1481-1__8db2f87134.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1208_s12249-019-1481-1__8db2f87134.pdf"", ""source_pages"": [1, 2, 3, 4, 6], ""route_label"": ""figure"", ""route_notes"": ""Study explores the effects of various temperatures and humidity on skin permeation for ibuprofen among other drugs."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 6""], ""table_id"": ""Table III"", ""row_source_pages"": [2], ""row_source_locators"": [""page 2""], ""score_debug"": {""page 1"": 1, ""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 6"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table III"", ""page"": 2, ""bbox"": null, ""snippet"": ""Skin Permeation Parameters of IP and ANP: Log P, DL-2 (× 10−5) (1 s), KL (× 103) (cm)"", ""source_ref"": ""papers\\pdf\\10.1208_s12249-019-1481-1__8db2f87134.pdf"", ""confidence"": 0.9}]",[],"[""End point values and times explicitly not provided; parameters were primarily focused on permeation.""]"
record_21f5c1d577fe,paper_85f231cdccef,10.1208/s12249-019-1584-8,figure,0.81,1.0,,IVPT,Franz diffusion cell,rat skin,Ibuprofen-Loaded Microemulsion-Based HA Hydrogel (ME/Gel),Ibuprofen,1.0,%,w/w,1%,Hydrogel,"[{""name"": ""Ibuprofen"", ""concentration_value"": 1.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": """"}, {""name"": ""Ethyl Oleate"", ""concentration_value"": 10.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": """"}, {""name"": ""Transcutol® P"", ""concentration_value"": 5.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": """"}, {""name"": ""Cremophor® EL"", ""concentration_value"": 5.0, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": """"}, {""name"": ""Hyaluronic Acid"", ""concentration_value"": 0.5, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""raw"": """", ""note"": """"}]",amount,amount_total,139.5,µg/cm²,24.0,hours,,,,24.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1208_s12249-019-1584-8__f91ed3114f.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1208_s12249-019-1584-8__f91ed3114f.pdf"", ""source_pages"": [2, 3, 4, 6, 8], ""route_label"": ""figure"", ""route_notes"": ""The paper provides explicit evidence on the transdermal flux and cumulative drug permeation over time for different formulations."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 3"", ""page 4"", ""page 6"", ""page 8""], ""table_id"": ""Table I"", ""row_source_pages"": [2, 3], ""row_source_locators"": [""Table I""], ""score_debug"": {""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 6"": 1, ""page 8"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""Table I"", ""page"": 2, ""bbox"": null, ""snippet"": ""Composition of the Ibuprofen-Loaded Formulations."", ""source_ref"": ""papers\\pdf\\10.1208_s12249-019-1584-8__f91ed3114f.pdf"", ""confidence"": 1.0}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""Table I"", ""page"": 2, ""bbox"": null, ""snippet"": ""Composition of the Ibuprofen-Loaded Formulations."", ""source_ref"": ""papers\\pdf\\10.1208_s12249-019-1584-8__f91ed3114f.pdf"", ""confidence"": 1.0}]",[],"[""Formulation table with specific compositions related to ibuprofen.""]"
record_c68d71193268,paper_85f231cdccef,10.1208/s12249-019-1584-8,figure,0.81,1.0,,IVPT,Franz diffusion cell,rat skin,In vitro Transdermal Permeation Profile,Ibuprofen,1.0,mg/ml,w/v,Tested at varied concentrations (0.01 to 1 mg/mL),In vitro test,[],amount,flux,11.66,µg/cm²/h,24.0,hours,,,,24.0,pending,,,[],2,0,table,pdf,papers\pdf\10.1208_s12249-019-1584-8__f91ed3114f.pdf,[],"{""extractor_name"": ""table"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1208_s12249-019-1584-8__f91ed3114f.pdf"", ""source_pages"": [2, 3, 4, 6, 8], ""route_label"": ""figure"", ""route_notes"": ""The paper provides explicit evidence on the transdermal flux and cumulative drug permeation over time for different formulations."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""selected_locators"": [""page 2"", ""page 3"", ""page 4"", ""page 6"", ""page 8""], ""table_id"": ""N/A"", ""row_source_pages"": [6], ""row_source_locators"": [""Fig. 3""], ""score_debug"": {""page 2"": 1, ""page 3"": 1, ""page 4"": 1, ""page 6"": 1, ""page 8"": 1}}}","[{""field_name"": ""formulation"", ""modality"": ""table"", ""locator"": ""N/A"", ""page"": 6, ""bbox"": null, ""snippet"": ""In vitro transdermal flux of ibuprofen from microemulsion and hydrogel."", ""source_ref"": ""papers\\pdf\\10.1208_s12249-019-1584-8__f91ed3114f.pdf"", ""confidence"": 1.0}, {""field_name"": ""endpoint"", ""modality"": ""table"", ""locator"": ""N/A"", ""page"": 6, ""bbox"": null, ""snippet"": ""In vitro transdermal flux of ibuprofen from microemulsion and hydrogel."", ""source_ref"": ""papers\\pdf\\10.1208_s12249-019-1584-8__f91ed3114f.pdf"", ""confidence"": 1.0}]",[],"[""Endpoint summary from in vitro permeation test results.""]"
