stage,bucket,count
access_status,downloaded,44
access_status,error,183
access_status,resolved,80
access_status,unresolved,223
access_reason,resolve_error_connectionerror,183
route_unresolved_reason,access_issues_content_not_viewable,1
route_unresolved_reason,access_issues_encountered_no_relevant_content_obtained,1
route_unresolved_reason,access_to_basic_content_is_restricted_unable_to_extract_specific_details,1
route_unresolved_reason,access_to_content_is_not_provided_due_to_javascript_issues,1
route_unresolved_reason,access_to_content_is_restricted_due_to_javascript_requirements,1
route_unresolved_reason,access_to_the_article_is_required_to_extract_specific_information,1
route_unresolved_reason,access_to_the_content_is_blocked_due_to_javascript_requirement,1
route_unresolved_reason,access_to_the_content_is_limited_page_requires_javascript,1
route_unresolved_reason,access_to_the_content_is_restricted_due_to_javascript_requirement,1
route_unresolved_reason,access_to_the_document_is_not_possible_due_to_javascript_restrictions,1
route_unresolved_reason,access_to_the_document_is_restricted_due_to_javascript_requirements,1
route_unresolved_reason,access_to_the_full_article_is_required_to_extract_detailed_information,1
route_unresolved_reason,accessing_the_document_is_not_possible_due_to_javascript_restriction,1
route_unresolved_reason,article_content_not_accessible_due_to_javascript_restrictions,1
route_unresolved_reason,cannot_extract_relevant_evidence_due_to_page_access_restrictions,1
route_unresolved_reason,content_cannot_be_accessed_due_to_javascript_restrictions,1
route_unresolved_reason,content_inaccessible_due_to_inability_to_access_the_webpage,1
route_unresolved_reason,content_inaccessible_unable_to_extract_any_relevant_data,1
route_unresolved_reason,content_not_accessible_cannot_determine_relevant_extraction_routes,1
route_unresolved_reason,content_not_accessible_due_to_javascript_requirement,1
route_unresolved_reason,content_not_accessible_evidence_extraction_not_possible,1
route_unresolved_reason,content_not_extractable_unable_to_access_relevant_information,1
route_unresolved_reason,content_unavailable_requires_javascript,1
route_unresolved_reason,document_blocks_contain_no_relevant_extractable_evidence_due_to_javascript_limit,1
route_unresolved_reason,document_inaccessible_due_to_javascript_requirement,1
route_unresolved_reason,document_is_inaccessible_due_to_javascript_requirement,1
route_unresolved_reason,document_is_not_fully_accessible_due_to_javascript_requirements,1
route_unresolved_reason,document_not_accessible_due_to_javascript_restrictions,1
route_unresolved_reason,evidence_extraction_not_possible_due_to_inaccessible_content,1
route_unresolved_reason,extractable_evidence_appears_to_be_limited_due_to_javascript_requirement,1
route_unresolved_reason,full_content_is_not_accessible_only_html_for_a_non_functional_page_is_available,1
route_unresolved_reason,information_needed_from_the_article_is_not_accessible_due_to_javascript_restrict,1
route_unresolved_reason,insufficient_content_available_for_detailed_extraction,1
route_unresolved_reason,insufficient_content_available_for_evidence_extraction,1
route_unresolved_reason,limited_extractable_evidence_in_provided_text,1
route_unresolved_reason,missing_structured_and_pdf_router_source,417
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,3
route_unresolved_reason,no_accessible_content_available_javascript_is_required_to_view_the_document,1
route_unresolved_reason,no_content_available_for_extraction,2
route_unresolved_reason,no_content_extracted_due_to_access_restrictions,1
route_unresolved_reason,no_detailed_evidence_can_be_extracted_as_the_document_content_is_not_accessible,1
route_unresolved_reason,no_evidence_extractable_due_to_functional_limitations_of_the_source,1
route_unresolved_reason,no_extractable_evidence_available_due_to_inaccessible_content,1
route_unresolved_reason,no_extractable_evidence_available_due_to_javascript_restrictions_on_the_page,1
route_unresolved_reason,no_extractable_evidence_available_due_to_lack_of_content,1
route_unresolved_reason,no_extractable_evidence_available_from_the_provided_document,1
route_unresolved_reason,no_extractable_evidence_available_the_document_does_not_provide_any_content_as_i,1
route_unresolved_reason,no_extractable_evidence_detected_due_to_lack_of_content,1
route_unresolved_reason,no_extractable_evidence_due_to_lack_of_content,1
route_unresolved_reason,no_extractable_evidence_found_due_to_content_being_blocked_by_javascript,1
route_unresolved_reason,no_extractable_evidence_found_due_to_inaccessible_content,1
route_unresolved_reason,no_extractable_evidence_found_due_to_lack_of_accessible_content,1
route_unresolved_reason,no_extractable_evidence_is_present_due_to_webpage_loading_issues,1
route_unresolved_reason,no_extractable_information_from_the_document_as_it_requires_javascript_to_displa,1
route_unresolved_reason,no_relevant_content_or_evidence_found,1
route_unresolved_reason,no_relevant_extraction_possible_due_to_lack_of_content,1
route_unresolved_reason,no_specific_evidence_related_to_ibuprofen_or_diffusion_cell_provided_in_the_visi,1
route_unresolved_reason,no_specific_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_specific_mention_of_ibuprofen_or_relevant_diffusion_cells,1
route_unresolved_reason,source_access_issue_unable_to_extract_detailed_information,1
route_unresolved_reason,the_content_is_inaccessible_as_the_page_requires_javascript_to_view,1
route_unresolved_reason,the_content_is_not_accessible_due_to_javascript_restrictions,1
route_unresolved_reason,the_document_appears_to_be_inaccessible_unable_to_extract_substantial_evidence,1
route_unresolved_reason,the_document_cannot_be_accessed_due_to_javascript_issues,1
route_unresolved_reason,the_document_cannot_be_accessed_due_to_javascript_restrictions,1
route_unresolved_reason,the_document_content_could_not_be_accessed_due_to_javascript_requirements,1
route_unresolved_reason,the_document_content_is_inaccessible_due_to_javascript_requirement,1
route_unresolved_reason,the_document_does_not_provide_any_extractable_evidence,1
route_unresolved_reason,the_document_does_not_provide_extractable_evidence_due_to_technical_issues_with_,1
route_unresolved_reason,the_document_is_inaccessible_and_contains_no_extractable_evidence,1
route_unresolved_reason,the_document_is_inaccessible_due_to_javascript_requirements,5
route_unresolved_reason,the_document_is_inaccessible_due_to_javascript_requirements_limiting_the_ability,1
route_unresolved_reason,the_document_is_inaccessible_no_relevant_evidence_can_be_extracted,1
route_unresolved_reason,the_document_is_not_accessible_content_cannot_be_reviewed,1
route_unresolved_reason,the_document_is_not_accessible_due_to_javascript_requirements,2
route_unresolved_reason,the_document_is_not_accessible_due_to_javascript_requirements_cannot_extract_spe,1
route_unresolved_reason,the_document_is_not_accessible_without_javascript,1
route_unresolved_reason,the_document_was_not_accessible_due_to_technical_issues,1
route_unresolved_reason,the_source_document_only_contains_messages_regarding_javascript_functionality_an,1
route_unresolved_reason,the_source_does_not_contain_relevant_content_related_to_ibuprofen_or_diffusion_c,1
route_unresolved_reason,the_source_does_not_provide_usable_content_due_to_browser_restrictions,1
route_unresolved_reason,the_source_page_does_not_contain_relevant_content_due_to_javascript_issues,1
route_unresolved_reason,unable_to_access_content_due_to_javascript_requirement,1
route_unresolved_reason,unable_to_access_content_page_requires_javascript,1
route_unresolved_reason,unable_to_extract_content_due_to_javascript_issues,1
route_unresolved_reason,unable_to_extract_content_due_to_lack_of_accessible_text,1
route_unresolved_reason,unable_to_extract_evidence_due_to_the_content_being_javascript_dependent,1
route_unresolved_reason,unable_to_extract_evidence_from_the_html_due_to_javascript_issues,1
route_unresolved_reason,unable_to_extract_relevant_content_webpage_requires_javascript,1
route_unresolved_reason,unable_to_extract_relevant_information_due_to_document_being_inaccessible,1
route_unresolved_reason,unable_to_extract_relevant_information_due_to_inaccessible_content,1
route_note,access_issues_content_not_viewable,1
route_note,access_issues_encountered_no_relevant_content_obtained,1
route_note,access_to_basic_content_is_restricted_unable_to_extract_specific_details,1
route_note,access_to_content_is_not_provided_due_to_javascript_issues,1
route_note,access_to_content_is_restricted_due_to_javascript_requirements,1
route_note,access_to_the_article_is_required_to_extract_specific_information,1
route_note,access_to_the_content_is_blocked_due_to_javascript_requirement,1
route_note,access_to_the_content_is_limited_page_requires_javascript,1
route_note,access_to_the_content_is_restricted_due_to_javascript_requirement,1
route_note,access_to_the_document_is_not_possible_due_to_javascript_restrictions,1
route_note,access_to_the_document_is_restricted_due_to_javascript_requirements,1
route_note,access_to_the_full_article_is_required_to_extract_detailed_information,1
route_note,accessing_the_document_is_not_possible_due_to_javascript_restriction,1
route_note,article_content_not_accessible_due_to_javascript_restrictions,1
route_note,cannot_extract_relevant_evidence_due_to_page_access_restrictions,1
route_note,content_cannot_be_accessed_due_to_javascript_restrictions,1
route_note,content_inaccessible_due_to_inability_to_access_the_webpage,1
route_note,content_inaccessible_unable_to_extract_any_relevant_data,1
route_note,content_not_accessible_cannot_determine_relevant_extraction_routes,1
route_note,content_not_accessible_due_to_javascript_requirement,1
route_note,content_not_accessible_evidence_extraction_not_possible,1
route_note,content_not_extractable_unable_to_access_relevant_information,1
route_note,content_unavailable_requires_javascript,1
route_note,document_blocks_contain_no_relevant_extractable_evidence_due_to_javascript_limit,1
route_note,document_inaccessible_due_to_javascript_requirement,1
route_note,document_is_inaccessible_due_to_javascript_requirement,1
route_note,document_is_not_fully_accessible_due_to_javascript_requirements,1
route_note,document_not_accessible_due_to_javascript_restrictions,1
route_note,evidence_extraction_not_possible_due_to_inaccessible_content,1
route_note,extractable_evidence_appears_to_be_limited_due_to_javascript_requirement,1
route_note,focus_on_percutaneous_absorption_metrics,1
route_note,full_content_is_not_accessible_only_html_for_a_non_functional_page_is_available,1
route_note,information_needed_from_the_article_is_not_accessible_due_to_javascript_restrict,1
route_note,insufficient_content_available_for_detailed_extraction,1
route_note,insufficient_content_available_for_evidence_extraction,1
route_note,limited_extractable_evidence_in_provided_text,1
route_note,missing_structured_and_pdf_router_source,417
route_note,missing_structured_and_pdf_router_source_html_remote_httperror,3
route_note,no_accessible_content_available_javascript_is_required_to_view_the_document,1
route_note,no_content_available_for_extraction,2
route_note,no_content_extracted_due_to_access_restrictions,1
route_note,no_detailed_evidence_can_be_extracted_as_the_document_content_is_not_accessible,1
route_note,no_evidence_extractable_due_to_functional_limitations_of_the_source,1
route_note,no_extractable_evidence_available_due_to_inaccessible_content,1
route_note,no_extractable_evidence_available_due_to_javascript_restrictions_on_the_page,1
route_note,no_extractable_evidence_available_due_to_lack_of_content,1
route_note,no_extractable_evidence_available_from_the_provided_document,1
route_note,no_extractable_evidence_available_the_document_does_not_provide_any_content_as_i,1
route_note,no_extractable_evidence_detected_due_to_lack_of_content,1
route_note,no_extractable_evidence_due_to_lack_of_content,1
route_note,no_extractable_evidence_found_due_to_content_being_blocked_by_javascript,1
route_note,no_extractable_evidence_found_due_to_inaccessible_content,1
route_note,no_extractable_evidence_found_due_to_lack_of_accessible_content,1
route_note,no_extractable_evidence_is_present_due_to_webpage_loading_issues,1
route_note,no_extractable_information_from_the_document_as_it_requires_javascript_to_displa,1
route_note,no_relevant_content_or_evidence_found,1
route_note,no_relevant_extraction_possible_due_to_lack_of_content,1
route_note,no_specific_evidence_related_to_ibuprofen_or_diffusion_cell_provided_in_the_visi,1
route_note,no_specific_extractable_evidence_found_in_the_provided_document,1
route_note,no_specific_mention_of_ibuprofen_or_relevant_diffusion_cells,1
route_note,source_access_issue_unable_to_extract_detailed_information,1
route_note,study_explores_the_effects_of_various_temperatures_and_humidity_on_skin_permeati,1
route_note,study_investigates_the_effects_of_ibuprofen_and_acetaminophen_on_core_temperatur,1
route_note,the_content_is_inaccessible_as_the_page_requires_javascript_to_view,1
route_note,the_content_is_not_accessible_due_to_javascript_restrictions,1
route_note,the_document_appears_to_be_inaccessible_unable_to_extract_substantial_evidence,1
route_note,the_document_cannot_be_accessed_due_to_javascript_issues,1
route_note,the_document_cannot_be_accessed_due_to_javascript_restrictions,1
route_note,the_document_content_could_not_be_accessed_due_to_javascript_requirements,1
route_note,the_document_content_is_inaccessible_due_to_javascript_requirement,1
route_note,the_document_does_not_provide_any_extractable_evidence,1
route_note,the_document_does_not_provide_extractable_evidence_due_to_technical_issues_with_,1
route_note,the_document_is_inaccessible_and_contains_no_extractable_evidence,1
route_note,the_document_is_inaccessible_due_to_javascript_requirements,5
